dataset,alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,0.1,GHCP,10,0.9,0.942,0.2338604085575211,0.007391616873188169,1000.0,13.473993550143742,2.809857634072802,0.08885550024481999,13.247803482128262,11.477295456716488,15.081098777914562,6.5696168027166175,25.211460877112497,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,15,0.9,0.929,0.2569533518462544,0.008121514637061239,1000.0,10.43403869580055,2.0121668971919258,0.06363030427520351,10.195237980187818,9.06711161761723,11.658892410301291,5.833156452313734,20.61811573678277,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,20,0.9,0.904,0.2947386484173239,0.009315793041926167,1000.0,7.925498631906208,1.3424274996565013,0.04245128492559449,7.807433218373053,6.964044290207811,8.753467552147214,4.6975532617002465,13.74884740995364,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,25,0.9,0.93,0.25527468571161765,0.008068457101577721,1000.0,7.762356581301966,2.942237547622282,0.09304172067754542,7.178742952040297,5.614881883680571,9.481467462901017,2.333142130552785,19.742333273774236,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,30,0.9,0.933,0.2501471038680511,0.007906389820898028,1000.0,7.542742994217366,2.660362804139694,0.0841280586347386,7.177945264471457,5.54905041571899,9.137946451964211,2.4599593632801167,18.956932607183823,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP,35,0.9,0.944,0.23003677296666486,0.007270763371201131,1000.0,7.608646377640685,2.477153752559654,0.07833447972521664,7.285824564248356,5.786685471048342,9.055960910075605,2.5919092788401263,18.35322341351803,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,0,0.9,0.943,0.23195862735583866,0.007331507348424336,1000.0,33.445632088568104,8.090856898614943,0.2558553602210925,32.57750452074665,27.87623518978443,38.55732951774499,13.187523300121953,62.08559894300714,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,5,0.9,0.936,0.24487540497968344,0.007739767438366605,1000.0,31.43269911461401,7.817422396961079,0.24720860206009965,30.524958984171676,25.951474105724987,36.273853061463534,12.0428934235329,60.55352392095594,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,10,0.9,0.929,0.2569533518462544,0.008121514637061239,1000.0,30.088242410671874,7.609197349690529,0.240623947907388,29.38464067725718,24.718094099200638,34.77784176927063,11.457438101912166,59.23584097436793,1000.0,1000.0,0.0,1.0,0.0
fixedN21,0.1,GHCP no within,15,0.9,0.919,0.272971634998059,0.008627803892068941,1000.0,28.787403919668336,7.325872594377689,0.23166443246440332,28.16015262171915,23.371118566087024,33.09736703366978,11.122329394441142,57.688568819943185,1000.0,1000.0,0.0,1.0,0.0
