puma,N_j,y_mean,y_sd,income_mean,income_sd,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_<HS,prop_educ_SomeCollege,prop_educ_HS,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75
1902,23,66248.26086956522,56768.86651967656,66248.26086956522,56768.86651967656,33.78260869565217,6.208180246761895,45.52173913043478,10.560946777535841,10.869565217391305,5.794231832576624,1178.1304347826087,442.3540647231301,0.43478260869565216,0.6956521739130435,0.4782608695652174,0.13043478260869565,0.21739130434782608,0.17391304347826086,1.4782608695652173,-4713.308021245712,54070.26079094257,-27428.90464624183,-12333.95857499064,10932.89185766154
1904,42,27521.428571428572,20683.35652000898,27521.428571428572,20683.35652000898,34.76190476190476,7.400756466969535,45.166666666666664,12.47420101877914,11.023809523809524,5.874658662582729,1261.857142857143,561.8944684976201,0.30952380952380953,0.5952380952380952,0.047619047619047616,0.5952380952380952,0.16666666666666666,0.19047619047619047,2.619047619047619,-8243.75236863779,18951.461998687384,-15825.922615919608,-11642.32543081209,-1540.3837504134872
1907,36,25127.777777777777,19796.069034188306,25127.777777777777,19796.069034188306,37.916666666666664,8.449429397471592,41.111111111111114,2.4234305999998997,11.777777777777779,5.275881029261429,1507.0833333333333,663.3165318523062,0.3055555555555556,0.6388888888888888,0.027777777777777776,0.8333333333333334,0.05555555555555555,0.08333333333333333,2.9444444444444446,-5620.811076726928,19438.16527321902,-15118.46444134026,-8618.45254608529,-330.68879122192993
2500,32,29024.375,20050.743842287553,29024.375,20050.743842287553,40.75,9.301404680598413,44.90625,10.023711806865597,9.03125,5.772484090982422,1744.375,747.083004845534,0.34375,0.6875,0.1875,0.34375,0.1875,0.28125,2.65625,-17110.117781148456,32744.990082171254,-23851.090208522233,-10184.689225142503,3148.8882169594644
2901,57,31164.912280701756,25806.612464001697,31164.912280701756,25806.612464001697,37.29824561403509,8.241803097365246,41.96491228070175,4.605760803760181,12.473684210526315,5.148180202605212,1457.8947368421052,647.8906897499467,0.40350877192982454,0.7017543859649122,0.10526315789473684,0.49122807017543857,0.10526315789473684,0.2982456140350877,2.43859649122807,-4938.928515895327,19848.643974314477,-14363.261776777857,-7953.633848002195,-382.2640649050736
2902,30,46166.666666666664,41381.18290782146,46166.666666666664,41381.18290782146,38.53333333333333,10.156476898438047,46.8,10.310356360274946,9.833333333333334,5.515391212768598,1584.5333333333333,802.5278911613939,0.3,0.6333333333333333,0.3,0.23333333333333334,0.23333333333333334,0.23333333333333334,1.9,-12371.358643431815,25883.300376355975,-24319.07242638719,-11977.092963232935,-7075.604743097852
2903,25,36088.0,24957.8197498633,36088.0,24957.8197498633,37.8,7.767453465154029,43.72,11.907700589674453,9.72,5.152022256680704,1486.76,597.615350092906,0.32,0.72,0.16,0.36,0.12,0.36,2.72,-8586.611708060296,19606.50957143488,-12006.884493920199,-6759.144738714214,1440.6163062001287
2904,30,26360.0,12001.19534276367,26360.0,12001.19534276367,36.36666666666667,6.088334426750392,43.13333333333333,6.816477669301936,11.366666666666667,4.544669733710663,1358.3666666666666,455.9514102464726,0.4,0.5666666666666667,,0.6,0.06666666666666667,0.3333333333333333,2.966666666666667,-2322.443464538058,11594.643128497453,-6929.948949431342,-3027.8416954641707,2112.355491694784
3100,28,38792.857142857145,28067.721391787116,38792.857142857145,28067.721391787116,36.035714285714285,6.74115136257314,47.642857142857146,9.092993988920243,13.178571428571429,4.80781440626397,1342.392857142857,481.8110386698575,0.35714285714285715,0.6071428571428571,0.21428571428571427,0.39285714285714285,0.03571428571428571,0.35714285714285715,2.4285714285714284,-11263.849551309806,25988.084060375288,-18084.60523961045,-5567.3087078100325,4906.923556553254
3702,50,72140.6,50421.728083217844,72140.6,50421.728083217844,40.12,5.633862632622959,43.0,7.406560798180411,11.6,4.985693819032899,1640.72,453.9822454498342,0.42,0.84,0.64,0.1,0.16,0.1,1.56,-15344.76335999541,43555.91974742906,-44576.31825827167,-17553.112434788723,7650.779615943911
