dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
poissonNmean21,0.05,0.95,25,17,6.539421799733922,0.31088024880923254,0.6302096295483319,0.047539409190867875,1.0,37,50,456
poissonNmean21,0.05,0.95,25,24,4.054416484769005,9.244454088746557e-16,1.8488908177493114e-15,2.2800948357117896e-16,1.0,13,50,456
poissonNmean21,0.05,0.95,30,3,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,9,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,8,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,10,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,11,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,19,5.1654339104945866,0.1295633192294449,0.22320629146603935,0.025082756158434576,1.0,41,50,456
poissonNmean21,0.05,0.95,30,14,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,13,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,15,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,17,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,16,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,18,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,12,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,21,7.040395786825493,0.4870019824255575,0.9791400708928922,0.0691725290979907,1.0,45,50,456
poissonNmean21,0.05,0.95,30,20,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,19,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,22,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,23,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,21,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,30,24,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,25,23,5.876885500454259,0.42749470820141056,0.7970131468727147,0.07274171126328172,1.0,35,50,456
poissonNmean21,0.05,0.95,35,0,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,1,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,2,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,10,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,7,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,3,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,4,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,6,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,5,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,8,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,12,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,19,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,9,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,13,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,15,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,11,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,14,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,16,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,17,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,18,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,20,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,23,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,24,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,21,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.05,0.95,35,22,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,0,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,1,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,4,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,6,,0.0,0.0,,1.0,0,50,456
poissonNmean21,0.075,0.925,0,9,,0.0,0.0,,1.0,0,50,456
