tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
0.0,0.05,1,15,Repeated,1.0,,,,100,12345
0.0,0.05,1,15,S-HCP-within,0.87,9.430201593676514,8.91801286765521,1.4798442754881924,0,12345
0.0,0.05,1,15,Std-CP,0.88,9.504520859200392,7.555842464675263,7.862877186212646,0,12345
0.0,0.05,1,15,Subsampling,1.0,,,,100,12345
0.0,0.05,1,20,Donor-HCP-no-within,0.89,7.991448837645224,7.878392346665695,1.0342822477609384,0,12345
0.0,0.05,1,20,Donor-HCP-within,0.9,5.943604932617379,5.8846963512398105,0.5253404961844826,0,12345
0.0,0.05,1,20,HCP,1.0,,,,100,12345
0.0,0.05,1,20,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,20,Repeated,1.0,,,,100,12345
0.0,0.05,1,20,S-HCP-within,0.85,9.035268799920892,8.400158143430602,1.4474983088020128,0,12345
0.0,0.05,1,20,Std-CP,0.91,6.958035889973643,6.46072662243678,3.3679251706926303,0,12345
0.0,0.05,1,20,Subsampling,1.0,,,,100,12345
0.0,0.05,1,25,Donor-HCP-no-within,0.92,7.351526583640262,6.548903947195631,2.74710778229594,0,12345
0.0,0.05,1,25,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,25,HCP,1.0,,,,100,12345
0.0,0.05,1,25,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,25,Repeated,1.0,,,,100,12345
0.0,0.05,1,25,S-HCP-within,1.0,,,,100,12345
0.0,0.05,1,25,Std-CP,0.93,6.4837670946281785,6.163388364375725,2.3911099296050478,0,12345
0.0,0.05,1,25,Subsampling,1.0,,,,100,12345
0.0,0.05,1,30,Donor-HCP-no-within,0.94,7.560721028016434,6.6459957420956,2.735083697129816,0,12345
0.0,0.05,1,30,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,30,HCP,1.0,,,,100,12345
0.0,0.05,1,30,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,30,Repeated,1.0,,,,100,12345
0.0,0.05,1,30,S-HCP-within,1.0,,,,100,12345
0.0,0.05,1,30,Std-CP,0.96,6.201824332668586,5.845868919789863,2.1886895252186602,0,12345
0.0,0.05,1,30,Subsampling,1.0,,,,100,12345
0.0,0.05,1,35,Donor-HCP-no-within,0.94,7.703594538728274,6.725537598818075,2.751010153184729,0,12345
0.0,0.05,1,35,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,1,35,HCP,1.0,,,,100,12345
0.0,0.05,1,35,Pooling,0.82,6.978220404850397,6.978220404850397,7.361004375023832e-16,0,12345
0.0,0.05,1,35,Repeated,1.0,,,,100,12345
0.0,0.05,1,35,S-HCP-within,1.0,,,,100,12345
0.0,0.05,1,35,Std-CP,0.9,6.421536856323793,6.0415451229972765,2.059313558615839,0,12345
0.0,0.05,1,35,Subsampling,1.0,,,,100,12345
0.0,0.05,2,0,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,2,0,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,2,0,HCP,1.0,,,,100,12345
0.0,0.05,2,0,Pooling,0.88,12.706098945119031,12.706098945119031,3.5706115939831736e-16,0,12345
0.0,0.05,2,0,Repeated,1.0,,,,100,12345
0.0,0.05,2,0,S-HCP-within,1.0,,,,100,12345
0.0,0.05,2,0,Std-CP,1.0,,,,100,12345
0.0,0.05,2,0,Subsampling,1.0,,,,100,12345
0.0,0.05,2,5,Donor-HCP-no-within,1.0,,,,100,12345
0.0,0.05,2,5,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,2,5,HCP,1.0,,,,100,12345
0.0,0.05,2,5,Pooling,0.88,12.706098945119031,12.706098945119031,3.5706115939831736e-16,0,12345
0.0,0.05,2,5,Repeated,1.0,,,,100,12345
0.0,0.05,2,5,S-HCP-within,0.93,9.847615113767624,9.774533347715021,1.2921481903471832,0,12345
0.0,0.05,2,5,Std-CP,0.84,6.491836759627879,5.0229403381969675,5.040166661164472,0,12345
0.0,0.05,2,5,Subsampling,1.0,,,,100,12345
0.0,0.05,2,10,Donor-HCP-no-within,1.0,12.912704736110614,13.013825207240068,1.865592733766975,0,12345
0.0,0.05,2,10,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,2,10,HCP,1.0,,,,100,12345
0.0,0.05,2,10,Pooling,0.88,12.706098945119031,12.706098945119031,3.5706115939831736e-16,0,12345
0.0,0.05,2,10,Repeated,1.0,,,,100,12345
0.0,0.05,2,10,S-HCP-within,0.92,9.696859565713666,9.962797083860998,1.051375320586909,0,12345
0.0,0.05,2,10,Std-CP,0.87,30.481080166066864,13.8377673137063,50.92580567504652,0,12345
0.0,0.05,2,10,Subsampling,1.0,,,,100,12345
0.0,0.05,2,15,Donor-HCP-no-within,0.97,11.321558915450694,11.120890951088128,1.802158271063973,0,12345
0.0,0.05,2,15,Donor-HCP-within,0.99,9.637323746864405,9.64653552185709,0.5412323468493602,0,12345
0.0,0.05,2,15,HCP,1.0,,,,100,12345
0.0,0.05,2,15,Pooling,0.88,12.706098945119031,12.706098945119031,3.5706115939831736e-16,0,12345
0.0,0.05,2,15,Repeated,1.0,,,,100,12345
0.0,0.05,2,15,S-HCP-within,0.95,9.823965838049716,9.774533347715021,1.0028994856057067,0,12345
0.0,0.05,2,15,Std-CP,0.91,8.467744608741208,7.350334076899429,4.131002839010709,0,12345
0.0,0.05,2,15,Subsampling,1.0,,,,100,12345
0.0,0.05,2,20,Donor-HCP-no-within,0.94,10.729412500091769,10.983678031546077,2.1771833783406924,0,12345
0.0,0.05,2,20,Donor-HCP-within,0.96,7.3200166420310895,7.191262966835495,0.6075702143192704,0,12345
0.0,0.05,2,20,HCP,1.0,,,,100,12345
0.0,0.05,2,20,Pooling,0.88,12.706098945119031,12.706098945119031,3.5706115939831736e-16,0,12345
0.0,0.05,2,20,Repeated,1.0,,,,100,12345
0.0,0.05,2,20,S-HCP-within,0.95,9.614161563201801,9.706211448961099,0.9043910442507204,0,12345
0.0,0.05,2,20,Std-CP,0.96,6.812663890692563,6.018526540899138,2.954562477457716,0,12345
0.0,0.05,2,20,Subsampling,1.0,,,,100,12345
0.0,0.05,2,25,Donor-HCP-no-within,1.0,8.01842747487627,7.661455135246175,2.1522921098528935,0,12345
0.0,0.05,2,25,Donor-HCP-within,1.0,,,,100,12345
0.0,0.05,2,25,HCP,1.0,,,,100,12345
0.0,0.05,2,25,Pooling,0.88,12.706098945119031,12.706098945119031,3.5706115939831736e-16,0,12345
0.0,0.05,2,25,Repeated,1.0,,,,100,12345
0.0,0.05,2,25,S-HCP-within,1.0,,,,100,12345
