experiment,o_observed,coverage_none,coverage_constant,coverage_linear,coverage_stdcp,coverage_hcp,width_none,width_constant,width_linear,width_stdcp,width_hcp,infinite_none,infinite_constant,infinite_linear,infinite_stdcp,infinite_hcp
13,500,0.84,0.86,0.9,0.88,0.92,3.9513905976460686,4.014500040939026,3.99617408420647,3.987449037546776,5.123645765339425,0,0,0,0,0
14,0,0.78,0.78,0.78,,0.78,5.608707720762588,5.608707720762588,5.608707720762588,,5.608707720762588,0,0,0,0,0
14,20,0.78,0.8,0.8,0.8,0.82,4.931631855082319,5.516832437265482,6.773367304798159,6.321231091487972,5.608707720762588,0,0,0,0,0
14,50,0.72,0.76,0.72,0.76,0.84,3.9264474390387782,3.999874572084658,4.399668397483114,4.908349312705775,5.608707720762588,0,0,0,0,0
14,100,0.72,0.68,0.66,0.68,0.84,4.171176102583921,4.201482570180908,4.493114000917824,4.405000385484262,5.608707720762588,0,0,0,0,0
14,200,0.84,0.82,0.84,0.84,0.92,4.159373927548221,4.093827047098408,4.318849105867936,4.275711596227217,5.608707720762588,0,0,0,0,0
14,300,0.88,0.88,0.82,0.86,0.94,4.122476208249625,4.118049837656407,4.155144531112174,4.210821079329534,5.608707720762588,0,0,0,0,0
14,500,0.78,0.8,0.76,0.78,0.86,4.004332112500848,3.9712721579422743,4.125595090488796,3.974509458497008,5.608707720762588,0,0,0,0,0
15,0,0.94,0.94,0.94,,0.94,5.346582311543518,5.346582311543518,5.346582311543518,,5.346582311543518,0,0,0,0,0
15,20,0.86,0.86,0.88,0.82,0.9,4.90455974485824,5.219530778247487,6.304943039463968,6.883850857700331,5.346582311543518,0,0,0,0,0
15,50,0.76,0.78,0.84,0.86,0.84,4.182724565452263,4.429330236600567,4.728714440932973,4.967945437997761,5.346582311543518,0,0,0,0,0
15,100,0.84,0.82,0.88,0.88,0.88,4.29774924809108,4.438604521026738,4.727083003488466,4.506768851445004,5.346582311543518,0,0,0,0,0
15,200,0.78,0.78,0.74,0.84,0.9,4.145618091210262,4.285904671710924,4.311142559895945,4.188233807915392,5.346582311543518,0,0,0,0,0
15,300,0.84,0.84,0.8,0.82,0.94,4.088842550997304,4.183511579868632,4.191088411450725,4.10348353242509,5.346582311543518,0,0,0,0,0
15,500,0.82,0.78,0.82,0.84,0.92,4.100294015161229,4.053625648772231,4.0684503132776895,4.077065186539729,5.346582311543518,0,0,0,0,0
16,0,0.98,0.98,0.98,,0.98,5.870000967454466,5.870000967454466,5.870000967454466,,5.870000967454466,0,0,0,0,0
16,20,0.88,0.88,0.84,0.78,0.94,5.271138914619634,5.775020139867088,6.287690711666899,6.444867476504392,5.870000967454466,0,0,0,0,0
16,50,0.76,0.84,0.76,0.78,0.88,4.565424899392874,4.621968207369839,4.874137845647436,5.090877825232949,5.870000967454466,0,0,0,0,0
16,100,0.9,0.9,0.86,0.84,0.92,4.2076898022819975,4.185825654788303,4.579378652837727,4.168489939818511,5.870000967454466,0,0,0,0,0
16,200,0.76,0.8,0.76,0.76,0.82,4.23203759716225,4.221521717895476,4.18794323178116,4.164371626953052,5.870000967454466,0,0,0,0,0
16,300,0.74,0.72,0.76,0.76,0.84,4.081114406778988,4.159875805704543,4.137319622637053,4.12776992119208,5.870000967454466,0,0,0,0,0
