puma,n_obs,eligible_min_size,target_eligible,baplus_share,baplus_stratum,income_min,income_median,income_mean,income_max,income_range,income_iqr,dhcp_width_o20_ols_trim2_corr,width_over_puma_range_ols_trim2_corr,width_over_puma_iqr_ols_trim2_corr,width_over_puma_median_ols_trim2_corr,dhcp_width_o20_rf_trim2_corr,width_over_puma_range_rf_trim2_corr,width_over_puma_iqr_rf_trim2_corr,width_over_puma_median_rf_trim2_corr
3718,13,False,False,0.6923076923076923,"(0.612, 0.8]",18000.0,36000.0,38976.92307692308,67000.0,49000.0,25000.0,120067.0,2.4503469387755104,4.80268,3.3351944444444444,111566.0,2.2768571428571427,4.46264,3.0990555555555557
3719,34,True,True,0.4117647058823529,"(0.2, 0.429]",10120.0,41000.0,57806.470588235294,293000.0,282880.0,50000.0,120067.0,0.4244449943438914,2.40134,2.9284634146341464,111566.0,0.3943933823529412,2.23132,2.721121951219512
3720,6,False,False,0.8333333333333334,"(0.8, 1.0]",40000.0,76500.0,87616.66666666667,160000.0,120000.0,74275.0,120067.0,1.0005583333333334,1.6165196903399528,1.5695032679738563,111566.0,0.9297166666666666,1.5020666442275328,1.4583790849673202
3721,15,False,False,0.6,"(0.429, 0.612]",10000.0,31000.0,34282.0,100000.0,90000.0,17385.0,120067.0,1.3340777777777777,6.9063560540696,3.8731290322580647,111566.0,1.2396222222222222,6.417371297095197,3.5989032258064517
3722,20,False,False,0.4,"(0.2, 0.429]",11100.0,30000.0,51310.0,150000.0,138900.0,56700.0,120067.0,0.8644132469402448,2.117583774250441,4.002233333333334,111566.0,0.80321094312455,1.9676543209876542,3.7188666666666665
3723,12,False,False,0.5,"(0.429, 0.612]",12000.0,31000.0,41100.0,99000.0,87000.0,37450.0,120067.0,1.3800804597701148,3.2060614152202938,3.8731290322580647,111566.0,1.282367816091954,2.979065420560748,3.5989032258064517
3724,18,False,False,0.6111111111111112,"(0.429, 0.612]",11000.0,51000.0,57419.444444444445,145000.0,134000.0,51037.5,120067.0,0.8960223880597015,2.35252510409013,2.3542549019607844,111566.0,0.8325820895522388,2.1859613029635074,2.1875686274509802
3725,21,True,True,0.5238095238095238,"(0.429, 0.612]",18000.0,60000.0,52685.71428571428,91000.0,73000.0,47000.0,120067.0,1.6447534246575342,2.554617021276596,2.001116666666667,111566.0,1.5283013698630137,2.373744680851064,1.8594333333333333
3726,2,False,False,0.5,"(0.429, 0.612]",38000.0,41500.0,41500.0,45000.0,7000.0,3500.0,120067.0,17.152428571428572,34.304857142857145,2.8931807228915662,111566.0,15.938,31.876,2.68833734939759
3727,12,False,False,0.75,"(0.612, 0.8]",18000.0,60000.0,82350.0,210000.0,192000.0,63100.0,120067.0,0.6253489583333334,1.9028050713153724,2.001116666666667,111566.0,0.5810729166666667,1.768082408874802,1.8594333333333333
3728,4,False,False,1.0,"(0.8, 1.0]",12000.0,97500.0,126750.0,300000.0,288000.0,180750.0,120067.0,0.41689930555555554,0.664271092669433,1.2314564102564103,111566.0,0.38738194444444446,0.6172392807745505,1.1442666666666668
3729,33,True,True,0.9696969696969697,"(0.8, 1.0]",11400.0,60000.0,72072.72727272728,250000.0,238600.0,50000.0,120067.0,0.5032145850796311,2.40134,2.001116666666667,111566.0,0.4675859178541492,2.23132,1.8594333333333333
3730,24,True,True,0.7083333333333334,"(0.612, 0.8]",10000.0,59500.0,58898.75,160000.0,150000.0,44750.0,120067.0,0.8004466666666666,2.6830614525139667,2.017932773109244,111566.0,0.7437733333333333,2.493094972067039,1.8750588235294117
3731,9,False,False,0.7777777777777778,"(0.612, 0.8]",24000.0,84000.0,82000.0,250000.0,226000.0,60000.0,120067.0,0.5312699115044248,2.001116666666667,1.4293690476190477,111566.0,0.49365486725663715,1.8594333333333333,1.3281666666666667
3732,19,False,False,0.5263157894736842,"(0.429, 0.612]",15200.0,30000.0,48863.15789473684,158000.0,142800.0,44500.0,120067.0,0.8408053221288515,2.698134831460674,4.002233333333334,111566.0,0.7812745098039215,2.5071011235955054,3.7188666666666665
3733,25,True,True,0.52,"(0.429, 0.612]",15000.0,26000.0,33268.0,70000.0,55000.0,18400.0,120067.0,2.1830363636363637,6.525380434782608,4.617961538461539,111566.0,2.028472727272727,6.063369565217391,4.291
3734,27,True,True,0.2962962962962963,"(0.2, 0.429]",10000.0,30000.0,34296.2962962963,81000.0,71000.0,30500.0,120067.0,1.6910845070422535,3.936622950819672,4.002233333333334,111566.0,1.5713521126760563,3.6579016393442623,3.7188666666666665
3735,11,False,False,0.2727272727272727,"(0.2, 0.429]",18200.0,35000.0,38481.818181818184,81200.0,63000.0,16500.0,120067.0,1.9058253968253969,7.276787878787879,3.430485714285714,111566.0,1.770888888888889,6.761575757575757,3.1876
3736,32,True,True,0.53125,"(0.429, 0.612]",12000.0,35500.0,45212.8125,120000.0,108000.0,44007.5,120067.0,1.1117314814814814,2.728330398227575,3.382169014084507,111566.0,1.0330185185185186,2.535158779753451,3.1427042253521127
3737,21,True,True,0.23809523809523808,"(0.2, 0.429]",12000.0,31700.0,38109.52380952381,122000.0,110000.0,33800.0,120067.0,1.0915181818181818,3.5522781065088758,3.787602523659306,111566.0,1.0142363636363636,3.3007692307692307,3.5194321766561516
3738,7,False,False,0.42857142857142855,"(0.2, 0.429]",12700.0,21000.0,28957.14285714286,71000.0,58300.0,16000.0,120067.0,2.059468267581475,7.5041875,5.717476190476191,111566.0,1.9136535162950257,6.972875,5.312666666666667
3739,8,False,False,0.125,"(-0.001, 0.2]",13300.0,36100.0,32562.5,51000.0,37700.0,10000.0,120067.0,3.1848010610079576,12.0067,3.32595567867036,111566.0,2.9593103448275864,11.1566,3.090470914127424
3740,8,False,False,0.625,"(0.612, 0.8]",25000.0,52000.0,58000.0,100000.0,75000.0,34250.0,120067.0,1.6008933333333333,3.5056058394160585,2.3089807692307693,111566.0,1.4875466666666666,3.2574014598540146,2.1455
3741,3,False,False,0.0,"(-0.001, 0.2]",20000.0,24000.0,24000.0,28000.0,8000.0,4000.0,120067.0,15.008375,30.01675,5.002791666666667,111566.0,13.94575,27.8915,4.648583333333334
3742,22,True,True,0.22727272727272727,"(0.2, 0.429]",10300.0,25450.0,36163.63636363636,118800.0,108500.0,25750.0,120067.0,1.1066082949308755,4.662796116504854,4.717760314341847,111566.0,1.028258064516129,4.332660194174757,4.3837328094302555
3743,8,False,False,0.5,"(0.429, 0.612]",17000.0,29000.0,33000.0,57000.0,40000.0,16500.0,120067.0,3.001675,7.276787878787879,4.1402413793103445,111566.0,2.78915,6.761575757575757,3.847103448275862
3744,21,True,True,0.3333333333333333,"(0.2, 0.429]",12000.0,40000.0,46019.04761904762,135000.0,123000.0,29200.0,120067.0,0.9761544715447155,4.111883561643836,3.001675,111566.0,0.9070406504065041,3.8207534246575343,2.78915
3745,22,True,True,0.045454545454545456,"(-0.001, 0.2]",10000.0,22500.0,27977.272727272728,140000.0,130000.0,15950.0,120067.0,0.9235923076923077,7.527711598746081,5.336311111111111,111566.0,0.8582,6.994733542319749,4.958488888888889
3746,16,False,False,0.625,"(0.612, 0.8]",10000.0,34000.0,34937.5,60000.0,50000.0,17500.0,120067.0,2.40134,6.860971428571428,3.5313823529411765,111566.0,2.23132,6.3752,3.2813529411764706
3747,7,False,False,0.5714285714285714,"(0.429, 0.612]",20000.0,43000.0,48285.71428571428,90000.0,70000.0,49500.0,120067.0,1.715242857142857,2.4255959595959595,2.7922558139534885,111566.0,1.5938,2.253858585858586,2.594558139534884
3748,12,False,False,0.5833333333333334,"(0.429, 0.612]",20000.0,64000.0,75608.33333333333,245000.0,225000.0,63325.0,120067.0,0.5336311111111111,1.896044216344256,1.876046875,111566.0,0.4958488888888889,1.7618002368732728,1.74321875
3749,3,False,False,0.0,"(-0.001, 0.2]",10000.0,22900.0,25966.666666666668,45000.0,35000.0,17500.0,120067.0,3.430485714285714,6.860971428571428,5.243100436681223,111566.0,3.1876,6.3752,4.871877729257642
