state_fips,age,cow,english,marital,educ,sex,hours,yoep,nativity,income,state_abb,entry_recency,age_sq,educ_level,married,female,y
36,30,1.0,3.0,1,21.0,2,40.0,2017.0,2,69200.0,NY,1.0,900,BAplus,1,1,11.1447705923684
36,29,1.0,2.0,5,21.0,1,40.0,2017.0,2,120000.0,NY,1.0,841,BAplus,0,0,11.695255355062795
36,27,1.0,1.0,5,22.0,1,36.0,2018.0,2,100000.0,NY,0.0,729,BAplus,0,0,11.51293546492023
36,49,1.0,1.0,2,21.0,2,40.0,2017.0,2,82000.0,NY,1.0,2401,BAplus,0,1,11.314486721293981
36,33,1.0,2.0,1,22.0,1,40.0,2018.0,2,250000.0,NY,0.0,1089,BAplus,1,0,12.429220196836383
36,38,1.0,1.0,1,21.0,1,40.0,2017.0,2,150000.0,NY,1.0,1444,BAplus,1,0,11.918397239722838
36,44,1.0,2.0,1,21.0,1,55.0,2017.0,2,253000.0,NY,1.0,1936,BAplus,1,0,12.441148720271016
36,31,1.0,1.0,1,21.0,1,40.0,2017.0,2,70000.0,NY,1.0,961,BAplus,1,0,11.156264806643742
36,28,1.0,1.0,5,16.0,1,55.0,2017.0,2,75000.0,NY,1.0,784,HS,0,0,11.225256725762893
36,46,1.0,1.0,1,22.0,2,40.0,2017.0,2,60000.0,NY,1.0,2116,BAplus,1,1,11.002116507732017
36,36,7.0,1.0,5,21.0,1,40.0,2017.0,2,150000.0,NY,1.0,1296,BAplus,0,0,11.918397239722838
36,35,1.0,3.0,1,22.0,1,40.0,2017.0,2,85000.0,NY,1.0,1225,BAplus,1,0,11.350418300109132
36,53,1.0,1.0,1,22.0,1,55.0,2017.0,2,253000.0,NY,1.0,2809,BAplus,1,0,12.441148720271016
36,30,1.0,2.0,1,22.0,1,50.0,2017.0,2,206000.0,NY,1.0,900,BAplus,1,0,12.235636302128867
36,34,1.0,1.0,1,22.0,1,40.0,2017.0,2,115000.0,NY,1.0,1156,BAplus,1,0,11.652696102959753
36,39,1.0,1.0,1,22.0,1,40.0,2017.0,2,92300.0,NY,1.0,1521,BAplus,1,0,11.43281025466844
36,43,5.0,2.0,1,22.0,1,40.0,2018.0,2,80000.0,NY,0.0,1849,BAplus,1,0,11.289794413577894
36,30,1.0,1.0,1,22.0,1,42.0,2018.0,2,100000.0,NY,0.0,900,BAplus,1,0,11.51293546492023
36,29,1.0,1.0,1,22.0,2,50.0,2018.0,2,92000.0,NY,0.0,841,BAplus,1,1,11.429554725537322
36,42,1.0,1.0,5,22.0,1,60.0,2017.0,2,170000.0,NY,1.0,1764,BAplus,0,0,12.04355959836804
36,42,4.0,2.0,1,20.0,2,40.0,2017.0,2,80000.0,NY,1.0,1764,SomeCollege,1,1,11.289794413577894
36,45,1.0,3.0,1,9.0,1,40.0,2017.0,2,120000.0,NY,1.0,2025,<HS,1,0,11.695255355062795
36,31,1.0,3.0,1,22.0,1,50.0,2017.0,2,70000.0,NY,1.0,961,BAplus,1,0,11.156264806643742
36,35,1.0,1.0,4,22.0,1,60.0,2017.0,2,196100.0,NY,1.0,1225,BAplus,0,0,12.186385111610496
36,36,1.0,1.0,5,21.0,1,40.0,2017.0,2,100000.0,NY,1.0,1296,BAplus,0,0,11.51293546492023
36,31,1.0,2.0,1,22.0,1,40.0,2017.0,2,87080.0,NY,1.0,961,BAplus,1,0,11.374593998975703
36,35,2.0,2.0,1,16.0,1,40.0,2017.0,2,60000.0,NY,1.0,1225,HS,1,0,11.002116507732017
36,25,1.0,2.0,5,21.0,1,40.0,2017.0,2,80000.0,NY,1.0,625,BAplus,0,0,11.289794413577894
36,38,1.0,3.0,1,22.0,1,45.0,2017.0,2,80000.0,NY,1.0,1444,BAplus,1,0,11.289794413577894
36,38,1.0,3.0,1,21.0,1,50.0,2017.0,2,120200.0,NY,1.0,1444,BAplus,1,0,11.696920620516192
36,28,1.0,1.0,5,21.0,2,50.0,2018.0,2,60000.0,NY,0.0,784,BAplus,0,1,11.002116507732017
36,30,4.0,3.0,5,21.0,2,40.0,2017.0,2,80000.0,NY,1.0,900,BAplus,0,1,11.289794413577894
36,35,1.0,3.0,5,17.0,1,40.0,2018.0,2,75000.0,NY,0.0,1225,HS,0,0,11.225256725762893
36,34,1.0,1.0,1,22.0,2,40.0,2017.0,2,100000.0,NY,1.0,1156,BAplus,1,1,11.51293546492023
36,47,6.0,1.0,1,21.0,1,40.0,2017.0,2,171000.0,NY,1.0,2209,BAplus,1,0,12.049424683420915
36,51,1.0,1.0,1,22.0,1,40.0,2017.0,2,250000.0,NY,1.0,2601,BAplus,1,0,12.429220196836383
37,27,1.0,1.0,5,22.0,1,40.0,2018.0,2,80000.0,NC,0.0,729,BAplus,0,0,11.289794413577894
37,32,1.0,1.0,1,21.0,1,40.0,2017.0,2,75500.0,NC,1.0,1024,BAplus,1,0,11.231901180182515
37,47,1.0,1.0,1,22.0,1,40.0,2018.0,2,70000.0,NC,0.0,2209,BAplus,1,0,11.156264806643742
37,45,4.0,1.0,1,21.0,1,45.0,2017.0,2,75000.0,NC,1.0,2025,BAplus,1,0,11.225256725762893
37,40,1.0,2.0,1,21.0,1,40.0,2018.0,2,100000.0,NC,0.0,1600,BAplus,1,0,11.51293546492023
37,34,1.0,1.0,1,21.0,1,40.0,2017.0,2,94000.0,NC,1.0,1156,BAplus,1,0,11.451060699493427
37,28,2.0,1.0,5,21.0,1,20.0,2017.0,2,47100.0,NC,1.0,784,BAplus,0,0,10.76004951120163
37,37,1.0,1.0,1,23.0,1,40.0,2017.0,2,55000.0,NC,1.0,1369,BAplus,1,0,10.915106645867503
37,35,1.0,1.0,5,22.0,1,50.0,2017.0,2,135000.0,NC,1.0,1225,BAplus,0,0,11.813037464800539
37,33,1.0,1.0,1,16.0,2,40.0,2017.0,2,45000.0,NC,1.0,1089,HS,1,1,10.714439990727769
37,33,1.0,1.0,1,20.0,1,40.0,2018.0,2,80000.0,NC,0.0,1089,SomeCollege,1,0,11.289794413577894
37,44,1.0,2.0,1,12.0,2,40.0,2017.0,2,63000.0,NC,1.0,1936,<HS,1,1,11.050905878263567
37,29,1.0,1.0,1,21.0,1,40.0,2017.0,2,70000.0,NC,1.0,841,BAplus,1,0,11.156264806643742
37,40,4.0,1.0,5,23.0,2,40.0,2017.0,2,100000.0,NC,1.0,1600,BAplus,0,1,11.51293546492023
37,37,1.0,2.0,1,22.0,1,40.0,2017.0,2,60000.0,NC,1.0,1369,BAplus,1,0,11.002116507732017
37,32,1.0,1.0,1,21.0,1,40.0,2018.0,2,120000.0,NC,0.0,1024,BAplus,1,0,11.695255355062795
37,44,1.0,3.0,1,21.0,1,40.0,2017.0,2,98000.0,NC,1.0,1936,BAplus,1,0,11.49273296168228
37,34,1.0,1.0,1,22.0,1,48.0,2017.0,2,156900.0,NC,1.0,1156,BAplus,1,0,11.963370312187111
37,41,1.0,1.0,1,20.0,1,50.0,2017.0,2,140000.0,NC,1.0,1681,SomeCollege,1,0,11.849404844423074
37,36,1.0,1.0,1,22.0,1,40.0,2017.0,2,98000.0,NC,1.0,1296,BAplus,1,0,11.49273296168228
37,27,1.0,1.0,1,22.0,2,50.0,2017.0,2,130000.0,NC,1.0,729,BAplus,1,1,11.775297421715827
37,40,4.0,1.0,1,21.0,2,40.0,2017.0,2,47600.0,NC,1.0,1600,BAplus,1,1,10.7706090484022
37,31,1.0,2.0,1,20.0,2,40.0,2017.0,2,93000.0,NC,1.0,961,SomeCollege,1,1,11.440365524765756
37,33,1.0,1.0,1,21.0,1,40.0,2017.0,2,60000.0,NC,1.0,1089,BAplus,1,0,11.002116507732017
37,26,1.0,1.0,5,22.0,1,40.0,2017.0,2,73000.0,NC,1.0,676,BAplus,0,0,11.19822841866684
37,33,1.0,2.0,1,24.0,1,60.0,2018.0,2,120000.0,NC,0.0,1089,BAplus,1,0,11.695255355062795
37,44,1.0,1.0,1,22.0,1,40.0,2018.0,2,88000.0,NC,0.0,1936,BAplus,1,0,11.385103457032141
