tau_B,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite
5.0,15,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,15,S-HCP-within,0.792,0.40591742237893413,20.591505473636765,19.005104954300943,7.1109641634848435,0.0,0
5.0,15,Std-CP,0.8922,0.3101586685552025,5.230422543589783,4.242247197106146,4.875056293178518,0.0,0
5.0,15,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,20,Donor-HCP-no-within,0.7718,0.419714178934188,21.012094860092365,19.33311846867705,8.787748512068088,0.0,0
5.0,20,Donor-HCP-within,0.7822,0.41279200506779373,11.460252781439268,10.530246700314526,4.546550998648783,0.0,0
5.0,20,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,20,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,20,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,20,S-HCP-within,0.7852,0.4107246023064459,20.254315561405257,18.55157198225118,7.039740622089153,0.0,0
5.0,20,Std-CP,0.8154,0.3880115340941787,2.931945290681898,2.719229955277504,1.3863073619203305,0.0,0
5.0,20,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,25,Donor-HCP-no-within,0.796,0.40300928438022293,11.528399098279843,10.115207894256155,7.2363778995639985,0.0,0
5.0,25,Donor-HCP-within,0.86,0.34702173536676795,3.1840388055810465,3.0308200638477483,1.27898809911974,0.0,0
5.0,25,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,25,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,25,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,25,S-HCP-within,0.8528,0.35434061502217157,12.05539448317392,10.679253589378028,7.288196782146694,0.0,0
5.0,25,Std-CP,0.8528,0.3543406150221716,2.9639781639235867,2.8343527757915075,1.2731029513407308,0.0,0
5.0,25,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,30,Donor-HCP-no-within,0.7956,0.4033028274561518,11.511074553738839,10.09393830443946,7.231772021318855,0.0,0
5.0,30,Donor-HCP-within,0.8122,0.3905914391464137,2.6138610391071118,2.527068331387335,0.9619186824054757,0.0,0
5.0,30,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,30,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,30,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,30,S-HCP-within,0.8078,0.39406879861720706,11.622443568989704,10.24808933490724,7.243842123214337,0.0,0
5.0,30,Std-CP,0.811,0.39154777733041213,2.448142956040241,2.389091738364262,0.9827121129956339,0.0,0
5.0,30,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
5.0,35,Donor-HCP-no-within,0.7956,0.40330282745615276,11.498502161692429,10.017114389486864,7.2231164570721305,0.0,0
5.0,35,Donor-HCP-within,0.8452,0.3617500969267667,2.6914447358565874,2.6389366046658154,0.950459035686404,0.0,0
5.0,35,HCP,0.8222,0.3823825352714955,25.230559981769325,23.70430734854518,10.14022334818334,0.0,0
5.0,35,Pooling,0.7644,0.42441567564493377,22.356130757296395,20.6958658100126,9.632228978671908,0.0,0
5.0,35,Repeated,0.8016,0.39883487040474536,24.178136832790013,22.16536655772202,10.07214537262212,0.0,0
5.0,35,S-HCP-within,0.8366,0.3697672045451184,11.869831936919239,10.493496455919349,7.248952068324518,0.0,0
5.0,35,Std-CP,0.8386,0.3679362926147471,2.5361161432399038,2.4816238981289,0.9666135711420085,0.0,0
5.0,35,Subsampling,0.794,0.40447091285266523,23.79559343562862,21.492169205504705,9.838034354758598,0.0,0
