test_state,test_obs_index,year_of_entry,n_observed_so_far,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
AL,5,2018.0,5,Pooling,0,0.8935117172285238,0,10.409261827322615,11.302773544551139,10.239995502805316,10.856017685936877,19,660,9
AL,5,2018.0,5,Subsampling,0,1.1436601384952958,0,10.284187616689229,11.427847755184525,10.239995502805316,10.856017685936877,19,660,9
AL,5,2018.0,5,Repeated,0,0.9822120574089084,0,10.364911657232422,11.34712371464133,10.239995502805316,10.856017685936877,19,660,9
AL,6,2018.0,6,HCP++,1,1.7958970994837173,0,9.974342578815023,11.77023967829874,11.225256725762893,11.206197076703205,19,660,9
AL,6,2018.0,6,HCP.sample,1,1.6991383162127498,0,10.02009774966248,11.71923606587523,11.225256725762893,11.206197076703205,19,660,9
AL,6,2018.0,6,HCP,1,0.9822120574089084,0,10.715091047998751,11.69730310540766,11.225256725762893,11.206197076703205,19,660,9
AL,6,2018.0,6,Pooling,1,0.8935117172285238,0,10.759441218088943,11.652952935317467,11.225256725762893,11.206197076703205,19,660,9
AL,6,2018.0,6,Subsampling,1,0.9834968363353127,0,10.714448658535549,11.697945494870861,11.225256725762893,11.206197076703205,19,660,9
AL,6,2018.0,6,Repeated,1,0.9822120574089084,0,10.715091047998751,11.69730310540766,11.225256725762893,11.206197076703205,19,660,9
AL,7,2018.0,7,HCP++,1,1.7275204818597238,0,9.90575076377217,11.633271245631894,10.596659732783579,11.09910043444663,19,660,9
AL,7,2018.0,7,HCP.sample,1,1.4037237662397466,0,10.210494416392851,11.614218182632598,10.596659732783579,11.09910043444663,19,660,9
AL,7,2018.0,7,HCP,0,0.9822120574089084,0,10.607994405742176,11.590206463151084,10.596659732783579,11.09910043444663,19,660,9
AL,7,2018.0,7,Pooling,0,0.8935117172285238,0,10.652344575832368,11.545856293060892,10.596659732783579,11.09910043444663,19,660,9
AL,7,2018.0,7,Subsampling,0,0.9822120574089084,0,10.607994405742176,11.590206463151084,10.596659732783579,11.09910043444663,19,660,9
AL,7,2018.0,7,Repeated,0,0.9986607803839149,0,10.599770044254672,11.598430824638587,10.596659732783579,11.09910043444663,19,660,9
AL,8,2018.0,8,HCP++,1,1.9109222813943347,0,10.624560265577536,12.53548254697187,11.156264806643742,11.640165684192354,19,660,9
AL,8,2018.0,8,HCP.sample,1,1.579512144447385,0,10.70856062887856,12.288072773325945,11.156264806643742,11.640165684192354,19,660,9
AL,8,2018.0,8,HCP,1,0.9822120574089084,0,11.1490596554879,12.131271712896808,11.156264806643742,11.640165684192354,19,660,9
AL,8,2018.0,8,Pooling,0,0.8935117172285238,0,11.193409825578092,12.086921542806616,11.156264806643742,11.640165684192354,19,660,9
AL,8,2018.0,8,Subsampling,0,0.8032710337054745,0,11.238530167339617,12.041801201045091,11.156264806643742,11.640165684192354,19,660,9
AL,8,2018.0,8,Repeated,1,0.9834968363353127,0,11.148417266024698,12.13191410236001,11.156264806643742,11.640165684192354,19,660,9
TN,0,2017.0,0,HCP++,1,1.0217632765717326,0,10.792168406540362,11.813931683112095,10.819798284210286,11.31090431291474,19,660,38
TN,0,2017.0,0,HCP.sample,0,0.918183927101424,0,10.851812349364028,11.769996276465452,10.819798284210286,11.31090431291474,19,660,38
TN,0,2017.0,0,HCP,1,0.9822120574089084,0,10.819798284210286,11.802010341619194,10.819798284210286,11.31090431291474,19,660,38
TN,0,2017.0,0,Pooling,0,0.8935117172285238,0,10.864148454300478,11.757660171529002,10.819798284210286,11.31090431291474,19,660,38
TN,0,2017.0,0,Subsampling,1,1.557820452419648,0,10.531994086704916,12.089814539124564,10.819798284210286,11.31090431291474,19,660,38
TN,0,2017.0,0,Repeated,1,0.9822120574089084,0,10.819798284210286,11.802010341619194,10.819798284210286,11.31090431291474,19,660,38
TN,1,2017.0,1,HCP++,1,1.1395268309105369,0,10.755455410852269,11.894982241762806,11.264476926102367,11.323801290723146,19,660,38
TN,1,2017.0,1,HCP.sample,1,0.9972329361860837,0,10.829128625752258,11.826361561938342,11.264476926102367,11.323801290723146,19,660,38
TN,1,2017.0,1,HCP,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,38
TN,1,2017.0,1,Pooling,1,0.8935117172285238,0,10.877045432108885,11.770557149337408,11.264476926102367,11.323801290723146,19,660,38
TN,1,2017.0,1,Subsampling,1,0.9822120574089084,0,10.832695262018692,11.8149073194276,11.264476926102367,11.323801290723146,19,660,38
TN,1,2017.0,1,Repeated,1,0.9834968363353127,0,10.83205287255549,11.815549708890803,11.264476926102367,11.323801290723146,19,660,38
TN,2,2017.0,2,HCP++,1,2.2380508681511238,0,9.651550709072852,11.889601577223976,10.62135173563291,11.274467288223036,19,660,38
TN,2,2017.0,2,HCP.sample,1,1.7211115103694858,0,9.91541033080011,11.636521841169596,10.62135173563291,11.274467288223036,19,660,38
TN,2,2017.0,2,HCP,0,0.9822120574089084,0,10.783361259518582,11.76557331692749,10.62135173563291,11.274467288223036,19,660,38
TN,2,2017.0,2,Pooling,0,0.8935117172285238,0,10.827711429608774,11.721223146837298,10.62135173563291,11.274467288223036,19,660,38
TN,2,2017.0,2,Subsampling,0,1.1379050979478968,0,10.705514739249088,11.843419837196985,10.62135173563291,11.274467288223036,19,660,38
TN,2,2017.0,2,Repeated,0,0.9834968363353127,0,10.78271887005538,11.766215706390692,10.62135173563291,11.274467288223036,19,660,38
TN,3,2017.0,3,HCP++,0,2.115990746535722,0,9.666630996714137,11.782621743249859,12.100717685412471,11.162446337073629,19,660,38
TN,3,2017.0,3,HCP.sample,0,1.6982805597587358,0,10.263671545746428,11.961952105505164,12.100717685412471,11.162446337073629,19,660,38
TN,3,2017.0,3,HCP,0,0.9822120574089084,0,10.671340308369174,11.653552365778083,12.100717685412471,11.162446337073629,19,660,38
TN,3,2017.0,3,Pooling,0,0.8935117172285238,0,10.715690478459367,11.60920219568789,12.100717685412471,11.162446337073629,19,660,38
TN,3,2017.0,3,Subsampling,0,0.8935117172285238,0,10.715690478459367,11.60920219568789,12.100717685412471,11.162446337073629,19,660,38
TN,3,2017.0,3,Repeated,0,0.9834968363353127,0,10.670697918905972,11.654194755241285,12.100717685412471,11.162446337073629,19,660,38
TN,4,2017.0,4,HCP++,1,1.7285734829365857,0,9.723994728634471,11.452568211571057,10.373522431293592,10.959886521397886,19,660,38
