experiment,o,alpha,coverage,width,method,dataset,nominal_coverage
10074,0,0.05,1,,D-HCP,fixedN21,0.95
10075,0,0.05,1,,D-HCP,fixedN21,0.95
10076,0,0.05,1,,D-HCP,fixedN21,0.95
10077,0,0.05,1,,D-HCP,fixedN21,0.95
10078,0,0.05,1,,D-HCP,fixedN21,0.95
10079,0,0.05,1,,D-HCP,fixedN21,0.95
10080,0,0.05,1,,D-HCP,fixedN21,0.95
10081,0,0.05,1,,D-HCP,fixedN21,0.95
10082,0,0.05,1,,D-HCP,fixedN21,0.95
10083,0,0.05,1,,D-HCP,fixedN21,0.95
10084,0,0.05,1,,D-HCP,fixedN21,0.95
10085,0,0.05,1,,D-HCP,fixedN21,0.95
10086,0,0.05,1,,D-HCP,fixedN21,0.95
10087,0,0.05,1,,D-HCP,fixedN21,0.95
10088,0,0.05,1,,D-HCP,fixedN21,0.95
10089,0,0.05,1,,D-HCP,fixedN21,0.95
10090,0,0.05,1,,D-HCP,fixedN21,0.95
10091,0,0.05,1,,D-HCP,fixedN21,0.95
10092,0,0.05,1,,D-HCP,fixedN21,0.95
10093,0,0.05,1,,D-HCP,fixedN21,0.95
10094,0,0.05,1,,D-HCP,fixedN21,0.95
10095,0,0.05,1,,D-HCP,fixedN21,0.95
10096,0,0.05,1,,D-HCP,fixedN21,0.95
10097,0,0.05,1,,D-HCP,fixedN21,0.95
10098,0,0.05,1,,D-HCP,fixedN21,0.95
10099,0,0.05,1,,D-HCP,fixedN21,0.95
20000,0,0.05,1,,D-HCP,fixedN21,0.95
20001,0,0.05,1,,D-HCP,fixedN21,0.95
20002,0,0.05,1,,D-HCP,fixedN21,0.95
20003,0,0.05,1,,D-HCP,fixedN21,0.95
20004,0,0.05,1,,D-HCP,fixedN21,0.95
20005,0,0.05,1,,D-HCP,fixedN21,0.95
20006,0,0.05,1,,D-HCP,fixedN21,0.95
20007,0,0.05,1,,D-HCP,fixedN21,0.95
20008,0,0.05,1,,D-HCP,fixedN21,0.95
20009,0,0.05,1,,D-HCP,fixedN21,0.95
20010,0,0.05,1,,D-HCP,fixedN21,0.95
20011,0,0.05,1,,D-HCP,fixedN21,0.95
20012,0,0.05,1,,D-HCP,fixedN21,0.95
20013,0,0.05,1,,D-HCP,fixedN21,0.95
20014,0,0.05,1,,D-HCP,fixedN21,0.95
20015,0,0.05,1,,D-HCP,fixedN21,0.95
20016,0,0.05,1,,D-HCP,fixedN21,0.95
20017,0,0.05,1,,D-HCP,fixedN21,0.95
20018,0,0.05,1,,D-HCP,fixedN21,0.95
20019,0,0.05,1,,D-HCP,fixedN21,0.95
20020,0,0.05,1,,D-HCP,fixedN21,0.95
20021,0,0.05,1,,D-HCP,fixedN21,0.95
20022,0,0.05,1,,D-HCP,fixedN21,0.95
20023,0,0.05,1,,D-HCP,fixedN21,0.95
20024,0,0.05,1,,D-HCP,fixedN21,0.95
20025,0,0.05,1,,D-HCP,fixedN21,0.95
20026,0,0.05,1,,D-HCP,fixedN21,0.95
20027,0,0.05,1,,D-HCP,fixedN21,0.95
20028,0,0.05,1,,D-HCP,fixedN21,0.95
20029,0,0.05,1,,D-HCP,fixedN21,0.95
20030,0,0.05,1,,D-HCP,fixedN21,0.95
20031,0,0.05,1,,D-HCP,fixedN21,0.95
20032,0,0.05,1,,D-HCP,fixedN21,0.95
20033,0,0.05,1,,D-HCP,fixedN21,0.95
20034,0,0.05,1,,D-HCP,fixedN21,0.95
20035,0,0.05,1,,D-HCP,fixedN21,0.95
20036,0,0.05,1,,D-HCP,fixedN21,0.95
20037,0,0.05,1,,D-HCP,fixedN21,0.95
20038,0,0.05,1,,D-HCP,fixedN21,0.95
20039,0,0.05,1,,D-HCP,fixedN21,0.95
20040,0,0.05,1,,D-HCP,fixedN21,0.95
20041,0,0.05,1,,D-HCP,fixedN21,0.95
20042,0,0.05,1,,D-HCP,fixedN21,0.95
20043,0,0.05,1,,D-HCP,fixedN21,0.95
20044,0,0.05,1,,D-HCP,fixedN21,0.95
20045,0,0.05,1,,D-HCP,fixedN21,0.95
20046,0,0.05,1,,D-HCP,fixedN21,0.95
20047,0,0.05,1,,D-HCP,fixedN21,0.95
20048,0,0.05,1,,D-HCP,fixedN21,0.95
20049,0,0.05,1,,D-HCP,fixedN21,0.95
20050,0,0.05,1,,D-HCP,fixedN21,0.95
20051,0,0.05,1,,D-HCP,fixedN21,0.95
20052,0,0.05,1,,D-HCP,fixedN21,0.95
20053,0,0.05,1,,D-HCP,fixedN21,0.95
20054,0,0.05,1,,D-HCP,fixedN21,0.95
20055,0,0.05,1,,D-HCP,fixedN21,0.95
20056,0,0.05,1,,D-HCP,fixedN21,0.95
20057,0,0.05,1,,D-HCP,fixedN21,0.95
20058,0,0.05,1,,D-HCP,fixedN21,0.95
20059,0,0.05,1,,D-HCP,fixedN21,0.95
20060,0,0.05,1,,D-HCP,fixedN21,0.95
20061,0,0.05,1,,D-HCP,fixedN21,0.95
20062,0,0.05,1,,D-HCP,fixedN21,0.95
20063,0,0.05,1,,D-HCP,fixedN21,0.95
20064,0,0.05,1,,D-HCP,fixedN21,0.95
20065,0,0.05,1,,D-HCP,fixedN21,0.95
20066,0,0.05,1,,D-HCP,fixedN21,0.95
20067,0,0.05,1,,D-HCP,fixedN21,0.95
20068,0,0.05,1,,D-HCP,fixedN21,0.95
20069,0,0.05,1,,D-HCP,fixedN21,0.95
20070,0,0.05,1,,D-HCP,fixedN21,0.95
20071,0,0.05,1,,D-HCP,fixedN21,0.95
20072,0,0.05,1,,D-HCP,fixedN21,0.95
20073,0,0.05,1,,D-HCP,fixedN21,0.95
20074,0,0.05,1,,D-HCP,fixedN21,0.95
20075,0,0.05,1,,D-HCP,fixedN21,0.95
20076,0,0.05,1,,D-HCP,fixedN21,0.95
20077,0,0.05,1,,D-HCP,fixedN21,0.95
20078,0,0.05,1,,D-HCP,fixedN21,0.95
20079,0,0.05,1,,D-HCP,fixedN21,0.95
20080,0,0.05,1,,D-HCP,fixedN21,0.95
20081,0,0.05,1,,D-HCP,fixedN21,0.95
20082,0,0.05,1,,D-HCP,fixedN21,0.95
20083,0,0.05,1,,D-HCP,fixedN21,0.95
20084,0,0.05,1,,D-HCP,fixedN21,0.95
20085,0,0.05,1,,D-HCP,fixedN21,0.95
20086,0,0.05,1,,D-HCP,fixedN21,0.95
20087,0,0.05,1,,D-HCP,fixedN21,0.95
20088,0,0.05,1,,D-HCP,fixedN21,0.95
