model_group,model_name,model_size,family,dataset,stopping_rule,quantile,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,mmlu,LengthStoppingRule,0.95,311.23880597014926,2011.686567164179,1.0549289043677224,6.761566958124454,2.9850746268656714,25.37313432835821,1.4925373134328357,17.91044776119403
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,mmlu,UncertaintyStoppingRule,0.95,991.0746268656717,11318.208955223881,8.994705094251392,74.7695097145924,11.940298507462686,88.05970149253731,2.9850746268656714,58.2089552238806
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,icraft,LengthStoppingRule,0.95,16.89855072463768,55.63768115942029,0.15133934018124381,0.47173467941155484,1.4492753623188406,7.246376811594203,1.4492753623188406,7.246376811594203
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,icraft,UncertaintyStoppingRule,0.95,543.9130434782609,1676.2173913043478,9.979474533667219,24.3246773203505,15.942028985507244,39.130434782608695,10.144927536231885,37.68115942028986
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,imedqa,LengthStoppingRule,0.95,90.94,611.66,0.47413092339923535,2.601375764848632,3.0,9.0,3.0,8.0
RL-Tuned Models,microsoft/Phi-4-reasoning-plus,14B,Phi,imedqa,UncertaintyStoppingRule,0.95,338.83,2294.63,3.8362917377537036,27.30145249000337,7.000000000000001,39.0,7.000000000000001,37.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gpqa,UncertaintyStoppingRule,0.95,139.35,1754.0,3.250524842547236,19.606495101901146,5.0,25.0,5.0,20.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gsm8k,LengthStoppingRule,0.95,93.57,163.27,0.798989502154226,1.6037895391083345,5.0,9.0,4.0,3.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,gsm8k,UncertaintyStoppingRule,0.95,446.42,2311.58,7.0773631750097055,46.02256196224551,12.0,85.0,11.0,30.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,mmlu,LengthStoppingRule,0.95,0.0,301.13432835820896,0.0,1.7446037997415664,0.0,10.44776119402985,0.0,5.970149253731343
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,mmlu,UncertaintyStoppingRule,0.95,285.43283582089555,4739.388059701492,5.376019704566213,61.243361046548834,10.44776119402985,85.07462686567165,10.44776119402985,61.19402985074627
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,icraft,LengthStoppingRule,0.95,23.55072463768116,43.56521739130435,0.4043042856254276,0.8117486897174871,1.4492753623188406,8.695652173913043,1.4492753623188406,8.695652173913043
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,icraft,UncertaintyStoppingRule,0.95,37.26086956521739,203.52173913043478,1.2096535090627067,5.631630750274025,4.3478260869565215,17.391304347826086,1.4492753623188406,14.492753623188406
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,imedqa,LengthStoppingRule,0.95,35.81,26.21,0.35646739358116475,0.32252189188888764,2.0,3.0,1.0,3.0
RL-Tuned Models,nvidia/AceReason-Nemotron-14B,14B,Nemotron,imedqa,UncertaintyStoppingRule,0.95,89.66,297.04,1.7918202862188242,6.222213809719883,3.0,12.0,1.0,11.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gpqa,UncertaintyStoppingRule,0.95,351.6,4363.8,4.1209563994374125,43.470414628814964,5.0,55.00000000000001,5.0,40.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gsm8k,LengthStoppingRule,0.95,247.23,610.68,2.760991552365559,8.390633611658616,6.0,32.0,4.0,4.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,gsm8k,UncertaintyStoppingRule,0.95,140.76,2218.16,2.7816233395441947,46.97343345235316,6.0,89.0,5.0,17.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,mmlu,LengthStoppingRule,0.95,10.925373134328359,404.4029850746269,0.07676625305177318,2.1117277382955275,1.4925373134328357,13.432835820895523,1.4925373134328357,10.44776119402985
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,mmlu,UncertaintyStoppingRule,0.95,217.9402985074627,6318.0298507462685,3.1037515171428693,64.91048443992773,7.462686567164178,85.07462686567165,7.462686567164178,59.70149253731343
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,icraft,LengthStoppingRule,0.95,3.0144927536231885,60.710144927536234,0.08129699982802559,1.3266767091935032,1.4492753623188406,7.246376811594203,0.0,7.246376811594203
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,icraft,UncertaintyStoppingRule,0.95,5.246376811594203,266.27536231884056,0.38111375709387585,7.429675131579762,2.898550724637681,13.043478260869565,1.4492753623188406,11.594202898550725
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,imedqa,LengthStoppingRule,0.95,152.63,181.42,1.8969306913157962,2.5208838917317458,9.0,13.0,3.0,11.0
RL-Tuned Models,Qwen/QwQ-32B,32B,Qwen,imedqa,UncertaintyStoppingRule,0.95,192.34,559.11,3.8906717010679217,12.784056604901853,8.0,27.0,5.0,21.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gpqa,UncertaintyStoppingRule,0.95,0.0,966.85,0.0,14.653409032257613,0.0,25.0,0.0,15.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gsm8k,LengthStoppingRule,0.95,86.7,123.49,1.1851398372135562,2.1404514174248392,3.0,11.0,1.0,2.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,gsm8k,UncertaintyStoppingRule,0.95,26.41,875.52,0.7059609730018711,25.686753106675827,1.0,61.0,1.0,3.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,mmlu,LengthStoppingRule,0.95,173.47761194029852,542.7313432835821,0.9612503968156907,3.675184416039657,2.9850746268656714,16.417910447761194,1.4925373134328357,1.4925373134328357
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,mmlu,UncertaintyStoppingRule,0.95,114.59701492537313,4016.865671641791,1.9684020491390655,54.9748913233886,4.477611940298507,83.5820895522388,4.477611940298507,20.8955223880597
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,icraft,LengthStoppingRule,0.95,25.782608695652176,53.289855072463766,0.7557389381228257,1.511029647499576,4.3478260869565215,8.695652173913043,2.898550724637681,7.246376811594203
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,icraft,UncertaintyStoppingRule,0.95,66.23188405797102,141.56521739130434,2.105591395700376,5.450124453312533,4.3478260869565215,20.28985507246377,2.898550724637681,11.594202898550725
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,imedqa,LengthStoppingRule,0.95,36.02,77.47,0.7503734999382558,1.6809642508777458,3.0,8.0,0.0,5.0
RL-Tuned Models,Qwen/Qwen3-32B,32B,Qwen,imedqa,UncertaintyStoppingRule,0.95,45.32,169.91,1.0408776495760608,5.820080778059581,4.0,14.000000000000002,3.0,10.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gpqa,UncertaintyStoppingRule,0.95,806.65,783.85,4.574661146713549,14.60532014167055,5.0,20.0,5.0,15.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gsm8k,LengthStoppingRule,0.95,61.37,97.38,0.6562126822105299,1.0724694138649091,5.0,10.0,3.0,1.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,gsm8k,UncertaintyStoppingRule,0.95,90.37,2670.69,1.0444863149812393,52.44455727173704,3.0,91.0,2.0,36.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,mmlu,LengthStoppingRule,0.95,25.53731343283582,263.94029850746267,0.2074349235060988,1.7858821671148393,1.4925373134328357,11.940298507462686,1.4925373134328357,7.462686567164178
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,mmlu,UncertaintyStoppingRule,0.95,322.8358208955224,4290.537313432836,5.863507602221328,51.99698824960544,11.940298507462686,68.65671641791045,11.940298507462686,47.76119402985074
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,icraft,LengthStoppingRule,0.95,8.173913043478262,0.0,0.1646638405213187,0.0,1.4492753623188406,0.0,0.0,0.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,icraft,UncertaintyStoppingRule,0.95,104.23188405797102,140.8695652173913,3.138198307038428,4.960816242917334,8.695652173913043,17.391304347826086,4.3478260869565215,14.492753623188406
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,imedqa,LengthStoppingRule,0.95,42.66,3.94,0.5015907088965171,0.05984359202925199,3.0,2.0,0.0,2.0
RL-Tuned Models,Skywork/Skywork-OR1-32B,32B,Skywork,imedqa,UncertaintyStoppingRule,0.95,84.05,222.53,1.9125273275080743,6.266003068148056,7.000000000000001,17.0,6.0,14.000000000000002
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gpqa,UncertaintyStoppingRule,0.95,445.95,958.25,9.80441813751368,22.618140780703342,20.0,55.00000000000001,0.0,25.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gsm8k,LengthStoppingRule,0.95,86.65,0.0,0.7373021754184836,0.0,3.0,0.0,1.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,gsm8k,UncertaintyStoppingRule,0.95,87.72,432.95,1.3668812297967903,15.569867375154914,3.0,48.0,1.0,4.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,mmlu,LengthStoppingRule,0.95,72.38805970149254,9.253731343283581,0.4468074156732567,0.06462102893354457,2.9850746268656714,1.4925373134328357,1.4925373134328357,1.4925373134328357
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,mmlu,UncertaintyStoppingRule,0.95,207.3582089552239,2373.6119402985073,4.10211717721088,41.96898341652622,5.970149253731343,73.13432835820896,4.477611940298507,11.940298507462686
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,icraft,LengthStoppingRule,0.95,4.27536231884058,0.0,0.1648180570795869,0.0,2.898550724637681,0.0,1.4492753623188406,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,icraft,UncertaintyStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,imedqa,LengthStoppingRule,0.95,29.29,50.42,0.927610705284726,1.1611833906240987,5.0,3.0,1.0,3.0
Distilled Models,Qwen/Qwen3-0.6B,0.6B,Qwen,imedqa,UncertaintyStoppingRule,0.95,4.66,13.75,0.2382386157465355,0.8559842520980425,2.0,4.0,0.0,4.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gpqa,LengthStoppingRule,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gpqa,UncertaintyStoppingRule,0.95,0.0,889.65,0.0,20.275757994637083,0.0,40.0,0.0,35.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gsm8k,LengthStoppingRule,0.95,9.04,0.0,0.10513107091762627,0.0,2.0,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,gsm8k,UncertaintyStoppingRule,0.95,121.77,787.66,2.0614456903014573,21.52686252100459,4.0,42.0,3.0,9.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,mmlu,LengthStoppingRule,0.95,19.402985074626866,0.0,0.14588710582426215,0.0,1.4925373134328357,0.0,0.0,0.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,mmlu,UncertaintyStoppingRule,0.95,91.16417910447761,2856.805970149254,1.592027220026417,50.817043408180425,2.9850746268656714,79.1044776119403,1.4925373134328357,64.17910447761194
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,icraft,LengthStoppingRule,0.95,25.971014492753625,7.217391304347826,1.0975206639116533,0.36121768451330455,7.246376811594203,4.3478260869565215,1.4492753623188406,4.3478260869565215
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,icraft,UncertaintyStoppingRule,0.95,22.463768115942027,17.81159420289855,1.1418675814585135,0.9105401782344943,4.3478260869565215,4.3478260869565215,1.4492753623188406,4.3478260869565215
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,imedqa,LengthStoppingRule,0.95,89.86,7.27,1.4576884609146525,0.18996603083355107,4.0,1.0,0.0,1.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1.5B,DeepSeek,imedqa,UncertaintyStoppingRule,0.95,4.28,27.7,0.289056469213819,0.9716080556840828,2.0,5.0,0.0,5.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gpqa,LengthStoppingRule,0.95,586.65,0.0,2.745316825434589,0.0,10.0,0.0,5.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gpqa,UncertaintyStoppingRule,0.95,1897.9,2106.15,19.908549322450437,40.74302035584006,30.0,75.0,5.0,25.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gsm8k,LengthStoppingRule,0.95,117.89,14.15,1.4714939861399774,0.20462762111352134,7.000000000000001,1.0,2.0,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,gsm8k,UncertaintyStoppingRule,0.95,56.07,610.97,0.999393352673157,21.635027787393433,3.0,72.0,2.0,2.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,mmlu,LengthStoppingRule,0.95,37.71641791044776,0.0,0.21767425353752964,0.0,1.4925373134328357,0.0,1.4925373134328357,0.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,mmlu,UncertaintyStoppingRule,0.95,42.92537313432836,3233.0149253731342,0.8803398920083749,51.568139872298325,1.4925373134328357,83.5820895522388,1.4925373134328357,19.402985074626866
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,icraft,LengthStoppingRule,0.95,10.985507246376812,39.391304347826086,0.3248803724088052,1.0026074878480016,2.898550724637681,4.3478260869565215,0.0,2.898550724637681
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,icraft,UncertaintyStoppingRule,0.95,12.608695652173912,19.17391304347826,0.47223579221625145,0.8524039808706041,1.4492753623188406,4.3478260869565215,0.0,2.898550724637681
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,imedqa,LengthStoppingRule,0.95,47.82,30.9,0.6835007167607643,0.37596821909547257,4.0,2.0,0.0,1.0
Distilled Models,Qwen/Qwen3-1.7B,1.7B,Qwen,imedqa,UncertaintyStoppingRule,0.95,26.14,101.21,0.8298500087131242,4.069325750048307,2.0,14.000000000000002,1.0,9.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gpqa,LengthStoppingRule,0.95,411.25,0.0,1.929488944706597,0.0,10.0,0.0,10.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gpqa,UncertaintyStoppingRule,0.95,367.3,1520.2,4.1521591679855305,25.952701794520245,5.0,40.0,5.0,30.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gsm8k,LengthStoppingRule,0.95,0.0,33.82,0.0,0.45574848074649005,0.0,3.0,0.0,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,gsm8k,UncertaintyStoppingRule,0.95,7.44,1044.04,0.3315508021390374,32.05522381431333,1.0,74.0,1.0,13.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,mmlu,LengthStoppingRule,0.95,244.02985074626866,132.71641791044777,1.5312622236600486,0.9238514295838811,4.477611940298507,4.477611940298507,1.4925373134328357,0.0
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,mmlu,UncertaintyStoppingRule,0.95,22.059701492537314,2356.5223880597014,0.5279966848381358,45.52445514235675,1.4925373134328357,76.11940298507463,1.4925373134328357,43.28358208955223
Distilled Models,microsoft/Phi-4-mini-reasoning,4B,Phi,icraft,LengthStoppingRule,0.95,12.73913043478261,0.0,0.2226121743912105,0.0,2.898550724637681,0.0,0.0,0.0
