summary,spearman_rho,p_value,subsample
resid_q25,0.2437650321032062,0.12457262740413025,40
resid_q75,0.22987304640270093,0.1482249613580763,40
resid_sd,0.16827650603253594,0.2929389778201399,40
resid_mean,0.20698184983960413,0.1941300009814894,41
resid_median,0.1432010349882276,0.37175370188997114,41
resid_q25,0.14355051890522144,0.370575462171524,41
resid_q75,0.2888484573954121,0.06701174311930663,41
resid_sd,0.2555601143017484,0.10681295999369529,41
resid_mean,0.21799059322491018,0.17094115591212766,42
resid_median,0.133240743353903,0.40626455913002013,42
resid_q25,0.19256563826360806,0.22773319321452773,42
resid_q75,0.2702384388154899,0.08748524567179984,42
resid_sd,0.2360763859293416,0.13728607770630644,42
resid_mean,0.3128754766887389,0.046399099487430005,43
resid_median,0.3306991564554249,0.034699641311637795,43
resid_q25,0.2785386818440937,0.07782512582851121,43
resid_q75,0.34310583550870644,0.028080896973942008,43
resid_sd,0.3191661871946281,0.04195148023007527,43
resid_mean,0.1988563487694973,0.21261120669174702,44
resid_median,0.14045496665172133,0.38108918198248637,44
resid_q25,0.08842328227156576,0.5824877418567587,44
resid_q75,0.2082050435490826,0.19144924375132297,44
resid_sd,0.17753782983287278,0.2667874207271587,44
resid_mean,0.21589368972294717,0.17519664430658746,45
resid_median,0.20698184983960413,0.1941300009814894,45
resid_q25,0.2093408662793126,0.18898349854016966,45
resid_q75,0.3237968490947965,0.038904274854680926,45
resid_sd,0.20339963969041724,0.20213277649257147,45
resid_mean,0.32003989698711266,0.041362144802014396,46
resid_median,0.28736315074818825,0.06849186558122886,46
resid_q25,0.23188257892541553,0.14461355147649066,46
resid_q75,0.2893726832709029,0.06649542922881371,46
resid_sd,0.20925349530006412,0.18917236854836894,46
resid_mean,0.1976331550600188,0.21549557249702603,47
resid_median,0.15202550389232214,0.3426892573597178,47
resid_q25,0.10056399711497863,0.5315777953586295,47
resid_q75,0.2606276310981592,0.0998039188349649,47
resid_sd,0.2675299384587876,0.09083087460207374,47
resid_mean,0.3129628476679874,0.04633481537015771,48
resid_median,0.27277219721369533,0.08444270284114923,48
resid_q25,0.23808591845205623,0.13387412688524616,48
resid_q75,0.300206684697712,0.05651247508376102,48
resid_sd,0.34887232013910474,0.025381381162146697,48
resid_mean,0.21851481910040096,0.16988900727113446,49
resid_median,0.24795883910713234,0.11802102892027953,49
resid_q25,0.14503582555244526,0.36559284992139,49
resid_q75,0.22436867471004784,0.15845543907003537,49
resid_sd,0.2819461500347837,0.0741098692820473,49
resid_mean,0.24341554818621236,0.12513065124742526,50
resid_median,0.24367766112395775,0.12471195821273771,50
resid_q25,0.19081821867863882,0.2320612558612308,50
resid_q75,0.28587784410096445,0.06999768710672465,50
resid_sd,0.3388246575255318,0.030235315597581466,50
resid_mean,0.32965070470444335,0.03531317410886261,51
resid_median,0.20724396277734952,0.19355333651258363,51
resid_q25,0.24814438898344546,0.1177372826772834,51
resid_q75,0.37123929082671087,0.01686328820906037,51
resid_sd,0.2503178555468408,0.11445176594095494,51
resid_mean,0.12083406430062159,0.451719178495525,52
resid_median,0.1337649692293938,0.4044036825481427,52
resid_q25,0.055655313781269665,0.7296319555488652,52
resid_q75,0.2371248376803232,0.1354979793105762,52
resid_sd,0.2618508248076376,0.09816612347570301,52
resid_mean,0.3088564116433096,0.04943504164716333,53
resid_median,0.25311372688279155,0.1103279305954571,53
resid_q25,0.29190644166910823,0.06404413619619184,53
resid_q75,0.2871884087896914,0.06866768167028514,53
resid_sd,0.20654499494336181,0.1950937991820507,53
resid_mean,0.25853072759619616,0.10266017907392662,54
resid_median,0.22419393275155095,0.15878841838702298,54
resid_q25,0.2781018269478514,0.0783117948074311,54
resid_q75,0.200516397375218,0.2087397246338427,54
resid_sd,0.1714218612854805,0.2838781911557154,54
resid_mean,0.2852662472462252,0.0706252676240562,55
resid_median,0.1728197969534559,0.27991035442755585,55
resid_q25,0.24367766112395775,0.12471195821273771,55
resid_q75,0.34380480334269403,0.027741532560415887,55
resid_sd,0.1923035253258627,0.2283788538450861,55
resid_mean,0.22908670758946473,0.14965599204608057,56
resid_median,0.21266096349075408,0.1819051431411954,56
resid_q25,0.00786338813236149,0.9610835812310516,56
resid_q75,0.2593170664094323,0.10158184974773844,56
resid_sd,0.26289927655861917,0.09677878496049923,56
resid_mean,0.24944414575435617,0.11576407175332544,57
resid_median,0.3404847061312526,0.02938427476017658,57
resid_q25,0.11288330518901163,0.482240345103537,57
resid_q75,0.3352424473763449,0.03214121465199566,57
resid_sd,0.31907881621537965,0.04201078737183847,57
resid_mean,0.2980224102165005,0.05842211991179675,58
resid_median,0.22777614290073783,0.15206350770482197,58
resid_q25,0.22945617984918126,0.14898234616349057,58
resid_q75,0.3064973952036012,0.0512902906388073,58
resid_sd,0.2941780871295682,0.06190788607476729,58
resid_mean,0.2528516139450462,0.11070968009074322,59
resid_median,0.14660850317891758,0.36036118287656843,59
resid_q25,0.22996041738194933,0.148066580100739,59
resid_q75,0.28456727941223753,0.07134792280916957,59
resid_sd,0.3018667333034328,0.05509479882840478,59
resid_mean,0.23319314361414245,0.1422934491666177,60
resid_median,0.11795082198542235,0.46266417158507356,60
resid_q25,0.2054965431923803,0.19742065939121575,60
resid_q75,0.2986340070712397,0.05788230225961996,60
resid_sd,0.16722805428155435,0.2960002288351191,60
resid_mean,0.22489290058553862,0.15745954927503097,61
resid_median,0.19684681624678266,0.21736404670636914,61
resid_q25,0.1389259079167881,0.38634672729410285,61
resid_q75,0.23843540236905011,0.13328723575851315,61
resid_sd,0.24455137091644238,0.12332389481005859,61
resid_mean,0.23965859607852855,0.13124818036374059,62
resid_median,0.12166938790825625,0.4485747332481777,62
resid_q25,0.09785549675827633,0.5427449620722328,62
resid_q75,0.24970625869210156,0.11536919243355023,62
resid_sd,0.32615586553450493,0.03742283391782526,62
resid_mean,0.26857839020976915,0.08952425734440062,63
resid_median,0.17779994277061814,0.2660705005795166,63
resid_q25,0.3203020099248581,0.04118666372184747,63
resid_q75,0.3174187676096588,0.04315063446647208,63
resid_sd,0.2202622386853702,0.16641554396949845,63
resid_mean,0.20016691345822415,0.20955066508138823,64
resid_median,0.1954488805788073,0.22071335972660464,64
resid_q25,0.19640996135054034,0.21840691142353583,64
resid_q75,0.2622876797038799,0.09758622252156268,64
resid_sd,0.22192228729109095,0.16316355334962276,64
resid_mean,0.27268482623444684,0.08454622996445882,65
resid_median,0.23424159536512398,0.1404572313472805,65
resid_q25,0.2616760828491407,0.09839882297052518,65
resid_q75,0.3435426904049487,0.02786839385375366,65
resid_sd,0.303614152888402,0.05363342778015709,65
resid_mean,0.24961888771285307,0.11550070563076367,66
resid_median,0.21606843168144407,0.1748391466569665,66
resid_q25,0.245425080708927,0.12194745405105287,66
resid_q75,0.2534632107997854,0.1098204864661942,66
resid_sd,0.191604557491875,0.23010673606771848,66
resid_mean,0.19169192847112343,0.2298902636774104,67
resid_median,0.2235823358968117,0.1599578533580496,67
resid_q25,0.08125501070106873,0.61353611201894,67
resid_q75,0.2776649720516091,0.07880084058899588,67
resid_sd,0.2218349163118425,0.16333355422875348,67
resid_mean,0.1281732265574923,0.4245046912432228,68
resid_median,0.007164420298373803,0.964540522226494,68
resid_q25,0.10589823924223095,0.5099172409676023,68
resid_q75,0.2247181586270417,0.15779100485332914,68
resid_sd,0.2264655782120109,0.1544992334852253,68
resid_mean,0.19841949387325497,0.2136382453921507,69
resid_median,0.19684681624678266,0.21736404670636914,69
resid_q25,0.09733127088278556,0.5449192470210871,69
resid_q75,0.31025434731128504,0.04836141040242716,69
resid_sd,0.33707723794056255,0.031153026079290484,69
resid_mean,0.27478172973640985,0.08208867146847261,70
resid_median,0.19527413862031034,0.22113451015989288,70
resid_q25,0.18042107214807196,0.25897140105871186,70
resid_q75,0.30195410428268127,0.055020980749715974,70
resid_sd,0.30169199134493585,0.05524267294448624,70
resid_mean,0.35140607853731015,0.02426541142868553,71
resid_median,0.17622726514414586,0.27039116198771895,71
resid_q25,0.3776173723118485,0.01493170896836851,71
resid_q75,0.29461494202581057,0.06150364054187964,71
resid_sd,0.21668002853618332,0.1735920253849644,71
resid_mean,0.11253382127201778,0.48360618158673063,72
resid_median,0.11131062756253933,0.4884024506498983,72
resid_q25,0.05172361971508892,0.7480849098231119,72
resid_q75,0.17893576550084817,0.2629785813903781,72
resid_sd,0.21414627013797793,0.17880047880660002,72
resid_mean,0.3254568977005172,0.03785688896652712,73
resid_median,0.2613265989321469,0.09886549145580381,73
resid_q25,0.32344736517780265,0.03912776296034028,73
resid_q75,0.30571105639036505,0.05192100550663382,73
resid_sd,0.2265529491912594,0.15433597114992803,73
resid_mean,0.27722811715536677,0.079292270391262,74
resid_median,0.2930422643993382,0.062968816314202,74
resid_q25,0.2536379527582823,0.10956742995059628,74
resid_q75,0.28587784410096445,0.06999768710672465,74
resid_sd,0.2718111164419622,0.0855869357687013,74
resid_mean,0.2717237454627137,0.08569155106471267,75
resid_median,0.22586381884584736,0.15562711304132654,75
resid_q25,0.14810026032638732,0.35544067234306626,75
resid_q75,0.21772848028716485,0.17146898510104452,75
resid_sd,0.271199519587223,0.08632132946557079,75
resid_mean,0.24708512931464774,0.11936405385058808,76
resid_median,0.17413036164218282,0.27622355906279095,76
resid_q25,0.13822088917106531,0.388785136313569,76
resid_q75,0.2304846432574401,0.14711890055693616,76
resid_sd,0.26683097062479993,0.09171010652171943,76
resid_mean,0.25756964682446304,0.10398999274176153,77
resid_median,0.29225592558610203,0.06371172824804372,77
resid_q25,0.22690243310825323,0.1536841812858571,77
resid_q75,0.2667552181572039,0.09180578887528877,77
resid_sd,0.24725987127314467,0.11909453262170762,77
resid_mean,0.22262125512507866,0.16180815915117355,78
resid_median,0.15386029445653984,0.33682647390724824,78
resid_q25,0.10432549311487108,0.5162571595365097,78
resid_q75,0.19728367114302497,0.21632462818177808,78
resid_sd,0.26779205139653295,0.09050284714387535,78
resid_mean,0.26586988985306687,0.09292976227107723,79
resid_median,0.25853072759619616,0.10266017907392662,79
resid_q25,0.19247826728435963,0.22794827439379448,79
resid_q75,0.24297869328997004,0.12583081136753085,79
resid_sd,0.15752987558497522,0.3252881741314392,79
resid_mean,0.3003814266562089,0.05636188614011433,80
resid_median,0.23109624011217936,0.1460189154851781,80
resid_q25,0.2517157912148162,0.11237551785494587,80
resid_q75,0.3128754766887389,0.046399099487430005,80
resid_sd,0.24018282195401933,0.13038144910927368,80
resid_mean,0.205059688296138,0.1983959211941554,81
resid_median,0.23266891773865167,0.14321817189886663,81
resid_q25,0.27268482623444684,0.08454622996445882,81
resid_q75,0.2746943587571614,0.08218994572455225,81
resid_sd,0.24682301637690235,0.11976919635573657,81
resid_mean,0.21126302782277873,0.18486210578410747,82
resid_median,0.12764900068200152,0.4264174765313444,82
resid_q25,0.19405094491083189,0.2240980623013613,82
resid_q75,0.25896758249243845,0.10206003237107104,82
resid_sd,0.2469103873561508,0.11963403403012651,82
resid_mean,0.212835705449251,0.18153790732505043,83
resid_median,0.18085792704431428,0.2578005972773883,83
resid_q25,0.12193151226281623,0.44759047456501516,83
resid_q75,0.330524414496928,0.03480128499960349,83
resid_sd,0.2538126947167792,0.10931481656223135,83
resid_mean,0.23537741809535398,0.1384878194963077,84
resid_median,0.21589368972294717,0.17519664430658746,84
resid_q25,0.25940443738868074,0.10146257234744184,84
resid_q75,0.25127893631857384,0.11302125635731945,84
resid_sd,0.2781891979270999,0.07821427109848524,84
resid_mean,0.12878482341223152,0.42227921189895495,85
resid_median,0.06849884773079343,0.6704408641096891,85
resid_q25,0.07644960684240337,0.6347341098133742,85
resid_q75,0.25110419436007697,0.11328033694296345,85
resid_sd,0.2225338841458302,0.16197713534055022,85
resid_mean,0.27923764967808135,0.07705138118398236,86
resid_median,0.10711682055861321,0.5050320657068416,86
resid_q25,0.14591589070505417,0.36265963721507893,86
resid_q75,0.327291688264735,0.036726179367360154,86
resid_sd,0.31226387983399967,0.04685111069899723,86
resid_mean,0.21877693203814635,0.16936468571115382,87
resid_median,0.25538537234325154,0.10706116579532002,87
resid_q25,0.2538237499989116,0.10929884953506222,87
resid_q75,0.17046078051374744,0.2866271997098873,87
resid_sd,0.2165052865776864,0.1739476921428243,87
resid_mean,0.36005580548290783,0.020758869882116095,88
resid_median,0.26499618006058223,0.09404936055574284,88
resid_q25,0.23127098207067626,0.1457057478079898,88
resid_q75,0.3711519198474623,0.016891145129843105,88
resid_sd,0.2751312136534037,0.08168454648805697,88
resid_mean,0.2462987905014116,0.12058258486578446,89
resid_median,0.13079435593494612,0.4150133562278427,89
resid_q25,0.19640996135054034,0.21840691142353583,89
resid_q75,0.25145367827707077,0.11276262466086315,89
resid_sd,0.2650835510398307,0.09393693531066795,89
resid_mean,0.19728367114302497,0.21632462818177808,90
resid_median,0.2007785103129634,0.2081329551256157,90
resid_q25,0.132722298192202,0.40810973737734185,90
resid_q75,0.20453546242064724,0.1995706976249505,90
resid_sd,0.2842177954952437,0.07171142735597719,90
resid_mean,0.21991275476837638,0.16710609836140056,91
resid_median,0.16827650603253594,0.2929389778201399,91
resid_q25,0.10135033592821477,0.5283568148830862,91
resid_q75,0.21047668900954256,0.18654033616140792,91
resid_sd,0.27548069757039756,0.08128197401792372,91
resid_mean,0.23965859607852855,0.13124818036374059,92
resid_median,0.2372995796388201,0.13520165132797116,92
resid_q25,0.24857043596187153,0.11708771056726129,92
resid_q75,0.20855452746607642,0.19068814321421393,92
resid_sd,0.23013515934044634,0.14775019033801265,92
resid_mean,0.19081821867863882,0.2320612558612308,93
resid_median,0.15036545528660142,0.34804733794763026,93
resid_q25,0.20279687564456936,0.20350174945653351,93
resid_q75,0.1988563487694973,0.21261120669174702,93
resid_sd,0.2119619956567664,0.1833793815433378,93
