replicate,method,o,coverage,width,width_income
7,Std-CP,5,0.5667,6.7458,380385745559972.06
7,Std-CP,10,0.9,5.6363,644287337.5101
7,Std-CP,20,0.7931,6.4488,195037422268.0078
8,donor-HCP-randomized,0,0.8667,1.9979,143500.6853
8,donor-HCP-randomized,5,0.8333,1.9786,149893.2012
8,donor-HCP-randomized,10,0.9,1.9896,138026.7423
8,donor-HCP-randomized,20,0.7667,1.8497,137028.3492
8,donor-HCP-derandomized,0,1.0,3.748,403419.8984
8,donor-HCP-derandomized,5,1.0,3.2422,328021.7916
8,donor-HCP-derandomized,10,0.9667,3.0074,262705.068
8,donor-HCP-derandomized,20,0.8667,2.5136,215180.4299
8,sample-HCP-randomized,0,0.8333,1.9248,138853.9811
8,sample-HCP-randomized,5,0.7667,1.8273,144909.9201
8,sample-HCP-randomized,10,0.8667,1.8643,132209.513
8,sample-HCP-randomized,20,0.7333,1.7108,125660.9589
8,sample-HCP-derandomized,0,1.0,3.5934,371905.7677
8,sample-HCP-derandomized,5,0.9,2.6473,235280.8824
8,sample-HCP-derandomized,10,0.9333,2.6233,211527.5354
8,sample-HCP-derandomized,20,0.8333,2.4129,203176.483
8,HCP,0,0.8667,1.9979,143500.6853
8,HCP,5,0.8333,1.9979,151892.3771
8,HCP,10,0.9,1.9979,138817.443
8,HCP,20,0.8,1.9979,153375.06
8,Pooling,0,0.8333,1.8318,128321.1234
8,Pooling,5,0.7667,1.8318,135825.1386
8,Pooling,10,0.8,1.8318,124133.2764
8,Pooling,20,0.7667,1.8318,137150.9826
8,Subsampling,0,1.0,4.3307,525953.3885
8,Subsampling,5,1.0,4.3307,556710.306
8,Subsampling,10,1.0,4.3307,508788.5424
8,Subsampling,20,0.9333,4.3307,562144.5801
8,Repeated,0,0.9,2.3725,181542.5902
8,Repeated,5,0.9333,2.3725,192158.912
8,Repeated,10,0.9333,2.3725,175617.8244
8,Repeated,20,0.8333,2.3725,194034.6528
8,Std-CP,0,1.0,,
8,Std-CP,5,0.8,9.2259,9.354953141077758e+16
8,Std-CP,10,0.8667,5.2666,39907144.8937
8,Std-CP,20,0.8333,13.3139,1.499558021497952e+49
9,donor-HCP-randomized,0,0.8667,1.835,131915.4219
9,donor-HCP-randomized,5,0.7667,1.8055,121950.4637
9,donor-HCP-randomized,10,0.7333,1.7222,110574.7337
9,donor-HCP-randomized,20,0.8,1.5043,94785.9117
9,donor-HCP-derandomized,0,0.9667,3.3001,322316.8451
9,donor-HCP-derandomized,5,1.0,2.7744,232903.5407
9,donor-HCP-derandomized,10,0.9,2.5466,190767.097
9,donor-HCP-derandomized,20,0.9333,2.1323,150594.8032
9,sample-HCP-randomized,0,0.9,1.8637,140604.9565
9,sample-HCP-randomized,5,0.7,1.6608,115716.9024
9,sample-HCP-randomized,10,0.7,1.6366,106469.5531
9,sample-HCP-randomized,20,0.7333,1.4529,92338.1058
9,sample-HCP-derandomized,0,0.9667,3.3001,322316.8451
9,sample-HCP-derandomized,5,0.9333,2.3969,184763.1419
9,sample-HCP-derandomized,10,0.8333,2.382,172978.9274
9,sample-HCP-derandomized,20,0.9333,2.1152,148981.8342
9,HCP,0,0.8667,1.835,131915.4219
