experiment,o_observed,coverage_none,coverage_constant,coverage_linear,coverage_spline,coverage_stdcp,coverage_hcp,width_none,width_constant,width_linear,width_spline,width_stdcp,width_hcp,infinite_none,infinite_constant,infinite_linear,infinite_spline,infinite_stdcp,infinite_hcp
2,500,0.8,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8,0.7666666666666667,4.17505835512126,4.116427429390179,4.075260162261608,4.000682105889528,4.167176164158634,8.506676898873675,0,0,0,0,0,0
2,750,0.7,0.7,0.6666666666666666,0.6666666666666666,0.6333333333333333,0.9333333333333333,4.294542632542518,4.133846922518019,4.1193625819939905,4.19047442988792,4.093775723135974,8.506676898873675,0,0,0,0,0,0
2,1000,0.9333333333333333,0.9,0.8333333333333334,0.8666666666666667,0.9,0.9666666666666667,4.3197773955175265,4.051578310077321,4.096638935818998,4.2014044516108715,4.014908422524572,8.506676898873675,0,0,0,0,0,0
3,0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,,0.9666666666666667,5.87892603999509,5.87892603999509,5.87892603999509,5.87892603999509,,5.87892603999509,0,0,0,0,0,0
3,20,0.7333333333333333,0.7666666666666667,0.7666666666666667,0.8,0.8666666666666667,0.7666666666666667,4.879276031077272,5.328219656214689,6.017102126429917,17.836562915848432,8.155872788148987,5.87892603999509,0,0,0,0,0,0
3,50,0.8333333333333334,0.9,0.8666666666666667,0.8,0.8,0.9,4.436968369473806,4.505004084149365,4.706289560476899,6.114055099687281,5.721022564687143,5.87892603999509,0,0,0,0,0,0
3,100,0.8333333333333334,0.9,0.9,0.7666666666666667,0.8666666666666667,0.9333333333333333,4.153838193047941,4.272622798213408,4.185944843268403,4.613744676110384,4.343139306136032,5.87892603999509,0,0,0,0,0,0
3,250,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.8,4.315977032753465,4.209741998613895,4.340949670215297,4.491617098366535,4.307173345194095,5.87892603999509,0,0,0,0,0,0
3,500,0.8,0.8666666666666667,0.7666666666666667,0.8333333333333334,0.7666666666666667,0.8333333333333334,4.313539114660747,4.182873788182489,4.138013390858708,4.44733274210013,4.169774818077828,5.87892603999509,0,0,0,0,0,0
3,750,0.8666666666666667,0.8333333333333334,0.8333333333333334,0.7,0.8333333333333334,0.9,4.184714465174036,4.06018600829137,4.1339168356461045,4.131997354073361,4.055673541075139,5.87892603999509,0,0,0,0,0,0
3,1000,0.6,0.5666666666666667,0.6,0.6,0.6,0.7333333333333333,4.323007146487594,4.080752378453959,4.076601120282192,4.301529936237104,4.082066075755188,5.87892603999509,0,0,0,0,0,0
4,0,0.9,0.9,0.9,0.9,,0.9,5.924953775596173,5.924953775596173,5.924953775596173,5.924953775596173,,5.924953775596173,0,0,0,0,0,0
4,20,0.7666666666666667,0.8,0.7333333333333333,0.8333333333333334,0.7666666666666667,0.8666666666666667,4.171479507457873,5.104149259782126,5.802745049970747,9.53055178014618,6.389478657209487,5.924953775596173,0,0,0,0,0,0
4,50,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.9,4.17725908501185,4.368893439084496,4.845026321664084,6.165368031431862,5.004082615984217,5.924953775596173,0,0,0,0,0,0
4,100,0.8666666666666667,0.9,0.8333333333333334,0.9,0.8666666666666667,0.9,4.313212135408271,4.177214780220625,4.583434892092905,4.777702433686706,4.455888177934627,5.924953775596173,0,0,0,0,0,0
