experiment,o_observed,coverage_donor_none,coverage_donor_mean,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_mean,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_mean,infinite_donor_ols,infinite_stdcp,infinite_hcp
4,20,0.78,0.79,0.93,0.75,0.92,1.6121458956720398,1.6280590426670853,2.0259701090793123,1.977456225359919,2.014232238875719,0,0,0,0,0
4,30,0.81,0.79,0.81,0.84,0.92,1.515728009401189,2.392519200588726,1.6990644492088973,1.7546977677331324,2.014232238875719,0,0,0,0,0
4,40,0.86,0.87,0.83,0.84,0.92,1.5405393673524328,2.1940329466299593,1.5518295926212025,1.715719783779525,2.014232238875719,0,0,0,0,0
4,50,0.85,0.78,0.82,0.83,0.94,1.4485852476950138,2.2892838003990894,1.5839759137628269,1.526019344306025,2.014232238875719,0,0,0,0,0
5,0,0.81,0.81,0.81,,0.81,1.4878477010731865,1.4878477010731865,1.4878477010731865,,1.4878477010731865,0,0,0,0,0
5,10,0.74,0.8,0.68,0.77,0.79,1.2965067451560075,1.5646777368219906,1.788059290481557,5.578385122534302,1.4878477010731865,0,0,0,0,0
5,20,0.71,0.81,0.73,0.75,0.81,1.2454206239148284,1.6532203745678304,1.23300281366227,2.041418502522058,1.4878477010731865,0,0,0,0,0
5,30,0.75,0.82,0.78,0.76,0.84,1.4068367039661664,2.3380769544871303,1.6480688442915286,1.5566198272535807,1.4878477010731865,0,0,0,0,0
5,40,0.83,0.83,0.82,0.8,0.74,1.545513873753856,2.2883347191248395,1.5511464903494483,1.6972851920012653,1.4878477010731865,0,0,0,0,0
5,50,0.78,0.78,0.75,0.81,0.71,1.4753993159251388,2.3105747122246614,1.5235711275040964,1.5472524617093515,1.4878477010731865,0,0,0,0,0
6,0,0.88,0.88,0.88,,0.88,1.6882917760166583,1.6882917760166583,1.6882917760166583,,1.6882917760166583,0,0,0,0,0
6,10,0.83,0.85,0.87,0.87,0.88,1.5298402390967167,1.669799634843388,4.260472649391325,5.052684382211821,1.6882917760166583,0,0,0,0,0
6,20,0.85,0.84,0.85,0.81,0.88,1.3918844331993565,1.7744362574936678,1.47626702193765,2.033252503472562,1.6882917760166583,0,0,0,0,0
6,30,0.79,0.77,0.83,0.83,0.84,1.4155352743826612,2.2325047516013745,1.6745053317822842,1.6742107470916863,1.6882917760166583,0,0,0,0,0
6,40,0.77,0.79,0.76,0.77,0.83,1.3567349312757182,2.2230479513507664,1.459610534753529,1.4981723425216948,1.6882917760166583,0,0,0,0,0
6,50,0.81,0.83,0.88,0.84,0.86,1.4223009184100355,2.2662075130024775,1.5829608336108416,1.4988990530392194,1.6882917760166583,0,0,0,0,0
7,0,0.9,0.9,0.9,,0.9,2.0823193623664897,2.0823193623664897,2.0823193623664897,,2.0823193623664897,0,0,0,0,0
7,10,0.85,0.83,0.87,0.83,0.86,1.8400244513213044,2.0763674821867015,4.240232232998195,5.251118709067557,2.0823193623664897,0,0,0,0,0
7,20,0.85,0.8,0.85,0.84,0.91,1.6894335968192515,1.8884215110307907,1.772937074887633,1.989530438158618,2.0823193623664897,0,0,0,0,0
7,30,0.82,0.81,0.78,0.82,0.93,1.4161444496192437,2.1870456033794623,1.6051911430468748,1.7655304928699755,2.0823193623664897,0,0,0,0,0
7,40,0.71,0.78,0.73,0.8,0.92,1.4722704601424663,2.2391328209552923,1.5275563297819656,1.5879520227468902,2.0823193623664897,0,0,0,0,0
7,50,0.77,0.84,0.78,0.84,0.91,1.4230758017074248,2.2913639036153524,1.4514413551831966,1.510983741344473,2.0823193623664897,0,0,0,0,0
8,0,0.84,0.84,0.84,,0.84,1.5776437503866338,1.5776437503866338,1.5776437503866338,,1.5776437503866338,0,0,0,0,0
8,10,0.9,0.86,0.84,0.85,0.91,1.424002441020524,1.5552894872639806,2.534809801477722,5.184791513792729,1.5776437503866338,0,0,0,0,0
8,20,0.84,0.8,0.78,0.77,0.92,1.3180207492077678,1.4832551855378648,1.2817457029351877,1.9965436648420705,1.5776437503866338,0,0,0,0,0
