source_file,config,format,method,o_observed,coverage_mean,coverage_std,coverage_n,width_mean,width_std,width_n,infinite_rate_mean,infinite_rate_std,infinite_n
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,5,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,10,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,15,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,20,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,25,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,30,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,35,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,rep,40,0.8466000000000001,0.04606994682002574,50,1.6279249970577085,0.13630658559728662,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,0,0.987,0.01252996408614168,50,3.165387100705219,0.33224033623148064,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,5,0.9118,0.03636976766491642,50,1.9355150212295833,0.14617606650104994,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,10,0.9052000000000001,0.03534062817777861,50,1.9247808568307119,0.1393116774272478,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,15,0.903,0.03780211634287159,50,1.9080436950339539,0.14258928530752832,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,20,0.9017999999999999,0.03686136188477034,50,1.9015645326670454,0.13590667640694606,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,25,0.9007999999999999,0.037031878159229245,50,1.893292528209853,0.1367318827275484,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,30,0.9012,0.037128964434791335,50,1.8959752446663876,0.13727140749476993,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,35,0.8996,0.037680764323458196,50,1.8939509627578923,0.1377426804991428,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_derandomized,40,0.9002,0.036468616645000396,50,1.8933545718516884,0.1365708982230817,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,0,0.8138000000000001,0.05019521889582712,50,1.5721592045322443,0.15047499036359185,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,5,0.8092000000000001,0.050629635590235096,50,1.5122705193523749,0.13307991111908613,50,0.0,0.0,50
DGP/results/files/fixedN51_K20_d5_u01_rho05_joint_xy_marginal/results_effect_of_o_joint_xy_marginal.csv,fixedN51_K20_d5_u01_rho05_joint_xy_marginal,wide,sample_hcp_randomized,10,0.7928000000000001,0.05344305380496141,50,1.4526380740982063,0.11971933801805486,50,0.0,0.0,50
