puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_<HS,prop_educ_SomeCollege,prop_educ_HS,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75
3764,45,40.08888888888889,7.437076106246393,42.86666666666667,5.391913136608125,11.488888888888889,4.817686271448257,1661.2,590.9266451938006,0.5777777777777777,0.8444444444444444,0.7777777777777778,0.044444444444444446,0.13333333333333333,0.044444444444444446,1.4666666666666666,-15311.879931480598,78557.52901249846,-61951.20693414577,-18580.065800963785,712.6393696405576
3766,34,34.705882352941174,5.567924436555717,44.38235294117647,8.304853294025976,11.941176470588236,5.6404447303198735,1234.5882352941176,401.53630106071193,0.3235294117647059,0.5294117647058824,0.23529411764705882,0.4117647058823529,0.23529411764705882,0.11764705882352941,2.1176470588235294,16544.03522105129,112527.44106167395,-24862.75678937525,-1241.6657600252802,11135.88495022685
3767,69,38.768115942028984,7.49930374716494,41.78260869565217,4.530516024424848,10.347826086956522,5.215435481666619,1558.391304347826,592.9778593573116,0.36231884057971014,0.5942028985507246,0.30434782608695654,0.37681159420289856,0.15942028985507245,0.15942028985507245,2.2753623188405796,-7123.499111520154,67172.53107052179,-27846.090539738303,-6577.861727319425,9385.458486262854
3768,25,41.96,7.190734779330042,43.36,5.529315810598391,9.92,5.71489282489182,1810.28,586.5041574163535,0.28,0.84,0.68,0.04,0.08,0.2,1.56,25635.317684650938,99934.65362455999,-25578.94424836649,17137.93210810446,32920.483755824214
3769,21,36.714285714285715,6.863984681967589,42.19047619047619,5.026122239053161,11.285714285714286,6.372933838844219,1392.8095238095239,501.30306392915844,0.47619047619047616,0.6666666666666666,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.14285714285714285,2.0952380952380953,-11824.818045888076,25256.22002743965,-19753.474644977192,-14992.918388703023,6044.502634422737
3900,32,36.21875,5.762696361499425,45.1875,8.208718810882063,13.59375,4.521342756591303,1343.96875,460.9867036340846,0.3125,0.5625,0.03125,0.78125,0.125,0.0625,2.75,-5733.842264548219,16691.448188889328,-19333.201591046047,345.9833114698995,4598.757815048302
4102,28,35.857142857142854,8.767424072538345,45.17857142857143,7.262555266206859,9.107142857142858,5.908808777073529,1359.857142857143,660.7417669102526,0.4642857142857143,0.39285714285714285,0.5,0.17857142857142858,0.21428571428571427,0.10714285714285714,1.8214285714285714,5742.795315572272,106698.35014029268,-31480.688705705135,-8986.734150996243,15251.90742851147
4701,21,35.904761904761905,7.300032615713178,46.95238095238095,9.249195589218505,12.142857142857142,4.98282765391012,1339.904761904762,574.8584960459317,0.38095238095238093,0.6190476190476191,,0.6190476190476191,0.19047619047619047,0.19047619047619047,2.9047619047619047,1213.6774120542311,26615.15225327837,-18818.553710526263,3553.473722370836,12070.164191381773
4702,38,34.526315789473685,7.318014950551871,42.973684210526315,5.252988040824123,12.026315789473685,4.97825999182751,1244.2105263157894,543.53602818972,0.34210526315789475,0.5789473684210527,0.15789473684210525,0.631578947368421,0.05263157894736842,0.15789473684210525,2.5789473684210527,-8345.785333550157,29628.33888293653,-16695.225866942048,-1979.3933898269024,9048.035794076815
5301,55,38.8,7.001058121085328,44.6,9.721301543708213,11.418181818181818,5.321831030940904,1553.5636363636363,536.366919866683,0.41818181818181815,0.8,0.34545454545454546,0.4,0.09090909090909091,0.16363636363636364,2.0545454545454547,-15038.76308430429,28256.43214063432,-31830.07759412889,-10978.364108270354,6725.961256582057
5302,112,36.25892857142857,6.997741637906334,46.6875,9.30177862484297,11.991071428571429,5.338109689573179,1363.2410714285713,527.8999913056102,0.4732142857142857,0.4732142857142857,0.0625,0.6607142857142857,0.07142857142857142,0.20535714285714285,3.080357142857143,-2814.475726772773,23162.98250349924,-18355.740759538872,-4631.651962814809,10908.912259231241
5303,45,36.68888888888889,7.449289844805288,46.24444444444445,8.615935435827234,11.933333333333334,5.894527508244791,1400.3333333333333,581.7864728575253,0.28888888888888886,0.6666666666666666,0.022222222222222223,0.6,0.13333333333333333,0.24444444444444444,3.2,-3615.5125680609754,17797.942553194607,-15620.354401744291,-2660.088678172615,9871.81126947311
5500,38,38.44736842105263,8.189305380638471,44.26315789473684,12.057708559428908,11.842105263157896,4.857573166685324,1543.5,633.4535009279195,0.34210526315789475,0.7105263157894737,0.2894736842105263,0.2631578947368421,0.2894736842105263,0.15789473684210525,2.1315789473684212,-2837.96305180134,33788.79545331806,-25029.235199963332,-1338.9055616090918,14677.030279935047
5901,24,40.375,8.133732765197795,43.125,6.7264080471966095,8.083333333333334,5.508228364015506,1693.5416666666667,662.253595139628,0.2916666666666667,0.7916666666666666,0.5833333333333334,0.20833333333333334,0.125,0.08333333333333333,1.625,-14200.82479500673,47690.89816129274,-42424.919138548255,-20847.17416750861,6702.049260617554
