tau_B,experiment,o,method,coverage,width,n_infinite
5.0,3,15,Pooling,0.87,18.31757785052009,0
5.0,3,15,Repeated,0.9,19.457614092185732,0
5.0,3,15,S-HCP-within,0.81,28.681961685355546,0
5.0,3,15,Std-CP,0.83,4.823272796400816,0
5.0,3,15,Subsampling,0.9,19.29131649236627,0
5.0,3,20,Donor-HCP-no-within,0.76,15.6313775424815,0
5.0,3,20,Donor-HCP-within,0.88,9.09741998513769,0
5.0,3,20,HCP,0.9,20.029663611646622,0
5.0,3,20,Pooling,0.87,18.31757785052009,0
5.0,3,20,Repeated,0.9,19.457614092185732,0
5.0,3,20,S-HCP-within,0.82,28.3229533737683,0
5.0,3,20,Std-CP,0.75,2.860250897396725,0
5.0,3,20,Subsampling,0.9,19.29131649236627,0
5.0,3,25,Donor-HCP-no-within,0.75,11.349090215246251,0
5.0,3,25,Donor-HCP-within,0.88,3.2478884994247164,0
5.0,3,25,HCP,0.9,20.029663611646622,0
5.0,3,25,Pooling,0.87,18.31757785052009,0
5.0,3,25,Repeated,0.9,19.457614092185732,0
5.0,3,25,S-HCP-within,0.86,12.116260718991619,0
5.0,3,25,Std-CP,0.79,2.8096150499425296,0
5.0,3,25,Subsampling,0.9,19.29131649236627,0
5.0,3,30,Donor-HCP-no-within,0.74,11.344877529934804,0
5.0,3,30,Donor-HCP-within,0.81,2.51571420331271,0
5.0,3,30,HCP,0.9,20.029663611646622,0
5.0,3,30,Pooling,0.87,18.31757785052009,0
5.0,3,30,Repeated,0.9,19.457614092185732,0
5.0,3,30,S-HCP-within,0.79,11.457117375434187,0
5.0,3,30,Std-CP,0.8,2.1784182109997565,0
5.0,3,30,Subsampling,0.9,19.29131649236627,0
5.0,3,35,Donor-HCP-no-within,0.78,11.355336975934012,0
5.0,3,35,Donor-HCP-within,0.84,2.642954863643917,0
5.0,3,35,HCP,0.9,20.029663611646622,0
5.0,3,35,Pooling,0.87,18.31757785052009,0
5.0,3,35,Repeated,0.9,19.457614092185732,0
5.0,3,35,S-HCP-within,0.83,11.738734840722422,0
5.0,3,35,Std-CP,0.76,2.327669095448983,0
5.0,3,35,Subsampling,0.9,19.29131649236627,0
5.0,4,0,Donor-HCP-no-within,0.69,17.61796155663236,0
5.0,4,0,Donor-HCP-within,0.69,17.61796155663236,0
5.0,4,0,HCP,0.69,17.61796155663236,0
5.0,4,0,Pooling,0.65,15.77470052464388,0
5.0,4,0,Repeated,0.67,16.86236187569532,0
5.0,4,0,S-HCP-within,0.52,11.284978502882788,0
5.0,4,0,Std-CP,1.0,,100
5.0,4,0,Subsampling,0.68,17.156646919069964,0
5.0,4,5,Donor-HCP-no-within,0.73,17.438766992392047,0
5.0,4,5,Donor-HCP-within,0.74,15.219543140052487,0
5.0,4,5,HCP,0.69,17.61796155663236,0
5.0,4,5,Pooling,0.65,15.77470052464388,0
5.0,4,5,Repeated,0.67,16.86236187569532,0
5.0,4,5,S-HCP-within,0.52,11.473409099694162,0
5.0,4,5,Std-CP,0.65,6.211990582350496,0
5.0,4,5,Subsampling,0.68,17.156646919069964,0
5.0,4,10,Donor-HCP-no-within,0.68,16.83577809381592,0
5.0,4,10,Donor-HCP-within,0.71,13.464953474805498,0
5.0,4,10,HCP,0.69,17.61796155663236,0
5.0,4,10,Pooling,0.65,15.77470052464388,0
5.0,4,10,Repeated,0.67,16.86236187569532,0
5.0,4,10,S-HCP-within,0.49,11.215161946240505,0
5.0,4,10,Std-CP,0.8,18.17366592850168,0
5.0,4,10,Subsampling,0.68,17.156646919069964,0
5.0,4,15,Donor-HCP-no-within,0.7,16.76431841571514,0
5.0,4,15,Donor-HCP-within,0.67,10.307321758613739,0
5.0,4,15,HCP,0.69,17.61796155663236,0
5.0,4,15,Pooling,0.65,15.77470052464388,0
5.0,4,15,Repeated,0.67,16.86236187569532,0
5.0,4,15,S-HCP-within,0.53,11.248180006484292,0
5.0,4,15,Std-CP,0.91,5.9560426597783716,0
5.0,4,15,Subsampling,0.68,17.156646919069964,0
5.0,4,20,Donor-HCP-no-within,0.65,15.934754518379577,0
5.0,4,20,Donor-HCP-within,0.63,8.187328601521207,0
5.0,4,20,HCP,0.69,17.61796155663236,0
5.0,4,20,Pooling,0.65,15.77470052464388,0
5.0,4,20,Repeated,0.67,16.86236187569532,0
5.0,4,20,S-HCP-within,0.52,11.153471402521202,0
5.0,4,20,Std-CP,0.79,2.919641559650803,0
5.0,4,20,Subsampling,0.68,17.156646919069964,0
5.0,4,25,Donor-HCP-no-within,0.78,13.103153063497166,0
5.0,4,25,Donor-HCP-within,0.88,3.3228422319180266,0
5.0,4,25,HCP,0.69,17.61796155663236,0
5.0,4,25,Pooling,0.65,15.77470052464388,0
5.0,4,25,Repeated,0.67,16.86236187569532,0
5.0,4,25,S-HCP-within,0.86,13.608888015090479,0
5.0,4,25,Std-CP,0.85,2.996138539835179,0
5.0,4,25,Subsampling,0.68,17.156646919069964,0
5.0,4,30,Donor-HCP-no-within,0.75,13.053805626917608,0
5.0,4,30,Donor-HCP-within,0.86,2.753590905554253,0
5.0,4,30,HCP,0.69,17.61796155663236,0
5.0,4,30,Pooling,0.65,15.77470052464388,0
5.0,4,30,Repeated,0.67,16.86236187569532,0
5.0,4,30,S-HCP-within,0.76,13.119821138999471,0
5.0,4,30,Std-CP,0.8,2.4503764984645624,0
5.0,4,30,Subsampling,0.68,17.156646919069964,0
5.0,4,35,Donor-HCP-no-within,0.77,13.063191334224157,0
