experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
20,0,0.9,0.9,,0.9,5.288367721890391,5.288367721890391,,5.288367721890391,0,0,0,0
20,10,0.81,0.83,0.79,0.85,4.668658178149597,5.631078979088276,9.682866507464915,5.288367721890391,0,0,0,0
20,20,0.77,0.81,0.79,0.85,4.212281045981084,5.70167639952642,7.39601791160986,5.288367721890391,0,0,0,0
20,30,0.82,0.8,0.87,0.86,4.049408498413804,5.463150598054414,5.361237791190195,5.288367721890391,0,0,0,0
20,40,0.85,0.86,0.83,0.89,4.393814070461966,4.880581332531387,5.351560640786882,5.288367721890391,0,0,0,0
20,50,0.8,0.86,0.82,0.89,4.410143720930318,5.383653609272455,5.240134624141299,5.288367721890391,0,0,0,0
21,0,0.86,0.86,,0.86,5.695521847450677,5.695521847450677,,5.695521847450677,0,0,0,0
21,10,0.88,0.79,0.76,0.94,4.917360688462781,5.560386255099447,11.057132114932976,5.695521847450677,0,0,0,0
21,20,0.82,0.73,0.76,0.89,4.490191097800357,4.198153630547905,7.120956844157226,5.695521847450677,0,0,0,0
21,30,0.76,0.8,0.84,0.87,4.322977509044193,5.51273081216635,6.078309607299959,5.695521847450677,0,0,0,0
21,40,0.83,0.83,0.79,0.91,4.178388797673337,5.201759936774394,4.929397663235161,5.695521847450677,0,0,0,0
21,50,0.84,0.8,0.82,0.88,4.208168205373269,4.7931441924608045,5.005776449511824,5.695521847450677,0,0,0,0
22,0,0.85,0.85,,0.85,5.915006173877724,5.915006173877724,,5.915006173877724,0,0,0,0
22,10,0.88,0.84,0.78,0.89,5.331902919982669,6.222361829336042,11.347349122315235,5.915006173877724,0,0,0,0
22,20,0.87,0.84,0.76,0.93,4.724765484459816,5.86872990843625,6.891747277049667,5.915006173877724,0,0,0,0
22,30,0.77,0.78,0.81,0.87,4.135142331264527,5.374777171734825,5.702987127506636,5.915006173877724,0,0,0,0
22,40,0.84,0.78,0.81,0.89,4.442176009299592,5.244648664667964,5.159987444529021,5.915006173877724,0,0,0,0
22,50,0.84,0.8,0.83,0.89,4.359868733317029,4.798847285539445,4.966585268397163,5.915006173877724,0,0,0,0
23,0,0.88,0.88,,0.88,6.057119331755743,6.057119331755743,,6.057119331755743,0,0,0,0
23,10,0.89,0.9,0.89,0.91,5.445508507246526,7.2843512573230225,11.720561165561932,6.057119331755743,0,0,0,0
23,20,0.92,0.91,0.81,0.92,4.876367932802269,5.956259074620812,6.951311983712178,6.057119331755743,0,0,0,0
23,30,0.79,0.77,0.76,0.86,4.598413844611134,5.811564072531581,6.1407735083889365,6.057119331755743,0,0,0,0
23,40,0.81,0.82,0.78,0.88,4.617261176106477,5.47208528336572,5.437492575530317,6.057119331755743,0,0,0,0
23,50,0.84,0.76,0.76,0.92,4.4853267826059104,4.822430806254365,4.938408770291375,6.057119331755743,0,0,0,0
24,0,0.85,0.85,,0.85,4.834211877319601,4.834211877319601,,4.834211877319601,0,0,0,0
24,10,0.87,0.96,0.88,0.88,4.256146892520801,8.445336514485483,11.956496017740271,4.834211877319601,0,0,0,0
24,20,0.76,0.79,0.85,0.84,3.9963326783714797,4.479630337503444,7.072041508694686,4.834211877319601,0,0,0,0
24,30,0.81,0.71,0.77,0.84,4.311637167432733,5.208973361888441,5.608964133345305,4.834211877319601,0,0,0,0
24,40,0.82,0.81,0.78,0.86,4.32359880126874,4.940385976240631,5.083696038401194,4.834211877319601,0,0,0,0
24,50,0.84,0.83,0.81,0.86,4.273580609013872,4.731858299703163,4.837077001744426,4.834211877319601,0,0,0,0
25,0,0.96,0.96,,0.96,5.888053751245081,5.888053751245081,,5.888053751245081,0,0,0,0
25,10,0.77,0.85,0.77,0.84,5.0365629531100335,7.218988653392511,10.376770249547084,5.888053751245081,0,0,0,0
25,20,0.84,0.9,0.87,0.95,4.610536966859707,5.850782385348797,7.797351261005977,5.888053751245081,0,0,0,0
25,30,0.8,0.87,0.84,0.9,4.510676495339695,5.553167571178814,5.621609711816825,5.888053751245081,0,0,0,0
25,40,0.81,0.78,0.78,0.89,4.226398917711174,4.823874417322358,5.076873900590318,5.888053751245081,0,0,0,0
25,50,0.8,0.81,0.77,0.93,4.200841376067125,5.053832819904491,4.892975172406288,5.888053751245081,0,0,0,0
26,0,0.85,0.85,,0.85,5.250991837970931,5.250991837970931,,5.250991837970931,0,0,0,0
26,10,0.83,0.86,0.77,0.87,4.586338699416791,5.9745208678210675,11.920281198507057,5.250991837970931,0,0,0,0
26,20,0.76,0.64,0.84,0.81,4.109112696334833,4.178353252721472,7.960676700137796,5.250991837970931,0,0,0,0
26,30,0.76,0.81,0.83,0.87,4.403385913187513,5.781527066526713,5.636180833333348,5.250991837970931,0,0,0,0
26,40,0.8,0.81,0.83,0.89,4.228609555225372,5.099871039215601,4.864964135049798,5.250991837970931,0,0,0,0
26,50,0.8,0.86,0.87,0.88,4.232109234967547,5.132725569086291,4.8244467340943515,5.250991837970931,0,0,0,0
27,0,0.83,0.83,,0.83,5.347971684472469,5.347971684472469,,5.347971684472469,0,0,0,0
27,10,0.89,0.9,0.8,0.92,4.891511437499512,6.84905267421256,9.996240644093394,5.347971684472469,0,0,0,0
27,20,0.77,0.8,0.84,0.8,4.668493156097407,5.276078788082085,7.060854237645431,5.347971684472469,0,0,0,0
27,30,0.83,0.8,0.82,0.85,4.352977768979776,5.940098486427201,6.558671426731221,5.347971684472469,0,0,0,0
27,40,0.83,0.87,0.88,0.91,4.352328553032457,5.287135272628683,5.279299677807314,5.347971684472469,0,0,0,0
27,50,0.84,0.86,0.84,0.86,4.3177510365220115,5.179014686496046,5.194429263936468,5.347971684472469,0,0,0,0
28,0,0.85,0.85,,0.85,4.9612784987763865,4.9612784987763865,,4.9612784987763865,0,0,0,0
28,10,0.81,0.91,0.8,0.84,4.574134332973829,6.297560257931643,11.11376131418437,4.9612784987763865,0,0,0,0
28,20,0.78,0.84,0.82,0.85,3.8072431075865394,5.327545289335139,7.344894265676533,4.9612784987763865,0,0,0,0
28,30,0.79,0.8,0.79,0.84,4.201561136302098,5.821225804205056,5.720066939004328,4.9612784987763865,0,0,0,0
28,40,0.8,0.85,0.83,0.9,4.196662384015592,5.151519477018586,5.339034617834504,4.9612784987763865,0,0,0,0
28,50,0.87,0.86,0.82,0.92,4.132828196580151,4.933361526253085,4.803236560083279,4.9612784987763865,0,0,0,0
29,0,0.93,0.93,,0.93,6.239524215399359,6.239524215399359,,6.239524215399359,0,0,0,0
29,10,0.88,0.84,0.79,0.93,5.156292064355192,6.060661985992674,9.68525723510471,6.239524215399359,0,0,0,0
29,20,0.79,0.82,0.81,0.9,4.423970667119181,5.237593697282324,7.120326738448049,6.239524215399359,0,0,0,0
29,30,0.87,0.84,0.87,0.91,4.382465308628667,5.28662790101454,5.591556689716225,6.239524215399359,0,0,0,0
29,40,0.82,0.76,0.84,0.94,4.278899670365157,4.725576985767179,4.894502277441878,6.239524215399359,0,0,0,0
29,50,0.86,0.87,0.8,0.93,4.340480319169861,5.005173914223809,4.843576058687319,6.239524215399359,0,0,0,0
30,0,0.89,0.89,,0.89,5.626640847340218,5.626640847340218,,5.626640847340218,0,0,0,0
30,10,0.82,0.87,0.8,0.87,4.996449600486045,7.1535739879569356,14.502747487240349,5.626640847340218,0,0,0,0
30,20,0.77,0.8,0.76,0.83,4.482794309869716,5.642875710816041,7.379360234646486,5.626640847340218,0,0,0,0
30,30,0.81,0.81,0.81,0.87,4.3918864864543234,6.001187669990097,5.774246005135689,5.626640847340218,0,0,0,0
30,40,0.76,0.8,0.83,0.85,4.346460445423361,5.343778188064599,5.485354276864464,5.626640847340218,0,0,0,0
30,50,0.74,0.8,0.79,0.86,4.21257750562021,4.803862379976003,4.887595738965904,5.626640847340218,0,0,0,0
31,0,0.86,0.86,,0.86,6.327836611011852,6.327836611011852,,6.327836611011852,0,0,0,0
31,10,0.76,0.77,0.79,0.8,5.41305374784894,6.570308706077721,10.351902599484356,6.327836611011852,0,0,0,0
31,20,0.85,0.88,0.85,0.93,4.693420953598669,5.6529734817170745,6.955821238728918,6.327836611011852,0,0,0,0
31,30,0.74,0.84,0.79,0.85,4.420205950410581,6.1353436682136095,5.883328419052586,6.327836611011852,0,0,0,0
31,40,0.82,0.83,0.8,0.9,4.473433146128179,5.356424140211483,5.267144939504681,6.327836611011852,0,0,0,0
31,50,0.78,0.7,0.78,0.85,4.364303877176807,4.929361261481747,4.93436537338343,6.327836611011852,0,0,0,0
32,0,0.88,0.88,,0.88,5.261559517923628,5.261559517923628,,5.261559517923628,0,0,0,0
32,10,0.82,0.88,0.83,0.88,4.452988666713327,6.170065735981256,11.012466674889756,5.261559517923628,0,0,0,0
32,20,0.73,0.77,0.75,0.82,4.06780610860933,5.094492801539912,7.716526566182498,5.261559517923628,0,0,0,0
32,30,0.84,0.84,0.84,0.86,4.374930288648241,5.893735277384874,5.649312807498875,5.261559517923628,0,0,0,0
32,40,0.84,0.78,0.8,0.9,4.185042635899587,5.187695256706671,5.30052411663404,5.261559517923628,0,0,0,0
