puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_educ_HS
3719,38,39.21052631578947,8.495333837631238,42.36842105263158,5.293652765501999,3.263157894736842,1.968456804355042,1607.7368421052631,664.6682441806519,0.3157894736842105,0.7105263157894737,0.4473684210526316,0.2894736842105263,1.736842105263158,-10801.698878441235,89188.01816717497,-55085.461482580795,-27859.838277609306,13537.097118450321,0.05263157894736842,0.21052631578947367
3725,22,34.68181818181818,9.513831352982193,41.09090909090909,4.308453384077697,3.272727272727273,1.6089576093684346,1289.2272727272727,726.7711326275825,0.5,0.5909090909090909,0.5454545454545454,0.13636363636363635,2.0,-10449.504964486603,37308.930681962745,-35277.720358734456,-8692.064069331347,7820.382813552853,0.13636363636363635,0.18181818181818182
3729,37,34.054054054054056,6.8594863184171855,45.5945945945946,12.072603188531781,2.5405405405405403,1.952129814026416,1205.4594594594594,531.7402036184062,0.40540540540540543,0.5675675675675675,0.972972972972973,0.02702702702702703,1.2432432432432432,-40479.58078847799,43219.00159106015,-57348.00561486714,-49538.93048037356,-21571.14344887971,,
3730,25,35.84,8.029528836322424,41.8,4.051748593714406,2.52,1.8511257835886428,1346.4,615.1914336204626,0.44,0.64,0.72,0.2,1.52,-29852.74869608649,29649.505345576894,-53542.97649667645,-32442.272962861927,-1915.9250629871967,0.04,0.04
3732,22,34.0,8.574602586931334,47.72727272727273,10.09092859090975,3.272727272727273,1.6670995108933295,1226.1818181818182,659.8546475127351,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.2727272727272727,1.9545454545454546,3968.3376905285986,81575.71323340299,-31026.98245847896,-3776.047235791266,21436.418739886227,0.045454545454545456,0.22727272727272727
3733,29,34.62068965517241,8.402439242367356,41.310344827586206,4.149900586381231,2.689655172413793,2.0018464383067887,1266.7586206896551,630.1642447564428,0.27586206896551724,0.27586206896551724,0.5172413793103449,0.034482758620689655,2.0344827586206895,-32591.040290354005,45159.758434831965,-59820.45155927757,-23908.739612420613,-1242.5640411778004,0.2413793103448276,0.20689655172413793
3734,28,33.535714285714285,8.13534648517581,43.92857142857143,11.388521093557879,2.7857142857142856,1.6183471874253743,1188.4642857142858,634.4392380877754,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.21428571428571427,2.8214285714285716,-12137.39670433979,39972.85890356411,-38380.20277792605,-8994.037066891615,4177.602627059641,0.25,0.25
3736,33,36.27272727272727,7.653727552934286,42.15151515151515,7.289209542712829,3.606060606060606,1.599597487248627,1372.5151515151515,589.4651241386191,0.48484848484848486,0.6363636363636364,0.5151515151515151,0.09090909090909091,2.3636363636363638,-17044.475018491165,34542.299601159815,-49374.870437475154,-21570.022224204033,7654.257164141629,0.21212121212121213,0.18181818181818182
3737,21,38.23809523809524,6.587144767687756,42.285714285714285,6.141195788629907,2.8095238095238093,1.3645163106041502,1503.4761904761904,510.9702162599714,0.6190476190476191,0.6666666666666666,0.23809523809523808,0.23809523809523808,2.7142857142857144,-3616.9780440142704,28778.770111404574,-31193.46764857811,-7214.751475674158,23371.970668405993,0.14285714285714285,0.38095238095238093
3742,23,42.17391304347826,8.793862394322343,41.43478260869565,4.480524390540604,2.3043478260869565,1.7693034738587654,1852.608695652174,732.616775620753,0.2608695652173913,0.6956521739130435,0.21739130434782608,,2.5652173913043477,-18190.876825414292,35936.37486813931,-30356.404038697234,-12295.5951363708,6490.368871556944,0.6086956521739131,0.17391304347826086
3744,23,32.43478260869565,4.784692323693454,43.56521739130435,8.06691383456085,3.652173913043478,1.9448929779430473,1073.9130434782608,329.7174979562019,0.2608695652173913,0.5217391304347826,0.391304347826087,0.21739130434782608,1.6521739130434783,-24754.22227524777,39870.371751046485,-45298.34341037083,-14751.326578177279,-2663.3702263823507,0.2608695652173913,0.13043478260869565
3745,23,35.95652173913044,8.412535348403733,44.95652173913044,9.077836450636568,3.739130434782609,1.5140971298358223,1360.5652173913043,651.2036984822768,0.2608695652173913,0.5652173913043478,0.043478260869565216,0.13043478260869565,2.6956521739130435,-6968.328651291031,36981.91164179818,-30515.142949817775,-6996.037814027513,18315.230344851225,0.4782608695652174,0.34782608695652173
3758,31,37.193548387096776,8.627163901842096,42.58064516129032,6.152366447410769,3.4193548387096775,1.857851690320249,1455.3870967741937,664.8344494393249,0.1935483870967742,0.7419354838709677,0.0967741935483871,0.3548387096774194,2.129032258064516,-15947.375948076553,35275.948682003065,-36472.09079714405,-21770.022224204033,-806.1143121477653,0.12903225806451613,0.41935483870967744
3761,27,38.51851851851852,6.296338193257621,41.48148148148148,4.4494629785762685,3.185185185185185,1.468569084753985,1521.851851851852,498.22644710271317,0.2962962962962963,0.8148148148148148,0.7407407407407407,0.1111111111111111,1.8148148148148149,-27834.14515715475,48394.45184591174,-46885.66330171966,-24929.51481696387,1979.593884709131,0.037037037037037035,0.1111111111111111
5903,23,38.391304347826086,8.28876090331076,41.95652173913044,3.925189756496611,2.8260869565217392,1.5855074872402406,1539.608695652174,646.8360575721596,0.21739130434782608,0.9130434782608695,0.9130434782608695,0.043478260869565216,1.565217391304348,-35699.40453310277,45035.55290390493,-67524.21947454609,-34222.112025073875,-11919.627477309929,,0.043478260869565216
