summary,spearman_rho,p_value,subsample
resid_q75,0.22700658803176132,0.12922977768000896,61
resid_sd,0.10075812776548078,0.5052406230457419,61
resid_mean,0.16242531830089166,0.2808167888062679,62
resid_median,0.08288268336755325,0.5839590037276131,62
resid_q25,0.1267362822538184,0.4012990545519259,62
resid_q75,0.25582296896134343,0.08616011045541695,62
resid_sd,0.1005725695191355,0.506029098757447,62
resid_mean,0.14294170243463847,0.3432945758735498,63
resid_median,0.17473401530846114,0.24545863846655872,63
resid_q25,0.08863498900425658,0.5580351130685246,63
resid_q75,0.15017847404210397,0.3191564202017857,63
resid_sd,0.25359627000520024,0.08902502254693913,63
resid_mean,0.16694056896195988,0.2674777944879644,64
resid_median,0.14115232531021235,0.34943215918552517,64
resid_q25,0.08399603284562486,0.5788994534357733,64
resid_q75,0.24586467640748075,0.09955083186296665,64
resid_sd,0.21190751732629662,0.1574243220411994,64
resid_mean,0.07453256228201617,0.6225225987879793,65
resid_median,-0.06457426972815343,0.6698481115129741,65
resid_q25,-0.015030217953966746,0.9210271296097816,65
resid_q75,0.018493971885745093,0.9029064615523595,65
resid_sd,0.3486639448827594,0.01756191830597785,65
resid_mean,0.1049641146826402,0.4875375047283227,66
resid_median,0.07595517550399657,0.6158774799128635,66
resid_q25,0.07100695560145608,0.6391185336555524,66
resid_q75,0.11207718079254216,0.4583503270756601,66
resid_sd,0.19186722672100762,0.2014607791468873,66
resid_mean,0.08888239999938359,0.5569323462179986,67
resid_median,0.023565897285849097,0.8764629999728057,67
resid_q25,0.010762378288025572,0.9434079718984405,67
resid_q75,0.1647757227545984,0.27381977166568605,67
resid_sd,0.18939311676973736,0.20744520189026414,67
resid_mean,0.19972252581629063,0.18326859907338144,68
resid_median,0.06983175337460269,0.6446900362224538,68
resid_q25,0.02427795253473197,0.8727605282659486,68
resid_q75,0.1973782077409674,0.18857013064376862,68
resid_sd,0.29720245789633837,0.04487458719477167,68
resid_mean,0.11331423576817728,0.45337276878092075,69
resid_median,0.06890396214287636,0.6491022589375831,69
resid_q25,-0.029874877661588226,0.8437579473028235,69
resid_q75,0.15921388490293018,0.2905648846962913,69
resid_sd,0.23967940152930511,0.10864127309643686,69
resid_mean,0.06723393792576894,0.6570742089814178,70
resid_median,0.07131621934536485,0.6376555944004871,70
resid_q25,0.04750291106438873,0.7539077584731867,70
resid_q75,0.10317038496796928,0.4950475815030798,70
resid_sd,0.1774555362548584,0.2380672936189856,70
resid_mean,0.12061286012442451,0.42461255974057266,71
resid_median,0.113128677521832,0.454117519476204,71
resid_q25,0.1039467496423365,0.4917897546742469,71
resid_q75,0.1660746304790153,0.2700027847445108,71
resid_sd,0.21722685372152764,0.1470198572572672,71
resid_mean,0.19687729937232987,0.18971691902178484,72
resid_median,0.1372512495467169,0.3630441999557731,72
resid_q25,0.1275403679879812,0.39829383157715426,72
resid_q75,0.1692909734156666,0.2607034592661776,72
resid_sd,0.14974550480063167,0.32056965567207396,72
resid_mean,0.1720124943620639,0.25300383383852737,73
resid_median,0.12846815921970756,0.3948425831057485,73
resid_q25,0.09698511008979366,0.5213948946083939,73
resid_q75,0.1505495905347945,0.31794821380079114,73
resid_sd,0.3201498276943699,0.030078791402226916,73
resid_mean,0.20522742045786693,0.1712406165366959,74
resid_median,0.17881629672805702,0.23442911080072873,74
resid_q25,0.08121265915044583,0.5915853622558729,74
resid_q75,0.29973842059639033,0.04299355419139075,74
resid_sd,0.23269004091696668,0.11966163970988877,74
resid_mean,0.19168166847466236,0.20190534784130207,75
resid_median,0.1166542842023921,0.4400816308866989,75
resid_q25,0.08708867028471268,0.5649505325070951,75
resid_q75,0.25551370521743466,0.08655365903966952,75
resid_sd,0.3162531045211192,0.032258199322043116,75
resid_mean,0.12803518997823524,0.39645098770622117,76
resid_median,0.18896014752826504,0.20850514176478516,76
resid_q25,0.02573074349321056,0.8652148773098458,76
resid_q75,0.2516169820441841,0.09163331575771823,76
resid_sd,0.21196937007507835,0.15730032457274065,76
resid_mean,0.10038701127279025,0.5068181990440253,77
resid_median,0.12927224495387035,0.3918656732589029,77
resid_q25,-0.025143917720684188,0.8682614023887374,77
resid_q75,0.19397022017958732,0.19647044607525208,77
resid_sd,0.3161293990235557,0.03232947063782073,77
