test_clinic,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_test_observed,n_test_total
29,75,19,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,132.67,136.21986171408355,17,19,26
29,75,19,Pooling,1,45.512878985387715,0,113.46342222138969,158.9763012067774,132.67,136.21986171408355,17,19,26
29,75,19,Subsampling,1,59.70424028400333,0,106.36774157208188,166.07198185608522,132.67,136.21986171408355,17,19,26
29,75,19,Repeated,1,54.049233175954726,0,109.19524512610619,163.2444783020609,132.67,136.21986171408355,17,19,26
12,25,6,HCP++,1,51.93733112672447,0,114.292409653247,166.22974077997148,159.0,140.26107521660924,17,6,24
12,25,6,HCP.sample,1,53.30901132210204,0,110.25968335560106,163.5686946777031,159.0,140.26107521660924,17,6,24
12,25,6,HCP,1,56.858718070110285,0,125.36352793099189,182.22224600110218,159.0,153.79288696604704,17,6,24
12,25,6,Pooling,1,45.512878985387715,0,131.03644747335318,176.5493264587409,159.0,153.79288696604704,17,6,24
12,25,6,Subsampling,1,60.96878548391406,0,123.30849422409001,184.27727970800407,159.0,153.79288696604704,17,6,24
12,25,6,Repeated,1,54.049233175954726,0,126.76827037806967,180.8175035540244,159.0,153.79288696604704,17,6,24
12,50,12,HCP++,1,45.044983365231985,0,100.70394209404279,145.74892545927477,114.33,123.22643377665878,17,12,24
12,50,12,HCP.sample,1,46.52892654244505,0,112.4828237717874,159.01175031423244,114.33,123.22643377665878,17,12,24
12,50,12,HCP,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,24
12,50,12,Pooling,0,45.512878985387715,0,114.67982913776927,160.192708123157,114.33,137.43626863046313,17,12,24
12,50,12,Subsampling,1,51.6233935752781,0,111.62457184282408,163.24796541810218,114.33,137.43626863046313,17,12,24
12,50,12,Repeated,1,54.049233175954726,0,110.41165204248577,164.4608852184405,114.33,137.43626863046313,17,12,24
12,75,18,HCP++,1,55.11851754151013,0,99.81884220872547,154.9373597502356,119.33,127.37810097948054,17,18,24
12,75,18,HCP.sample,1,48.510834630548004,0,112.80783894558252,161.31867357613052,119.33,127.37810097948054,17,18,24
12,75,18,HCP,1,56.858718070110285,0,106.8457599739736,163.70447804408388,119.33,135.27511900902874,17,18,24
12,75,18,Pooling,1,45.512878985387715,0,112.51867951633488,158.0315585017226,119.33,135.27511900902874,17,18,24
12,75,18,Subsampling,1,46.411637870448544,0,112.06930007380447,158.48093794425301,119.33,135.27511900902874,17,18,24
12,75,18,Repeated,1,56.858718070110285,0,106.8457599739736,163.70447804408388,119.33,135.27511900902874,17,18,24
31,25,6,HCP++,1,48.56543472320753,0,117.25379574019333,165.81923046340086,159.0,141.53651310179708,17,6,23
31,25,6,HCP.sample,1,50.865868512284806,0,124.34989476552823,175.21576327781304,159.0,141.53651310179708,17,6,23
31,25,6,HCP,1,56.858718070110285,0,125.36352793099189,182.22224600110218,159.0,153.79288696604704,17,6,23
31,25,6,Pooling,1,45.512878985387715,0,131.03644747335318,176.5493264587409,159.0,153.79288696604704,17,6,23
31,25,6,Subsampling,1,63.765904237351094,0,121.90993484737149,185.67583908472258,159.0,153.79288696604704,17,6,23
31,25,6,Repeated,1,56.858718070110285,0,125.36352793099189,182.22224600110218,159.0,153.79288696604704,17,6,23
31,50,12,HCP++,1,45.044983365231985,0,100.70394209404279,145.74892545927477,114.33,123.22643377665878,17,12,23
31,50,12,HCP.sample,1,49.52766777420459,0,112.11086944641497,161.63853722061955,114.33,123.22643377665878,17,12,23
31,50,12,HCP,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,23
31,50,12,Pooling,0,45.512878985387715,0,114.67982913776927,160.192708123157,114.33,137.43626863046313,17,12,23
31,50,12,Subsampling,1,74.72273446403314,0,100.07490139844656,174.7976358624797,114.33,137.43626863046313,17,12,23
31,50,12,Repeated,1,55.0851391585271,0,109.89369905119959,164.9788382097267,114.33,137.43626863046313,17,12,23
31,75,17,HCP++,0,45.15640439642932,0,107.40611002488298,152.5625144213123,160.0,129.98431222309765,17,17,23
31,75,17,HCP.sample,0,44.63788428956843,0,108.98250820851123,153.62039249807967,160.0,129.98431222309765,17,17,23
31,75,17,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,160.0,136.21986171408355,17,17,23
31,75,17,Pooling,0,45.512878985387715,0,113.46342222138969,158.9763012067774,160.0,136.21986171408355,17,17,23
31,75,17,Subsampling,1,89.03121451608598,0,91.70425445604056,180.73546897212654,160.0,136.21986171408355,17,17,23
31,75,17,Repeated,1,59.70424028400333,0,106.36774157208188,166.07198185608522,160.0,136.21986171408355,17,17,23
8,25,6,HCP++,1,51.818763742940234,0,109.89761180580538,161.71637554874562,159.0,135.8069936772755,17,6,23
8,25,6,HCP.sample,0,46.954422694389905,0,110.16639208619407,157.12081478058397,159.0,135.8069936772755,17,6,23
8,25,6,HCP,1,56.858718070110285,0,125.36352793099189,182.22224600110218,159.0,153.79288696604704,17,6,23
8,25,6,Pooling,1,45.512878985387715,0,131.03644747335318,176.5493264587409,159.0,153.79288696604704,17,6,23
8,25,6,Subsampling,1,89.03121451608598,0,109.27727970800404,198.30849422409003,159.0,153.79288696604704,17,6,23
8,25,6,Repeated,1,54.049233175954726,0,126.76827037806967,180.8175035540244,159.0,153.79288696604704,17,6,23
8,50,12,HCP++,1,46.178310414135325,0,100.07781685843415,146.25612727256947,114.33,123.16697206550181,17,12,23
8,50,12,HCP.sample,0,43.29152607246266,0,115.6267363025319,158.91826237499455,114.33,123.16697206550181,17,12,23
8,50,12,HCP,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,23
8,50,12,Pooling,0,45.512878985387715,0,114.67982913776927,160.192708123157,114.33,137.43626863046313,17,12,23
8,50,12,Subsampling,1,54.049233175954726,0,110.41165204248577,164.4608852184405,114.33,137.43626863046313,17,12,23
8,50,12,Repeated,1,56.70004081495061,0,109.08624822298783,165.78628903793845,114.33,137.43626863046313,17,12,23
8,75,17,HCP++,0,51.62560007836521,0,103.93143802379797,155.55703810216318,160.0,129.74423806298057,17,17,23
8,75,17,HCP.sample,0,46.548607488401146,0,111.25229655862411,157.80090404702526,160.0,129.74423806298057,17,17,23
8,75,17,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,160.0,136.21986171408355,17,17,23
8,75,17,Pooling,0,45.512878985387715,0,113.46342222138969,158.9763012067774,160.0,136.21986171408355,17,17,23
8,75,17,Subsampling,1,96.74236439549725,0,87.84867951633493,184.59104391183217,160.0,136.21986171408355,17,17,23
8,75,17,Repeated,1,59.39507226067724,0,106.52232558374493,165.91739784442217,160.0,136.21986171408355,17,17,23
13,25,6,HCP++,1,48.513069614426044,0,116.85228626861165,165.3653558830377,159.0,141.10882107582466,17,6,22
13,25,6,HCP.sample,0,49.09658887864117,0,99.93030899406844,149.0268978727096,159.0,141.10882107582466,17,6,22
13,25,6,HCP,1,56.858718070110285,0,125.36352793099189,182.22224600110218,159.0,153.79288696604704,17,6,22
