experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
2,5,0.86,0.98,0.77,0.85,0.73,0.87,0.75,0.73,0.75,1.9336585594239128,3.03387511903768,1.7039496221755006,2.1583005516206013,1.9801265617799004,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,5
2,10,0.85,0.96,0.73,0.85,0.85,0.87,0.75,0.73,0.75,1.9230979633019145,2.7218729361546816,1.644298915869821,2.1866888955308736,4.386441251697558,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,10
2,15,0.81,0.92,0.75,0.85,0.89,0.87,0.75,0.73,0.75,1.8911176674936443,2.5474125844726014,1.6430906718267215,2.1320437428936927,3.20533021240817,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,15
2,20,0.79,0.92,0.76,0.85,0.74,0.87,0.75,0.73,0.75,1.8468618416128224,2.483378239478238,1.6620401405016985,2.1329615980839343,1.7987477030378611,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,20
2,25,0.79,0.9,0.76,0.85,0.76,0.87,0.75,0.73,0.75,1.8263713896811442,2.3637515380138563,1.6506009923495855,2.1305461507238332,2.1147096254167375,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,25
2,30,0.76,0.88,0.75,0.85,0.74,0.87,0.75,0.73,0.75,1.7838011440333525,2.286229242077657,1.6478568977394041,2.131768425024883,1.722264340148603,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,30
2,35,0.76,0.88,0.77,0.85,0.8,0.87,0.75,0.73,0.75,1.7202427780788598,2.2517991981721703,1.645730616857982,2.1305461507238332,1.7663427997625676,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,35
2,40,0.75,0.88,0.76,0.85,0.74,0.87,0.75,0.73,0.75,1.661053377224207,2.177434336892376,1.6425770076768835,2.1185156961696334,1.658371213894834,1.9413840305706458,1.5732263380121836,1.437295530787801,1.6766119038570728,0,0,0,0,0,0,0,0,0,40
3,0,0.86,0.97,0.86,0.97,1.0,0.86,0.8,0.93,0.84,1.8238666996806454,3.2149832012840536,1.8138254030087955,3.3831721784720723,inf,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,100,0,0,0,0,0
3,5,0.86,0.95,0.87,0.93,0.77,0.86,0.8,0.93,0.84,1.7948216834740411,2.757263050174427,1.689054959560793,2.1003096321741026,1.9532703809224814,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,5
3,10,0.85,0.93,0.85,0.93,0.79,0.86,0.8,0.93,0.84,1.7328745128861796,2.6165078839111398,1.6196973796047307,1.9998813223330458,4.84560845924954,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,10
3,15,0.84,0.93,0.84,0.92,0.87,0.86,0.8,0.93,0.84,1.692474303325524,2.4039399356069464,1.625367903002012,2.0485917659036375,3.01939721041692,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,15
3,20,0.84,0.93,0.83,0.92,0.79,0.86,0.8,0.93,0.84,1.678201377338314,2.3603548746698753,1.6122719812329531,1.9998813223330458,1.9630514694520553,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,20
3,25,0.84,0.93,0.83,0.92,0.84,0.86,0.8,0.93,0.84,1.6710892176419558,2.2689266463162796,1.5870888129783864,2.0004871114486162,2.0867051896727284,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,25
3,30,0.83,0.93,0.85,0.92,0.8,0.86,0.8,0.93,0.84,1.6160628675577757,2.17694090001993,1.587009609389877,1.9998813223330458,1.673294807964699,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,30
3,35,0.83,0.93,0.84,0.91,0.79,0.86,0.8,0.93,0.84,1.568658021324584,2.13010941558757,1.618300978095574,1.9998813223330458,1.7425861048934843,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,35
3,40,0.82,0.92,0.83,0.91,0.79,0.86,0.8,0.93,0.84,1.556454552053856,2.024186601859899,1.5784983706929072,1.9998813223330458,1.5639357950222141,1.8238666996806454,1.469724281016135,2.115180666863738,1.6556037511784398,0,0,0,0,0,0,0,0,0,40
4,0,0.97,1.0,0.84,1.0,1.0,0.97,0.9,0.98,0.94,1.7589684643591168,3.174492617518715,1.5136259120756088,3.1545108027523945,inf,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,100,0,0,0,0,0
4,5,0.97,1.0,0.85,0.99,0.77,0.97,0.9,0.98,0.94,1.7487435753152307,2.72158362467745,1.4761044230797382,1.8257182053911256,1.6125284040266767,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,5
4,10,0.96,1.0,0.83,0.99,0.85,0.97,0.9,0.98,0.94,1.7081955410252934,2.6281349884798484,1.3474822693076995,1.8513351578186543,5.076611419614953,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,10
4,15,0.96,1.0,0.84,0.99,0.91,0.97,0.9,0.98,0.94,1.7081955410252934,2.436337374537949,1.3691272077477032,1.8053122298534678,2.8235632266890405,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,15
4,20,0.96,0.99,0.83,0.99,0.87,0.97,0.9,0.98,0.94,1.6399401397560895,2.2579377222575427,1.348248207713132,1.7999185693913928,1.8147579507817753,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,20
4,25,0.96,0.98,0.82,0.99,0.9,0.97,0.9,0.98,0.94,1.581173339068894,2.16439544595429,1.338138394870815,1.7955086345218234,1.7618880942071518,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,25
4,30,0.96,0.98,0.83,0.99,0.81,0.97,0.9,0.98,0.94,1.5803127716959446,2.10214235173007,1.348248207713132,1.7949167693155659,1.4789291973396645,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,30
4,35,0.93,0.98,0.84,0.99,0.88,0.97,0.9,0.98,0.94,1.5382673582772197,2.0409711500950944,1.3519681844354965,1.7955086345218234,1.6170418945468095,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,35
4,40,0.91,0.98,0.82,0.99,0.89,0.97,0.9,0.98,0.94,1.4640333672313508,2.0177315097430313,1.3061623605970722,1.7917261792633405,1.3652490675006255,1.7589684643591168,1.4402487790806078,1.89144499209465,1.565419878331792,0,0,0,0,0,0,0,0,0,40
5,0,0.82,0.97,0.75,0.97,1.0,0.82,0.73,0.81,0.77,1.7279742897476176,3.1340799769321857,1.5654711561028298,2.9915206786245134,inf,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,100,0,0,0,0,0
5,5,0.82,0.95,0.77,0.89,0.76,0.82,0.73,0.81,0.77,1.6709205443986805,2.615907401989366,1.522032329550408,1.9213567152039532,1.822182819592847,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,5
5,10,0.82,0.94,0.72,0.89,0.73,0.82,0.73,0.81,0.77,1.6149824684844831,2.481999120436984,1.4103600092272996,1.94041282618317,4.603600082437852,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,10
5,15,0.82,0.91,0.79,0.87,0.86,0.82,0.73,0.81,0.77,1.614982468484483,2.2320506226905454,1.4492830337711033,1.9031876073315621,2.811546093063047,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,15
5,20,0.82,0.89,0.75,0.87,0.77,0.82,0.73,0.81,0.77,1.5631848841286091,2.166794835689747,1.4213908188394049,1.890065652588969,1.9451471121053006,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,20
5,25,0.82,0.89,0.76,0.87,0.79,0.82,0.73,0.81,0.77,1.552504880814085,2.0529085924142585,1.4213908188394049,1.900770549679776,1.7679641604856609,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,25
5,30,0.82,0.89,0.73,0.87,0.71,0.82,0.73,0.81,0.77,1.5444674759840176,1.967876631826746,1.4129369892022425,1.8900656525889687,1.7537871375583935,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,30
5,35,0.8,0.87,0.74,0.87,0.8,0.82,0.73,0.81,0.77,1.5134190929537772,1.8954263458349603,1.4121878654783775,1.900770549679776,1.8131385064223946,1.7279742897476176,1.402214989110264,1.5390272000289902,1.4606614208870372,0,0,0,0,0,0,0,0,0,35
