alpha,method,o,nominal_coverage,coverage_mean,coverage_std,coverage_se,coverage_n,width_mean,width_std,width_se,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
0.1,Repeated,0,0.9,0.958,0.20068950215762726,0.006343185319695463,1000.0,247916.7186049791,57538.19730605564,1819.517559473002,244345.04843008792,205890.6557309719,284203.8998045265,114612.19680863924,447003.0320946931,1000.0,1000.0,0.0,1.0,0.0
0.1,Repeated,5,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,10,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,15,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,Repeated,20,0.9,,,,0.0,,,,,,,,,0.0,0.0,0.0,,
0.1,S-HCP,0,0.9,0.911,0.28488622318420415,0.009004387819280108,1000.0,252126.50460186077,213510.4022095084,6751.791751206938,182941.21693790553,133444.693178826,263591.2774759579,38406.60904931791,1063851.615704276,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,5,0.9,0.905,0.29336165574434064,0.009272270487857868,1000.0,159458.2688634614,44106.76842000681,1394.778484368077,153835.9001857203,128192.18352504654,183313.58203311008,60876.952042910925,410555.7031549552,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,10,0.9,0.903,0.296105857217784,0.009359006357514668,1000.0,147727.94466175674,34501.85882330024,1091.0445739120564,144356.1230613403,125351.05819684808,163279.27367286425,71705.49076152654,371193.4882181104,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,15,0.9,0.907,0.290577761426155,0.009184280047995052,1000.0,141581.5914649114,28312.8582581201,895.3311916516701,138901.56051990952,120645.69760321,159050.55235207215,66907.55916155505,294484.05615731573,1000.0,1000.0,0.0,1.0,0.0
0.1,S-HCP,20,0.9,0.9,0.3001501125938321,0.009486832980505136,1000.0,133225.62746217585,24638.533314136686,779.1388347860883,130201.55967076674,115917.38954161249,149901.85895590298,74616.5074342059,218586.47100807837,1000.0,1000.0,0.0,1.0,0.0
0.1,Std-CP,0,0.9,1.0,0.0,0.0,1000.0,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
0.1,Std-CP,5,0.9,0.894,0.30799165387857325,0.009734680272099335,1000.0,140054.07024390245,152621.81822686386,7537.454347857361,94490.0,55813.5,172187.95,3180.0,1077420.0,1000.0,410.0,590.0,0.41,0.59
0.1,Std-CP,10,0.9,0.9,0.3001501125938321,0.009486832980505136,1000.0,172087.43499176274,183744.0192941089,7457.93968156276,114857.6,72801.2,196763.2,17288.0,1095000.0,1000.0,607.0,393.0,0.607,0.393
0.1,Std-CP,15,0.9,0.913,0.2819760814510878,0.008912407082264588,1000.0,207667.8345898722,219133.5814752448,7374.432164651008,135318.2857142857,85947.42857142857,227482.85714285716,23382.857142857152,1086657.1428571427,1000.0,883.0,117.0,0.883,0.117
0.1,Std-CP,20,0.9,0.9,0.3001501125938321,0.009486832980505136,1000.0,211222.60648,218711.24067129256,6916.256704025383,144535.0,91539.3,229768.90000000002,16780.0,1259538.0,1000.0,1000.0,0.0,1.0,0.0
0.1,Subsampling,0,0.9,0.897,0.304110972316823,0.009612023720320294,1000.0,248822.74267893945,205398.91221087475,6495.283915073354,186317.32021127394,133604.92703195065,266639.9070434015,45348.79431678233,1069355.8217071283,1000.0,1000.0,0.0,1.0,0.0
