method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
HCP,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
HCP,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
HCP,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooled-Income-Quantile,0,0.15,0.85,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,5,0.15,0.85,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.15,0.85,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.15,0.85,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.15,0.85,147408.00000000003,0.0,0.0,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,147408.00000000003,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.15,0.85,123919.86179568282,739.7623099621052,23393.338266277213,121170.5244583042,107581.10066867653,139797.04622422738,65830.14159413343,209532.5569049057,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.15,0.85,247916.7186049791,1819.517559473002,57538.19730605564,244345.04843008792,205890.6557309719,284203.8998045265,114612.19680863924,447003.0320946931,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.15,0.85,248875.62915620362,6742.6623046523955,213221.7037606171,179666.26862304978,134177.8821858927,254953.23247423238,46703.35989488085,1076904.8329208111,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.15,0.85,128451.12249024132,1061.672215291441,33573.02328837598,125874.12754508946,104939.23866054922,147967.52684016206,48078.889664950344,362258.4093426054,1000.0,1000.0,0.0,1.0,0.0
S-HCP,10,0.15,0.85,118562.66389930657,791.4250305886507,25027.056939285663,115933.3884734599,101116.20731912022,134677.98684707267,60299.68379516396,208550.16084933377,1000.0,1000.0,0.0,1.0,0.0
S-HCP,15,0.15,0.85,113778.67840153724,655.5765859232994,20731.151921947057,112485.55345247353,99039.91494814695,127869.47597880819,65491.55016687227,187908.60344595707,1000.0,1000.0,0.0,1.0,0.0
S-HCP,20,0.15,0.85,108189.83106076771,573.8596814677194,18147.036507767112,106350.7323699334,95233.18614318405,119992.88959276715,56282.3088038836,169791.20224064728,1000.0,1000.0,0.0,1.0,0.0
Std-CP,0,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
Std-CP,5,0.15,0.85,148556.12269736844,7049.9876021583605,173836.1691820107,98320.0,55995.0,173513.0,3180.0,1102632.0,1000.0,608.0,392.0,0.608,0.392
Std-CP,10,0.15,0.85,168027.5489009793,5955.111126882986,180529.26993235745,111984.0,71826.23999999999,192704.0,12656.0,1095000.0,1000.0,919.0,81.0,0.919,0.081
Std-CP,15,0.15,0.85,172558.418,5753.830662611997,181952.1016476974,118946.62857142856,74160.57142857143,194959.42857142858,13531.428571428572,1086800.0,1000.0,1000.0,0.0,1.0,0.0
Std-CP,20,0.15,0.85,156896.67944,5261.2424315947,166375.09406161882,110246.0,69677.20000000001,177581.0,16780.0,1219479.6,1000.0,1000.0,0.0,1.0,0.0
Subsampling,0,0.15,0.85,248822.74267893945,6495.283915073354,205398.91221087475,186317.32021127394,133604.92703195065,266639.9070434015,45348.79431678233,1069355.8217071283,1000.0,1000.0,0.0,1.0,0.0
Subsampling,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Subsampling,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Subsampling,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Subsampling,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
GHCP,0,0.2,0.8,140824.69694083923,827.5734528395186,26170.170420628194,138509.4631558612,121207.74143538048,157462.8242295867,76262.00168036233,237997.97356652468,1000.0,1000.0,0.0,1.0,0.0
GHCP,5,0.2,0.8,126169.20140488914,697.3326818584097,22051.595615461527,124050.33125765865,110060.55944766192,141153.9586597065,70737.01852728217,201535.16948256717,1000.0,1000.0,0.0,1.0,0.0
GHCP,10,0.2,0.8,115537.01955956478,596.4224212168581,18860.532986376056,114856.86488440869,101799.72972469885,128452.79867498836,68429.97062751043,184227.99826301035,1000.0,1000.0,0.0,1.0,0.0
GHCP,15,0.2,0.8,109312.9589550471,564.8600514670027,17862.443218756634,108142.13521481349,96568.21387894094,120613.90737975322,66503.23607824038,184155.0576118129,1000.0,1000.0,0.0,1.0,0.0
GHCP,20,0.2,0.8,103543.31921693274,531.3573973627601,16802.99627245469,102583.90831655884,91462.28011104617,114814.45230392816,61771.09061624528,163473.68030492126,1000.0,1000.0,0.0,1.0,0.0
