method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
Pooled-Income-Quantile,5,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,10,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,15,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooled-Income-Quantile,20,0.15,0.85,151975.0000000004,1.8416088923355933e-12,5.823678659000281e-11,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,151975.00000000035,1000.0,1000.0,0.0,1.0,0.0
Pooling,0,0.15,0.85,174813.6570032074,2575.512440160958,81444.85453006746,172434.97778221557,106917.8265603001,239057.92050625314,17014.650944286575,453842.1845144733,1000.0,1000.0,0.0,1.0,0.0
Pooling,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Pooling,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,0,0.15,0.85,275235.4119558588,4120.328694417504,130296.2338290722,268977.9144563585,166164.7877708901,367124.5891808496,25291.96561822088,712734.7929839754,1000.0,1000.0,0.0,1.0,0.0
Repeated,5,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,10,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,15,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
Repeated,20,0.15,0.85,,,,,,,,,0.0,0.0,0.0,,
S-HCP,0,0.15,0.85,293734.47449602984,6960.411469150897,220107.5369447565,234367.6600293492,141160.86756582727,387302.92287554784,19949.63278027533,1712777.0049225877,1000.0,1000.0,0.0,1.0,0.0
S-HCP,5,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,10,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,15,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
S-HCP,20,0.15,0.85,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
