method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
Pooling,0,0.125,0.875,0.855,0.011134406135937382,0.3522770203960217,1000.0
Pooling,5,0.125,0.875,,,,0.0
Pooling,10,0.125,0.875,,,,0.0
Pooling,15,0.125,0.875,,,,0.0
Pooling,20,0.125,0.875,,,,0.0
Repeated,0,0.125,0.875,0.917,0.008724161850859943,0.27602026589942125,1000.0
Repeated,5,0.125,0.875,,,,0.0
Repeated,10,0.125,0.875,,,,0.0
Repeated,15,0.125,0.875,,,,0.0
Repeated,20,0.125,0.875,,,,0.0
S-HCP,0,0.125,0.875,0.9,0.009486832980505136,0.3001501125938321,1000.0
S-HCP,5,0.125,0.875,1.0,0.0,0.0,1000.0
S-HCP,10,0.125,0.875,1.0,0.0,0.0,1000.0
S-HCP,15,0.125,0.875,1.0,0.0,0.0,1000.0
S-HCP,20,0.125,0.875,1.0,0.0,0.0,1000.0
Std-CP,0,0.125,0.875,1.0,0.0,0.0,1000.0
Std-CP,5,0.125,0.875,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.125,0.875,0.791,0.012857643641040918,0.40679784228100874,1000.0
Std-CP,15,0.125,0.875,0.861,0.010939789760319894,0.3461196307619647,1000.0
Std-CP,20,0.125,0.875,0.853,0.011197812286335219,0.3542831022170216,1000.0
Subsampling,0,0.125,0.875,0.904,0.009315793041926167,0.2947386484173239,1000.0
Subsampling,5,0.125,0.875,,,,0.0
Subsampling,10,0.125,0.875,,,,0.0
Subsampling,15,0.125,0.875,,,,0.0
Subsampling,20,0.125,0.875,,,,0.0
D-HCP,0,0.15,0.85,0.926,0.008277922444671728,0.2619018758859749,1000.0
D-HCP,5,0.15,0.85,0.899,0.009528850927577784,0.3014795016081357,1000.0
D-HCP,10,0.15,0.85,0.881,0.010239091756596383,0.32395052700056526,1000.0
D-HCP,15,0.15,0.85,0.868,0.010704017937204702,0.33866014039253384,1000.0
D-HCP,20,0.15,0.85,0.849,0.01132249972400088,0.35822803816469656,1000.0
HCP,0,0.15,0.85,0.917,0.008724161850859943,0.2760202658994212,1000.0
HCP,5,0.15,0.85,,,,0.0
HCP,10,0.15,0.85,,,,0.0
HCP,15,0.15,0.85,,,,0.0
HCP,20,0.15,0.85,,,,0.0
Pooled-Income-Quantile,0,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,5,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,10,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,15,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooled-Income-Quantile,20,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
Pooling,0,0.15,0.85,0.83,0.0118785521003193,0.3758207567993568,1000.0
Pooling,5,0.15,0.85,,,,0.0
Pooling,10,0.15,0.85,,,,0.0
Pooling,15,0.15,0.85,,,,0.0
Pooling,20,0.15,0.85,,,,0.0
Repeated,0,0.15,0.85,0.924,0.008379976133617564,0.2651307117146075,1000.0
Repeated,5,0.15,0.85,,,,0.0
Repeated,10,0.15,0.85,,,,0.0
Repeated,15,0.15,0.85,,,,0.0
Repeated,20,0.15,0.85,,,,0.0
S-HCP,0,0.15,0.85,0.9,0.009486832980505136,0.3001501125938321,1000.0
S-HCP,5,0.15,0.85,1.0,0.0,0.0,1000.0
S-HCP,10,0.15,0.85,1.0,0.0,0.0,1000.0
S-HCP,15,0.15,0.85,1.0,0.0,0.0,1000.0
S-HCP,20,0.15,0.85,1.0,0.0,0.0,1000.0
Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
Std-CP,5,0.15,0.85,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.15,0.85,0.791,0.012857643641040918,0.40679784228100874,1000.0
Std-CP,15,0.15,0.85,0.802,0.012601428490452976,0.3986915536538929,1000.0
Std-CP,20,0.15,0.85,0.853,0.011197812286335219,0.3542831022170216,1000.0
Subsampling,0,0.15,0.85,0.894,0.009734680272099335,0.30799165387857325,1000.0
Subsampling,5,0.15,0.85,,,,0.0
Subsampling,10,0.15,0.85,,,,0.0
Subsampling,15,0.15,0.85,,,,0.0
Subsampling,20,0.15,0.85,,,,0.0
D-HCP,0,0.175,0.825,0.893,0.009775019181566856,0.3092679204939411,1000.0
D-HCP,5,0.175,0.825,0.872,0.010564847372300274,0.33425697857745273,1000.0
D-HCP,10,0.175,0.825,0.868,0.010704017937204702,0.33866014039253384,1000.0
D-HCP,15,0.175,0.825,0.849,0.01132249972400088,0.3582280381646966,1000.0
D-HCP,20,0.175,0.825,0.831,0.011850696182081458,0.3749394345485409,1000.0
HCP,0,0.175,0.825,0.887,0.010011543337567888,0.31675121362250747,1000.0
HCP,5,0.175,0.825,,,,0.0
HCP,10,0.175,0.825,,,,0.0
HCP,15,0.175,0.825,,,,0.0
HCP,20,0.175,0.825,,,,0.0
Pooled-Income-Quantile,0,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,5,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,10,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,15,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooled-Income-Quantile,20,0.175,0.825,0.804,0.01255324659201754,0.39716714584887525,1000.0
Pooling,0,0.175,0.825,0.813,0.012330085157856779,0.39010663052963246,1000.0
Pooling,5,0.175,0.825,,,,0.0
Pooling,10,0.175,0.825,,,,0.0
Pooling,15,0.175,0.825,,,,0.0
Pooling,20,0.175,0.825,,,,0.0
Repeated,0,0.175,0.825,0.916,0.008771772910877251,0.2775266131761439,1000.0
Repeated,5,0.175,0.825,,,,0.0
Repeated,10,0.175,0.825,,,,0.0
Repeated,15,0.175,0.825,,,,0.0
Repeated,20,0.175,0.825,,,,0.0
S-HCP,0,0.175,0.825,0.903,0.009359006357514668,0.296105857217784,1000.0
S-HCP,5,0.175,0.825,1.0,0.0,0.0,1000.0
S-HCP,10,0.175,0.825,1.0,0.0,0.0,1000.0
S-HCP,15,0.175,0.825,1.0,0.0,0.0,1000.0
S-HCP,20,0.175,0.825,1.0,0.0,0.0,1000.0
Std-CP,0,0.175,0.825,1.0,0.0,0.0,1000.0
Std-CP,5,0.175,0.825,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.175,0.825,0.791,0.012857643641040918,0.40679784228100874,1000.0
Std-CP,15,0.175,0.825,0.802,0.012601428490452976,0.3986915536538929,1000.0
Std-CP,20,0.175,0.825,0.808,0.01245536029185828,0.3940701603665156,1000.0
Subsampling,0,0.175,0.825,0.9,0.009486832980505136,0.3001501125938321,1000.0
Subsampling,5,0.175,0.825,,,,0.0
Subsampling,10,0.175,0.825,,,,0.0
Subsampling,15,0.175,0.825,,,,0.0
Subsampling,20,0.175,0.825,,,,0.0
D-HCP,0,0.2,0.8,0.87,0.010634848376916336,0.3364717123521875,1000.0
D-HCP,5,0.2,0.8,0.843,0.01150439046625244,0.3639828065767441,1000.0
D-HCP,10,0.2,0.8,0.845,0.011444430960078356,0.36208577175319395,1000.0
D-HCP,15,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
D-HCP,20,0.2,0.8,0.805,0.012528966437819202,0.3963989557656934,1000.0
HCP,0,0.2,0.8,0.86,0.010972693379476163,0.3471606552023436,1000.0
HCP,5,0.2,0.8,,,,0.0
HCP,10,0.2,0.8,,,,0.0
HCP,15,0.2,0.8,,,,0.0
HCP,20,0.2,0.8,,,,0.0
Pooled-Income-Quantile,0,0.2,0.8,0.768,0.013348258313353095,0.4223202035829619,1000.0
Pooled-Income-Quantile,5,0.2,0.8,0.768,0.013348258313353095,0.4223202035829619,1000.0
Pooled-Income-Quantile,10,0.2,0.8,0.768,0.013348258313353095,0.4223202035829619,1000.0
Pooled-Income-Quantile,15,0.2,0.8,0.768,0.013348258313353095,0.4223202035829619,1000.0
Pooled-Income-Quantile,20,0.2,0.8,0.768,0.013348258313353095,0.4223202035829619,1000.0
Pooling,0,0.2,0.8,0.788,0.012925014506761683,0.4089293621436632,1000.0
Pooling,5,0.2,0.8,,,,0.0
Pooling,10,0.2,0.8,,,,0.0
Pooling,15,0.2,0.8,,,,0.0
Pooling,20,0.2,0.8,,,,0.0
Repeated,0,0.2,0.8,0.832,0.011822690049223148,0.3740533597174551,1000.0
Repeated,5,0.2,0.8,,,,0.0
Repeated,10,0.2,0.8,,,,0.0
Repeated,15,0.2,0.8,,,,0.0
Repeated,20,0.2,0.8,,,,0.0
S-HCP,0,0.2,0.8,0.812,0.01235540367612487,0.3909076729981247,1000.0
S-HCP,5,0.2,0.8,1.0,0.0,0.0,1000.0
S-HCP,10,0.2,0.8,1.0,0.0,0.0,1000.0
S-HCP,15,0.2,0.8,1.0,0.0,0.0,1000.0
S-HCP,20,0.2,0.8,1.0,0.0,0.0,1000.0
Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
Std-CP,5,0.2,0.8,0.775,0.013205112646244256,0.41779127509983927,1000.0
Std-CP,10,0.2,0.8,0.791,0.012857643641040918,0.40679784228100874,1000.0
Std-CP,15,0.2,0.8,0.802,0.012601428490452976,0.3986915536538929,1000.0
Std-CP,20,0.2,0.8,0.808,0.01245536029185828,0.3940701603665156,1000.0
Subsampling,0,0.2,0.8,0.81,0.012405643876881197,0.39249720260666066,1000.0
Subsampling,5,0.2,0.8,,,,0.0
Subsampling,10,0.2,0.8,,,,0.0
Subsampling,15,0.2,0.8,,,,0.0
Subsampling,20,0.2,0.8,,,,0.0
