tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,15,12,17.40869047774328,1.391629801831615,1.5838118652230995,0.07993879859089864,100,True
5.0,0.1,15,14,15.343765950538122,2.4091133693782174,1.690770981367788,0.1570092620771322,100,True
5.0,0.1,15,13,19.51695288025542,2.151999212694968,1.9920275570576556,0.11026307364158602,100,True
5.0,0.1,15,16,22.23761097838876,3.455710361424564,2.6412487228568335,0.15539935314017936,100,True
5.0,0.1,15,15,11.366256189337724,0.8690371475461733,0.7921647767949801,0.07645764208283339,100,True
5.0,0.1,15,17,16.54629894423541,1.7144181919773247,1.2292676462080374,0.10361339401368748,100,True
5.0,0.1,15,18,26.58034592707781,1.2331015834420844,4.957215854381341,0.04639147988611784,100,True
5.0,0.1,15,19,23.683989234423297,5.024222396319666,5.026599187949369,0.212135816588586,100,True
5.0,0.1,15,20,19.36336753118755,1.1262874910267062,2.3148741430121493,0.05816588923453809,100,True
5.0,0.1,15,21,17.275380660506315,1.50714374102837,1.6871118008407102,0.08724228835512085,100,True
5.0,0.1,15,22,16.74503843821819,1.855719573301099,1.9676235359968757,0.11082205515071739,100,True
5.0,0.1,15,23,20.583199309232036,0.8884730731279651,2.659109554445469,0.04316496477442477,100,True
5.0,0.1,15,24,23.763660612763196,5.734796490959416,7.129662979551761,0.24132630845095138,100,True
5.0,0.1,15,25,15.604761476660354,1.8412069028187736,2.2288588486829672,0.11799007024699609,100,True
5.0,0.1,15,26,12.674149696918125,1.2871268071162913,1.7119659978781026,0.10155527888622556,100,True
5.0,0.1,15,28,25.406655294313932,1.801146902504318,4.136862170417136,0.07089272010186319,100,True
5.0,0.1,15,27,37.195774748157106,3.8305622231087915,10.018966955657064,0.10298379988169434,100,True
5.0,0.1,15,29,16.38055463487016,1.1629696944546786,1.3938455274930774,0.07099696685355227,100,True
5.0,0.1,15,31,20.204285740841282,4.243604007698981,3.0625068711895214,0.21003484419748078,100,True
5.0,0.1,15,30,30.102062402375832,1.3589056426174273,4.596591663958679,0.045143273721676105,100,True
5.0,0.1,15,34,15.027685559731587,1.474987904618237,0.9781547454038251,0.09815136860267006,100,True
5.0,0.1,15,33,18.878955830265873,0.5442139964184823,1.8054491821771088,0.02882648814432965,100,True
5.0,0.1,15,32,21.319175808315478,3.071690308680209,2.4450049372155624,0.1440811003341933,100,True
5.0,0.1,15,35,12.282391970197368,1.422864587574842,1.7411116083680185,0.11584588661779842,100,True
5.0,0.1,15,37,27.36018335828661,3.130982093205951,3.866281351120502,0.11443571310196161,100,True
5.0,0.1,15,36,13.995738173017433,2.1377781324575844,1.5000294906465408,0.15274493606768344,100,True
5.0,0.1,15,39,16.034678480980702,3.0625990720210896,2.237886415302297,0.19099847094868452,100,True
5.0,0.1,15,38,12.53343079813562,0.9890209579453317,0.6796462946792681,0.07891063300021979,100,True
5.0,0.1,15,41,24.42585097275354,3.754358775698075,6.1789232599775525,0.1537043184241963,100,True
5.0,0.1,15,40,12.97041639826191,2.6572579051012086,2.3493894214183166,0.20487067057132352,100,True
5.0,0.1,15,42,27.53964308910253,2.9754454560686345,5.6396171344690265,0.10804226643176876,100,True
5.0,0.1,15,44,21.713438108099545,1.2836027205445621,3.207503653371264,0.05911559073022861,100,True
5.0,0.1,15,43,23.773751542630638,0.7602330287556834,3.7100688985604373,0.031977831828201284,100,True
5.0,0.1,15,45,17.754982636159276,1.8845528732536736,1.9620227052528996,0.10614219748182961,100,True
5.0,0.1,15,47,15.172456041337282,0.849853871505783,1.1498302298124263,0.0560129401060949,100,True
5.0,0.1,15,46,19.420878791586638,2.307056713225534,3.8753241560241816,0.11879260140509085,100,True
5.0,0.1,15,48,18.12675425422073,2.3838813748073413,4.528472415022324,0.13151176108939996,100,True
5.0,0.1,15,49,22.385534326405057,1.5232864677911473,2.3948209397363485,0.06804780469297715,100,True
5.0,0.1,20,1,12.519128522571831,1.2822964840019013,1.5153365946552317,0.10242697658147186,100,True
5.0,0.1,20,2,14.51025875834869,0.7362640880605842,1.3910405329087698,0.05074093441903397,100,True
