tau_B,alpha,experiment,o,method,coverage_mean,width_mean,width_median,width_std,n_infinite,base_seed
5.0,0.05,3,10,Pooling,0.9,22.293181797945728,22.293181797945728,1.3360005245927818e-15,0,12345
5.0,0.05,3,10,Repeated,1.0,,,,100,12345
5.0,0.05,3,10,S-HCP-within,0.93,8.803569294654462,8.670078912932759,0.9326398418005242,0,12345
5.0,0.05,3,10,Std-CP,0.9,35.403877955501905,11.663162386546002,90.76433049286358,0,12345
5.0,0.05,3,10,Subsampling,1.0,,,,100,12345
5.0,0.05,3,15,Donor-HCP-no-within,0.98,25.759013505271955,28.040190181481524,3.6623853094486494,0,12345
5.0,0.05,3,15,Donor-HCP-within,0.98,16.52292963669195,17.65175104509389,2.134746919765042,0,12345
5.0,0.05,3,15,HCP,1.0,,,,100,12345
5.0,0.05,3,15,Pooling,0.9,22.293181797945728,22.293181797945728,1.3360005245927818e-15,0,12345
5.0,0.05,3,15,Repeated,1.0,,,,100,12345
5.0,0.05,3,15,S-HCP-within,0.94,7.816898358486007,7.73219033194097,0.8639260984428463,0,12345
5.0,0.05,3,15,Std-CP,0.92,11.572381726685405,8.133531471531768,18.294805557965905,0,12345
5.0,0.05,3,15,Subsampling,1.0,,,,100,12345
5.0,0.05,3,20,Donor-HCP-no-within,0.92,24.3027275425421,25.21810524135222,3.8037337304834193,0,12345
5.0,0.05,3,20,Donor-HCP-within,0.93,12.318138771943211,13.109727601090711,1.8242509600812253,0,12345
5.0,0.05,3,20,HCP,1.0,,,,100,12345
5.0,0.05,3,20,Pooling,0.9,22.293181797945728,22.293181797945728,1.3360005245927818e-15,0,12345
5.0,0.05,3,20,Repeated,1.0,,,,100,12345
5.0,0.05,3,20,S-HCP-within,0.92,6.6904157656244765,6.5741649679607175,0.653766301682019,0,12345
5.0,0.05,3,20,Std-CP,0.83,6.998811402422713,6.268342224134381,3.2711353055254135,0,12345
5.0,0.05,3,20,Subsampling,1.0,,,,100,12345
5.0,0.05,3,25,Donor-HCP-no-within,0.99,14.029150528377743,12.972407425498432,6.053897480198083,0,12345
5.0,0.05,3,25,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,25,HCP,1.0,,,,100,12345
5.0,0.05,3,25,Pooling,0.9,22.293181797945728,22.293181797945728,1.3360005245927818e-15,0,12345
5.0,0.05,3,25,Repeated,1.0,,,,100,12345
5.0,0.05,3,25,S-HCP-within,1.0,,,,100,12345
5.0,0.05,3,25,Std-CP,0.93,6.747965727938526,6.26638513850615,2.5308959384549303,0,12345
5.0,0.05,3,25,Subsampling,1.0,,,,100,12345
5.0,0.05,3,30,Donor-HCP-no-within,0.99,14.218694212415114,12.972407425498432,6.15009144003553,0,12345
5.0,0.05,3,30,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,30,HCP,1.0,,,,100,12345
5.0,0.05,3,30,Pooling,0.9,22.293181797945728,22.293181797945728,1.3360005245927818e-15,0,12345
5.0,0.05,3,30,Repeated,1.0,,,,100,12345
5.0,0.05,3,30,S-HCP-within,1.0,,,,100,12345
5.0,0.05,3,30,Std-CP,0.92,6.2568430666508235,5.9343782241455445,2.087804830061309,0,12345
5.0,0.05,3,30,Subsampling,1.0,,,,100,12345
5.0,0.05,3,35,Donor-HCP-no-within,1.0,14.363058176991476,13.099437155780336,6.145358992879046,0,12345
5.0,0.05,3,35,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,3,35,HCP,1.0,,,,100,12345
5.0,0.05,3,35,Pooling,0.9,22.293181797945728,22.293181797945728,1.3360005245927818e-15,0,12345
5.0,0.05,3,35,Repeated,1.0,,,,100,12345
5.0,0.05,3,35,S-HCP-within,1.0,,,,100,12345
5.0,0.05,3,35,Std-CP,0.94,6.7201785673035666,6.288210843484116,2.2707697566588263,0,12345
5.0,0.05,3,35,Subsampling,1.0,,,,100,12345
5.0,0.05,4,0,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,4,0,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,0,HCP,1.0,,,,100,12345
5.0,0.05,4,0,Pooling,0.99,39.021678503244146,39.021678503244146,0.0,0,12345
5.0,0.05,4,0,Repeated,1.0,,,,100,12345
5.0,0.05,4,0,S-HCP-within,1.0,,,,100,12345
5.0,0.05,4,0,Std-CP,1.0,,,,100,12345
5.0,0.05,4,0,Subsampling,1.0,,,,100,12345
5.0,0.05,4,5,Donor-HCP-no-within,1.0,,,,100,12345
5.0,0.05,4,5,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,5,HCP,1.0,,,,100,12345
5.0,0.05,4,5,Pooling,0.99,39.021678503244146,39.021678503244146,0.0,0,12345
5.0,0.05,4,5,Repeated,1.0,,,,100,12345
5.0,0.05,4,5,S-HCP-within,0.99,22.06620327801154,21.911851558831597,1.2142216726459327,0,12345
5.0,0.05,4,5,Std-CP,0.81,7.051096694205142,5.408223277905898,5.427778929222608,0,12345
5.0,0.05,4,5,Subsampling,1.0,,,,100,12345
5.0,0.05,4,10,Donor-HCP-no-within,1.0,40.525189926329716,42.50900091772823,5.032795362624097,0,12345
5.0,0.05,4,10,Donor-HCP-within,1.0,,,,100,12345
5.0,0.05,4,10,HCP,1.0,,,,100,12345
5.0,0.05,4,10,Pooling,0.99,39.021678503244146,39.021678503244146,0.0,0,12345
5.0,0.05,4,10,Repeated,1.0,,,,100,12345
5.0,0.05,4,10,S-HCP-within,0.99,14.319340274349083,14.376504611134163,1.1275868825026472,0,12345
5.0,0.05,4,10,Std-CP,0.88,38.832073168562886,11.882286137394752,126.96887518078722,0,12345
5.0,0.05,4,10,Subsampling,1.0,,,,100,12345
5.0,0.05,4,15,Donor-HCP-no-within,1.0,37.27190017387803,39.842873449766486,5.3421267232353555,0,12345
5.0,0.05,4,15,Donor-HCP-within,1.0,23.682392122837427,25.44950731576482,3.628160937646468,0,12345
