tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
5.0,0.1,15,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,15,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,15,S-HCP-within,0.9156,0.27801456512147726,10.204829451927806,9.684707352056341,2.845937823509675,0.0,0,12345
5.0,0.1,15,Std-CP,0.8838,0.3204966514968977,9.173607367758027,7.592974516436337,6.548131246120691,0.0,0,12345
5.0,0.1,15,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,20,Donor-HCP-no-within,0.9068,0.2907415796428622,27.240945352420205,26.246313541937454,8.144998788803509,0.0,0,12345
5.0,0.1,20,Donor-HCP-within,0.9058,0.29213597636329736,15.0863607086161,14.6460617216539,4.208475910543462,0.0,0,12345
5.0,0.1,20,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,20,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,20,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,20,S-HCP-within,0.907,0.2904614838058823,8.29710207037959,7.909779388750953,2.0451396763981466,0.0,0,12345
5.0,0.1,20,Std-CP,0.9108,0.2850607162033808,6.923876405724302,6.403178900019669,2.9388467077745415,0.0,0,12345
5.0,0.1,20,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,25,Donor-HCP-no-within,0.9234,0.2659823101596489,15.157596997814474,13.747817276915042,7.563491397936442,0.0,0,12345
5.0,0.1,25,Donor-HCP-within,0.9356,0.24548868189508796,6.022473797704823,5.801159507811839,1.7986762210889862,0.0,0,12345
5.0,0.1,25,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,25,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,25,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,25,S-HCP-within,0.932,0.2517710820081353,7.607779273543438,7.255647831241165,2.5882647956054257,0.0,0,12345
5.0,0.1,25,Std-CP,0.9274,0.25950473703134636,6.749520279148608,6.367267905941734,2.450868292714551,0.0,0,12345
5.0,0.1,25,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,30,Donor-HCP-no-within,0.9046,0.2937960231532148,14.619424811886967,13.25009298508215,7.49647750989501,0.0,0,12345
5.0,0.1,30,Donor-HCP-within,0.9418,0.23414466627482453,6.0551935663777146,5.845338252131706,1.738734924912782,0.0,0,12345
5.0,0.1,30,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,30,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,30,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,30,S-HCP-within,0.9424,0.2330087951552986,7.3514834515767,7.046790754955563,2.3119273639970306,0.0,0,12345
5.0,0.1,30,Std-CP,0.9396,0.2382502731132282,6.474245685690222,6.173451235972304,2.170867481472564,0.0,0,12345
5.0,0.1,30,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
5.0,0.1,35,Donor-HCP-no-within,0.9184,0.27378172197255507,14.912922389987855,13.489676377002827,7.510518010702688,0.0,0,12345
5.0,0.1,35,Donor-HCP-within,0.9508,0.21630699883163446,6.239002845470169,6.057584303728833,1.69568318452401,0.0,0,12345
5.0,0.1,35,HCP,0.9428,0.23224760018040674,33.91590991664611,32.80845342980442,10.081519647319789,0.0,0,12345
5.0,0.1,35,Pooling,0.8672,0.3393923944926988,27.16163498139487,25.329816561897246,9.241950389573443,0.0,0,12345
5.0,0.1,35,Repeated,0.9054,0.29269091819651477,30.175415332771273,28.192675971108915,10.05529785684107,0.0,0,12345
5.0,0.1,35,S-HCP-within,0.951,0.21588960527161294,7.387333222255393,7.1203470654427505,2.180577933200725,0.0,0,12345
5.0,0.1,35,Std-CP,0.95,0.21796674494147047,6.539035490237085,6.2947192030253145,2.0526029857653354,0.0,0,12345
5.0,0.1,35,Subsampling,0.9222,0.2678833931068902,31.608740135544497,30.988933686127837,10.188522979418096,0.0,0,12345
