tau_B,alpha,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,n_finite,randomization_varied_only
5.0,0.1,5,45,30.173061091023058,2.0612475537727724,4.2261377614494915,0.06831416764625266,100,True
5.0,0.1,5,44,30.668874248618152,1.8809600662039558,1.845820622341621,0.06133123931957516,100,True
5.0,0.1,5,46,30.51548751493728,1.9773595610380068,2.4678517664930477,0.06479855712841201,100,True
5.0,0.1,5,47,33.89298190246953,4.130204933083088,4.067439117594516,0.12186018170275395,100,True
5.0,0.1,5,48,20.781745318928365,2.2239944076029725,1.7910059624024781,0.10701672903176812,100,True
5.0,0.1,5,49,45.12466000108731,11.308821718907867,11.421019783532367,0.25061289588963936,100,True
5.0,0.1,10,1,36.78613333164883,23.906804070751317,18.0983414809471,0.6498862996884529,100,True
5.0,0.1,10,3,22.01645434375533,4.296328074428298,4.15300652142056,0.19514168845479396,100,True
5.0,0.1,10,0,36.898221861950425,3.2899317427462855,13.93445793327564,0.08916233836565644,100,True
5.0,0.1,10,4,34.61121519726282,6.756731828254508,7.471570817562483,0.1952179890172956,100,True
5.0,0.1,10,5,23.04388678906149,3.405289308365132,2.554927785037547,0.14777408600972472,100,True
5.0,0.1,10,2,24.896266501846526,1.461632560816938,4.348371499751828,0.058708905638864786,100,True
5.0,0.1,10,6,23.11610755269213,2.3087058954581448,1.4817691519371736,0.09987433611803169,100,True
5.0,0.1,10,9,29.207269321858586,2.2710630115746255,5.094990818671303,0.07775677303303984,100,True
5.0,0.1,10,7,15.824401899132958,1.4581425562062913,2.8033512347503917,0.09214519231126107,100,True
5.0,0.1,10,8,16.974542375356158,1.3891758574895194,2.5112161872434133,0.08183878108586547,100,True
5.0,0.1,10,11,30.607352945705234,3.3716883650519165,6.027306228302932,0.11015942381665597,100,True
5.0,0.1,10,10,19.89938100520936,1.3987302887760147,1.9442449744400598,0.07029014060336088,100,True
5.0,0.1,10,12,19.540288203862332,1.3079531994128124,1.3889601952994959,0.06693622866597651,100,True
5.0,0.1,10,14,17.812707534519838,1.722382104517817,1.6338816840058787,0.09669400910445285,100,True
5.0,0.1,10,15,16.369913330316997,2.187065410810295,0.6085371822376446,0.13360274832731467,100,True
5.0,0.1,10,13,27.73145460184126,0.5447097849543108,2.8114093319639615,0.019642308446313674,100,True
5.0,0.1,10,16,45.03300516760549,3.6812292663643946,5.192761998271617,0.08174513898558315,100,True
5.0,0.1,10,17,19.209075011742385,1.4288153075804713,1.3437395970922814,0.0743823066288744,100,True
5.0,0.1,10,19,23.903876696185826,1.2010522890654507,2.370111817575238,0.050245083855251574,100,True
5.0,0.1,10,18,20.81963908070979,1.845620058347869,2.499058748380347,0.0886480332916966,100,True
5.0,0.1,10,21,30.21286519911642,5.103979174900602,5.849685447151582,0.16893396707869565,100,True
5.0,0.1,10,20,26.028575152448767,2.8957989390968972,0.8063846594149839,0.11125460852683135,100,True
5.0,0.1,10,23,32.632082756760305,7.150628476340627,11.502943253446132,0.2191287797852636,100,True
5.0,0.1,10,22,18.82960806755958,1.2731682502246353,1.5687280692715597,0.06761522840287376,100,True
5.0,0.1,10,24,23.593765706907263,5.669684342453034,4.409234392647521,0.2403043419556035,100,True
5.0,0.1,10,25,21.5970389786066,1.2423257113326784,4.635403102888657,0.05752296472508524,100,True
5.0,0.1,10,29,18.78222697181587,1.3737919610145235,1.3183323221538505,0.07314318813610338,100,True
5.0,0.1,10,28,23.38776121346758,2.0297142208523278,2.967216493526425,0.08678531486303784,100,True
5.0,0.1,10,26,16.629614435050396,1.9839115843179338,1.3063302228592055,0.11929991474344856,100,True
5.0,0.1,10,27,25.41831104277349,5.8938866801196275,5.0599135587128865,0.23187562187753144,100,True
5.0,0.1,10,31,20.337399765140546,2.3071455204643296,3.4261785280006762,0.11344348575076484,100,True
5.0,0.1,10,30,29.59522940603517,1.8787548321174858,2.2367581101578167,0.06348167829151422,100,True
5.0,0.1,10,32,25.845991636617963,3.057629271221741,2.9678444356500298,0.11830187497583831,100,True
5.0,0.1,10,34,29.780972376206456,4.4151581479294,5.260500984182271,0.1482543313950654,100,True
5.0,0.1,10,33,34.816810901272035,2.1548137687701607,4.606599577881285,0.06189003854719602,100,True
5.0,0.1,10,35,34.15058122168292,2.0003011271993807,7.553590723598927,0.05857297462127373,100,True
5.0,0.1,10,37,34.15560427221012,6.519497824728496,7.566605927591739,0.1908763719350422,100,True
5.0,0.1,10,36,18.32347500302708,1.1082255716176106,2.0961793772792743,0.060481189918098456,100,True
5.0,0.1,10,38,27.34792066260549,3.646133624077735,6.6928000740274385,0.1333239798762222,100,True
5.0,0.1,10,41,27.605980389469686,1.5040046850922666,3.089711181867641,0.05448111836180141,100,True
5.0,0.1,10,40,13.773660428146302,0.8001502428508811,1.3061163160406402,0.05809278129260281,100,True
