exp_id,o,method,coverage,mean_width,n_infinite
42,0,with_training,0.96,40.676695679962585,0
42,10,no_training,0.93,39.324520592996215,0
42,10,with_training,0.95,31.381926867908284,0
42,20,no_training,0.98,39.62405899132082,0
42,20,with_training,0.96,25.825443654122004,0
42,30,no_training,0.9,12.93104229357737,0
42,30,with_training,0.94,5.130990900954974,0
42,40,no_training,0.89,12.89733192870119,0
42,40,with_training,0.93,4.887037974919412,0
42,HCP,HCP,0.99,38.61361252547496,0
43,0,no_training,0.88,27.99234615849907,0
43,0,with_training,0.82,27.430880220061727,0
43,10,no_training,0.87,27.72136907354681,0
43,10,with_training,0.88,22.775173818108794,0
43,20,no_training,0.89,28.619854196485747,0
43,20,with_training,0.89,18.936734475662725,0
43,30,no_training,0.88,16.45358484242387,0
43,30,with_training,0.9,4.788544230107258,0
43,40,no_training,0.87,16.37594596610332,0
43,40,with_training,0.88,4.540745020706008,0
43,HCP,HCP,0.97,36.70887782482872,0
44,0,no_training,0.82,24.397642987302923,0
44,0,with_training,0.9,25.39499407736084,0
44,10,no_training,0.91,26.202228353221475,0
44,10,with_training,0.93,21.32168937982923,0
44,20,no_training,0.9,26.298753724511926,0
44,20,with_training,0.87,17.835267262645413,0
44,30,no_training,0.86,13.977839855170245,0
44,30,with_training,0.92,5.0436070650027,0
44,40,no_training,0.87,13.933315681000824,0
44,40,with_training,0.87,4.816439475722685,0
44,HCP,HCP,0.98,31.875031396771806,0
45,0,no_training,0.89,28.749069964279073,0
45,0,with_training,0.94,27.176973435350813,0
45,10,no_training,0.92,27.74074439475961,0
45,10,with_training,0.93,22.427002191385213,0
45,20,no_training,0.95,27.604969496763683,0
45,20,with_training,0.92,18.781500050730525,0
45,30,no_training,0.89,11.893450193844963,0
45,30,with_training,0.9,4.721184544751264,0
45,40,no_training,0.88,11.84746879441011,0
45,40,with_training,0.89,4.455175827117152,0
45,HCP,HCP,0.97,30.14629094604741,0
46,0,no_training,0.94,28.99916008228101,0
46,0,with_training,0.87,29.964042777350187,0
46,10,no_training,0.9,28.81817059656019,0
46,10,with_training,0.91,23.676841343250704,0
46,20,no_training,0.97,29.51505485338059,0
46,20,with_training,0.96,19.017223320294597,0
46,30,no_training,0.91,14.297661811104652,0
