experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
5,10,0.97,0.97,0.87,0.97,24.856879791299235,31.230245903973763,10.725111513733456,36.52132084977316,0,0,0,0
5,20,0.9,0.92,0.91,0.98,15.41821676675169,27.573255005367265,5.919657260908326,36.52132084977316,0,0,0,0
5,30,0.87,0.89,0.91,0.9,5.952629904900266,14.859164516307182,5.691544345628124,36.52132084977316,0,0,0,0
5,40,0.92,0.88,0.92,0.92,4.342981821176815,13.488380226518803,4.704194393364496,36.52132084977316,0,0,0,0
6,0,0.87,0.87,,0.87,28.17455112676469,28.17455112676469,,28.17455112676469,0,0,0,0
6,10,0.82,0.83,0.78,0.89,18.083929242689827,24.63234033901925,10.269762406677327,28.17455112676469,0,0,0,0
6,20,0.88,0.88,0.96,0.94,12.641829676840466,22.702999619085496,6.17430676176496,28.17455112676469,0,0,0,0
6,30,0.91,0.9,0.9,0.91,5.256002407647908,15.073352343737538,5.151918510029578,28.17455112676469,0,0,0,0
6,40,0.9,0.97,0.92,0.91,4.698070907767995,16.189631791198927,4.900531852378045,28.17455112676469,0,0,0,0
7,0,0.74,0.74,,0.74,29.77119282464391,29.77119282464391,,29.77119282464391,0,0,0,0
7,10,0.83,0.81,0.87,0.83,18.98422993541529,26.635940839583,12.188326646472133,29.77119282464391,0,0,0,0
7,20,0.8,0.77,0.96,0.82,13.592691820164262,24.118288438658666,5.614715733978898,29.77119282464391,0,0,0,0
7,30,0.89,0.89,0.94,0.91,5.514192463850183,12.118056059242091,5.562127136930082,29.77119282464391,0,0,0,0
7,40,0.92,0.93,0.94,0.82,4.60012021673054,13.236947570148192,4.496430115947435,29.77119282464391,0,0,0,0
8,0,0.93,0.93,,0.93,85.89642350716562,85.89642350716562,,85.89642350716562,0,0,0,0
8,10,0.93,0.9,0.77,0.93,54.88736939685409,76.88758193162116,10.586142303982491,85.89642350716562,0,0,0,0
8,20,0.93,0.89,0.91,0.94,38.86026298079872,72.57483029231923,5.8430460931123545,85.89642350716562,0,0,0,0
8,30,0.92,0.92,0.96,0.9,5.5738806421222264,14.824509797651697,5.806295938083011,85.89642350716562,0,0,0,0
8,40,0.96,0.91,0.97,0.98,4.550264232679825,13.9379318938852,4.954484583464684,85.89642350716562,0,0,0,0
9,0,1.0,1.0,,1.0,40.81032443627798,40.81032443627798,,40.81032443627798,0,0,0,0
9,10,0.99,0.94,0.82,0.99,26.56599450085625,29.68212508092622,9.691234520851744,40.81032443627798,0,0,0,0
9,20,0.83,0.83,0.95,1.0,13.284761704057642,23.843979344836086,5.5823715713177195,40.81032443627798,0,0,0,0
9,30,0.93,0.9,0.94,0.96,5.789975765138606,16.784957613075264,5.920579077621417,40.81032443627798,0,0,0,0
9,40,0.92,0.95,0.89,0.97,4.742730079553365,15.993855891347348,4.479856165433969,40.81032443627798,0,0,0,0
10,0,0.95,0.95,,0.95,63.005171290622116,63.005171290622116,,63.005171290622116,0,0,0,0
10,10,0.91,0.9,0.8,0.91,40.90643498515625,56.573562647455475,12.195031253217948,63.005171290622116,0,0,0,0
10,20,0.86,0.89,0.92,0.93,20.265030572830376,36.68300786712717,5.745891625282509,63.005171290622116,0,0,0,0
10,30,0.93,0.87,0.97,0.93,5.4535021646972925,13.725518606503297,5.573424315795247,63.005171290622116,0,0,0,0
10,40,0.9,0.87,0.89,0.92,4.8058890636902465,12.842850061000192,4.365065895396902,63.005171290622116,0,0,0,0
11,0,0.94,0.94,,0.94,27.955950469076036,27.955950469076036,,27.955950469076036,0,0,0,0
11,10,0.89,0.86,0.87,0.91,18.02300537734534,23.347585000657666,10.58973963752561,27.955950469076036,0,0,0,0
11,20,0.89,0.92,0.92,0.96,10.925102854726866,19.88243999689349,5.750408859749243,27.955950469076036,0,0,0,0
11,30,0.96,0.88,0.97,0.93,5.040047014381875,11.639074421918734,4.981641299179682,27.955950469076036,0,0,0,0
11,40,0.93,0.93,0.9,0.91,4.772237797469516,12.562547243572924,4.707201113121395,27.955950469076033,0,0,0,0
12,0,1.0,1.0,,1.0,41.713059341970535,41.713059341970535,,41.713059341970535,0,0,0,0
12,10,0.98,0.97,0.91,0.99,28.7085968866053,37.946847928246996,11.241173615055299,41.713059341970535,0,0,0,0
12,20,0.98,0.98,0.92,0.99,17.28249627714424,30.213566548150027,5.331016122950992,41.713059341970535,0,0,0,0
12,30,0.92,0.89,0.91,1.0,5.881348049336777,12.082228063423322,5.587826643987755,41.713059341970535,0,0,0,0
12,40,0.9,0.88,0.84,0.99,4.959296111761349,13.053972169643298,4.449629557252163,41.713059341970535,0,0,0,0
13,0,0.96,0.96,,0.96,33.844313236393035,33.844313236393035,,33.844313236393035,0,0,0,0
13,10,0.95,0.92,0.73,0.95,22.807330078555243,28.645825244675553,14.845394025844337,33.844313236393035,0,0,0,0
13,20,0.85,0.83,0.86,0.93,12.915691869425807,22.482821653061826,5.7402727233184105,33.844313236393035,0,0,0,0
13,30,0.95,0.89,0.93,0.97,5.578664088569145,15.500770613425054,5.241596445511525,33.844313236393035,0,0,0,0
