summary,spearman_rho,p_value,subsample
resid_mean,0.2114635353322828,0.17343479920402624,42
resid_median,0.3023179006737577,0.04879350228184838,42
resid_q25,0.26673327424834664,0.08380434636265227,42
resid_q75,0.314431816052621,0.0400223472004326,42
resid_sd,0.18541861726772663,0.23388958338282664,42
resid_mean,0.28823547404582905,0.060876732065122494,43
resid_median,0.3749256809758197,0.013241412474095706,43
resid_q25,0.40730792599261395,0.006711135740219,43
resid_q75,0.26340194751915924,0.08789091124251541,43
resid_sd,0.193141238321752,0.2146370455347533,43
resid_mean,0.2645376270859277,0.08648073891160034,44
resid_median,0.3473665234889056,0.022471748141570765,44
resid_q25,0.4688842371331282,0.0015165860020066257,44
resid_q75,0.22751447320927667,0.1423025194679613,44
resid_sd,-0.0567082663673039,0.717954278540628,44
resid_mean,0.24916809694899483,0.10711732207166284,45
resid_median,0.3719729141022217,0.014042982797387402,45
resid_q25,0.31382612028367785,0.0404279568650003,45
resid_q75,0.28952257755483324,0.05968182073397748,45
resid_sd,0.1564966443006905,0.3162616484859429,45
resid_mean,0.29694235072438707,0.05315401236011393,46
resid_median,0.3254857638358337,0.03318519930006289,46
resid_q25,0.3907494829394599,0.009577629117680217,46
resid_q75,0.2722602481399531,0.07735280289666185,46
resid_sd,0.2292558485449883,0.13919141977744093,46
resid_mean,0.26658185030611087,0.08398682685342489,47
resid_median,0.33616115176345707,0.027525667345580276,47
resid_q25,0.4129330904770034,0.005923411726282862,47
resid_q75,0.21040356773663224,0.17565063795991734,47
resid_sd,0.06412803953685768,0.6828733908772082,47
resid_mean,0.29080968106383753,0.058505714448221655,48
resid_median,0.32896851450725695,0.031242046555600658,48
resid_q25,0.3798469590984829,0.011991971288678203,48
resid_q75,0.20957073605433538,0.17740586185347187,48
resid_sd,0.10327112860480979,0.5098927819945451,48
resid_mean,0.22819588094933774,0.14107906793286618,49
resid_median,0.2631748116058056,0.0881750761277021,49
resid_q25,0.386282476643504,0.010510980282200712,49
resid_q75,0.23372285484094413,0.1314416695876451,49
resid_sd,0.1508182464668483,0.33435658136980634,49
resid_mean,0.27400162347566465,0.07540295113530804,50
resid_median,0.3145075280237389,0.03997188049858851,50
resid_q25,0.31647603927280415,0.0386778810107034,50
resid_q75,0.3475179474311414,0.022409173764643128,50
resid_sd,0.22857444080492723,0.14040274538404227,50
resid_mean,0.2967152148110334,0.05334494170968418,51
resid_median,0.3248043560957727,0.03357679016467824,51
resid_q25,0.37265432184228287,0.013854437105670638,51
resid_q75,0.3078448745653641,0.04461632374369941,51
resid_sd,0.2311486478229357,0.13586728937279932,51
resid_mean,0.23379856681206201,0.13131315333527108,52
resid_median,0.3137504083125599,0.04047889315477858,52
resid_q25,0.3766670563115313,0.012787201164826891,52
resid_q75,0.2538622391583044,0.1004517396856598,52
resid_sd,0.22221463523102397,0.15208721724534863,52
resid_mean,0.2920967845728417,0.05734821394010383,53
resid_median,0.34365663690412873,0.024051112992536847,53
resid_q25,0.43496527407231095,0.0035584216104289743,53
resid_q75,0.29338388808184596,0.05620912023256719,53
resid_sd,0.18352581798977927,0.2387826421942726,53
resid_mean,0.2202461239819587,0.15584432223971087,54
resid_median,0.276651542464791,0.07251013649324833,54
resid_q25,0.3379025270991687,0.026683386840718148,54
resid_q75,0.2341771266676515,0.1306719786411137,54
resid_sd,0.12674183965135744,0.4180060807351845,54
resid_mean,0.27256309602442463,0.07701088686213271,55
resid_median,0.3493350347379709,0.021669586597353706,55
resid_q25,0.3587990311277079,0.018140128311539536,55
resid_q75,0.25787497362755285,0.09501017737512925,55
resid_sd,0.1189435066262142,0.4474433088688645,55
resid_mean,0.32669715537372,0.032498329945519995,56
resid_median,0.41134313908352754,0.006137481528941282,56
resid_q25,0.41316022639035704,0.005893365370307158,56
resid_q75,0.3251072039802443,0.033402282606756845,56
resid_sd,0.1928383904372804,0.21537065656138363,56
resid_mean,0.22842301686269142,0.1406729857067535,57
resid_median,0.3232144047022969,0.03450531470148177,57
resid_q25,0.3993200114666876,0.007984680433267733,57
resid_q75,0.225091690133504,0.14671611356766517,57
resid_sd,0.20790507268974168,0.18095396766857985,57
resid_mean,0.3115547611501409,0.04197898205849027,58
resid_median,0.3063306351430061,0.045730751488744475,58
resid_q25,0.3764399203981776,0.012845682840294416,58
resid_q75,0.24030979632820104,0.12060801173412011,58
resid_sd,0.2528779835337717,0.10182228973394315,58
resid_mean,0.30663348302747767,0.0455060782726184,59
resid_median,0.3606161184345374,0.017521203873525716,59
resid_q25,0.4150530256683044,0.005648078954251368,59
resid_q75,0.2887654578436543,0.06038241953750033,59
resid_sd,0.03997592075024895,0.7990963012950383,59
resid_mean,0.19745682067547207,0.2043711651097335,60
resid_median,0.3803769428963082,0.011863624283950727,60
resid_q25,0.3545346897407593,0.019665335689867093,60
resid_q75,0.257042141945256,0.0961204319682999,60
resid_sd,0.19321695029286992,0.21445391412193196,60
resid_mean,0.19473118971522782,0.2108140461516797,61
resid_median,0.2643862031436919,0.08666773890553246,61
resid_q25,0.3603889825211837,0.017597581219658823,61
resid_q75,0.23485853440771254,0.12952376084258715,61
resid_sd,0.42822690864281826,0.0041733791996878935,61
resid_mean,0.3387353587814655,0.02628819695984326,62
resid_median,0.36690021203732276,0.015516326724730595,62
resid_q25,0.4033933821161485,0.007311391813635559,62
resid_q75,0.25037948848688124,0.1053657366036369,62
resid_sd,0.04194443199931423,0.7894224546062801,62
resid_mean,0.24424681882633167,0.1144622553824012,63
resid_median,0.31246330480355566,0.04135285382221597,63
resid_q25,0.39794212019566,0.008224215842124828,63
resid_q75,0.22531882604685766,0.14629810754806066,63
resid_sd,0.22342602676891032,0.14980840123483782,63
resid_mean,0.31503751182156414,0.03962006701281799,64
resid_median,0.34986501853579616,0.021457766721948837,64
resid_q25,0.39233943433293567,0.009263045761405117,64
resid_q75,0.291945360630606,0.05748343125552141,64
resid_sd,0.2975480464933303,0.05264755333852895,64
resid_mean,0.24394397094186004,0.11492640915896409,65
resid_median,0.33290553700538755,0.029159601988075663,65
resid_q25,0.3195802300886379,0.036707121330692684,65
resid_q75,0.3028478844715829,0.0483797335696524,65
resid_sd,0.37469854506246597,0.013301657511969104,65
resid_mean,0.32949849830508227,0.03095476087693633,66
resid_median,0.33320838488985915,0.029004295635452863,66
resid_q25,0.3968064406288915,0.008426273034098838,66
resid_q75,0.25825353348314234,0.094508797775154,66
resid_sd,0.07949756967379051,0.6123355256935321,66
resid_mean,0.25658787011854867,0.09673022409656463,67
resid_median,0.3176874308106905,0.03789874972919694,67
resid_q25,0.39718500048448097,0.00835845096284976,67
resid_q75,0.2805128529918037,0.06845229235853785,67
resid_sd,0.13211738960072805,0.3983711654367885,67
resid_mean,0.2899011374104227,0.05933396396790353,68
resid_median,0.32775712296937065,0.031906976340504205,68
resid_q25,0.34782079531561305,0.02228446241887028,68
resid_q75,0.25310511944712544,0.1015047440014671,68
resid_sd,0.11500648412808362,0.4627248601410654,68
resid_mean,0.2911125289483091,0.05823169488733415,69
resid_median,0.3634931733370174,0.01657772044010811,69
resid_q25,0.39786640822454206,0.008237555258478213,69
resid_q75,0.26544617073934246,0.08536531871256345,69
resid_sd,0.3176874308106905,0.03789874972919694,69
resid_mean,0.3263943074892485,0.03266893836802404,70
resid_median,0.3537263290628089,0.01996628598922235,70
resid_q25,0.42648553330710665,0.004346650030226028,70
resid_q75,0.2872512184212964,0.06180330037285142,70
resid_sd,0.06427946347909347,0.6821639808629739,70
resid_mean,0.2487895370934054,0.10766922206203292,71
resid_median,0.3223058610488821,0.03504531315208331,71
resid_q25,0.3874181562102724,0.010266597983250997,71
resid_q75,0.3188988223485768,0.037132517021503594,71
resid_sd,0.1810273229428887,0.24534729215472667,71
resid_mean,0.2554521905517802,0.09826773691725015,72
resid_median,0.4020305666360263,0.007530975922700846,72
resid_q25,0.3148103759082105,0.039770533155215615,72
resid_q75,0.3119333210057304,0.041717163112459855,72
resid_sd,0.13749293955009864,0.37928198429852084,72
resid_mean,0.2967152148110334,0.05334494170968418,73
resid_median,0.29080968106383753,0.058505714448221655,73
resid_q25,0.40019073200742844,0.007836433732643667,73
resid_q75,0.30663348302747767,0.0455060782726184,73
resid_sd,0.10682959124735088,0.4953393892958442,73
resid_mean,0.23705418157013153,0.12587524436301742,74
resid_median,0.2551493426673086,0.0986808970751701,74
resid_q25,0.4174758087440771,0.005347081748627117,74
resid_q75,0.22107895566425553,0.154246587768997,74
resid_sd,0.30216647673152186,0.04891224578039794,74
resid_mean,0.3335869447454486,0.02881112716410318,75
resid_median,0.30315073235605455,0.04814457108397305,75
resid_q25,0.447306325364528,0.0026351846692440283,75
resid_q75,0.24348969911515267,0.11562531082018915,75
resid_sd,0.19980389178012684,0.19893470037165378,75
resid_mean,0.36228178179913106,0.01696960569901676,76
resid_median,0.4294383001807046,0.004056429049629932,76
resid_q25,0.44798773310458906,0.0025910029683953507,76
resid_q75,0.3315427215252654,0.02986703090342086,76
resid_sd,0.1903398953903899,0.2214893493131194,76
resid_mean,0.2516665919958854,0.10352874196828815,77
resid_median,0.3266214434026022,0.03254091301767821,77
resid_q25,0.37323625265927884,0.013695124237031902,77
resid_q75,0.3086777062476609,0.04401285324344233,77
resid_sd,0.24242973151950217,0.11726858740998213,77
resid_mean,0.3687930113152701,0.014951948655919749,78
resid_median,0.35584626425411,0.019185156976122535,78
resid_q25,0.46184302381916403,0.0018233608733696312,78
resid_q75,0.3462308439221372,0.02294573243292482,78
resid_sd,0.13878004305910288,0.3747931077947654,78
resid_mean,0.2806642769340395,0.06829690190086028,79
resid_median,0.273017367851132,0.07650023759911288,79
resid_q25,0.41581014537948335,0.005552475318696506,79
resid_q75,0.22600023378691877,0.14504935410518066,79
resid_sd,0.11061518980324567,0.48009495366035465,79
resid_mean,0.3142046801392673,0.040174059597433684,80
resid_median,0.2983051662045092,0.052019948183807764,80
resid_q25,0.3988506638490747,0.008065588433030712,80
resid_q75,0.27536443895578677,0.07390409530380142,80
resid_sd,0.27604584669584786,0.07316351321312092,80
resid_mean,0.2994408457712776,0.051089850740241236,81
resid_median,0.3902952111127525,0.009669176977534756,81
resid_q25,0.4559374900719681,0.0021217103708709457,81
resid_q75,0.2824056522697511,0.06652990623990607,81
resid_sd,0.24485251459527482,0.11353821074201556,81
resid_mean,0.16838342376620014,0.2804285190258134,82
resid_median,0.2801342931362142,0.06884199269867972,82
resid_q25,0.3851467970767356,0.010760326749315676,82
resid_q75,0.11599073975261626,0.4588784201830518,82
resid_sd,0.1540738612249178,0.32390501608176603,82
resid_mean,0.276651542464791,0.07251013649324833,83
resid_median,0.308601994276543,0.04406743859636261,83
resid_q25,0.4279997727294645,0.004195632107213059,83
resid_q75,0.17300185400439178,0.2672529564496336,83
resid_sd,0.11031234191877408,0.4813053714962451,83
resid_mean,0.21403774235029127,0.16813736045960676,84
resid_median,0.2525751356493002,0.10224686773615492,84
resid_q25,0.38423825342332085,0.010963432224144023,84
resid_q75,0.2789229015983279,0.07010083856608403,84
resid_sd,0.2182776127328934,0.15966878974720075,84
resid_mean,0.2939138718796712,0.0557453852907491,85
resid_median,0.28028571707845,0.06868590249665711,85
resid_q25,0.39678356467409487,0.00843038658252593,85
resid_q75,0.26680898621946453,0.08371322208683153,85
resid_sd,0.16883769559290748,0.27911405415355095,85
resid_mean,0.3104190815833725,0.0427724812596472,86
resid_median,0.3192016702330484,0.03694295609795722,86
resid_q25,0.39625356086668745,0.00852617693117228,86
resid_q75,0.30845057033430723,0.04417677435051204,86
resid_sd,0.2723359601110709,0.07726721246597046,86
resid_mean,0.21267492687016912,0.17092712306738186,87
resid_median,0.2945952796197323,0.055153668641277846,87
resid_q25,0.32818592902964683,0.03167028298414468,87
resid_q75,0.20313521850931426,0.19139439702445157,87
resid_sd,0.07154781270641147,0.6484400297164719,87
resid_mean,0.4287568924406435,0.004121856117123148,88
resid_median,0.4208828474443824,0.004947434541643784,88
resid_q25,0.47486548285144203,0.0012929003399002525,88
resid_q75,0.3400981742615876,0.025652030541160133,88
resid_sd,0.05913104944307657,0.706432029193365,88
resid_mean,0.2899011374104227,0.05933396396790353,89
resid_median,0.32904422647837483,0.031200871409664214,89
resid_q25,0.44352072680863325,0.0028929168447498397,89
resid_q75,0.2932324641396102,0.05634218235925292,89
resid_sd,0.313674696341442,0.040529881812914136,89
resid_mean,0.2710488566020667,0.07873238882915715,90
resid_median,0.25810210954090657,0.09470910404771012,90
