yoep_min,min_income,trim2,min_puma_size,n_rows,n_pumas_eligible,median_n,min_n,max_abs_rho,mean_abs_rho,n_sig,rho_ba,p_ba
2000,10000,0.02,30,11581,162,51.0,30,0.27698589796000284,0.1502125608566341,3,0.21034907455182197,0.007216115791245552
2000,10000,0.0,31,11771,159,52.0,31,0.2770622833400661,0.16034107564030728,3,0.22710190329951732,0.003992372660859645
1997,0,0.0,31,14912,193,60.0,31,0.2775527750444913,0.11726569639820776,2,0.13511461759508783,0.061002281734417775
1999,10000,0.0,30,12651,170,54.0,30,0.27842797035813316,0.1258555706923422,3,0.1829045327640256,0.016969695597600837
1999,0,0.0,31,13196,175,56.0,31,0.2787870173289022,0.12499038447468304,3,0.1826846500553861,0.0155302948058439
1996,0,0.0,30,15627,204,59.5,30,0.2819291524283598,0.12021846029535674,2,0.07503180196853895,0.28615812799741236
2002,0,0.0,31,9968,134,47.5,31,0.2827972857815162,0.1570908318987788,3,0.25818011602469393,0.002596296131598108
1996,0,0.0,31,15627,200,61.0,31,0.2843010634871826,0.12298224929901447,3,0.07898062324839,0.26627098471099975
2001,0,0.0,31,10917,150,48.0,31,0.2852934271702069,0.17522466852316704,4,0.2852934271702069,0.0004020682686826055
1995,0,0.02,31,16194,206,63.0,31,0.28660799292989597,0.12198637882842976,2,0.07270154310740765,0.2990424968015583
1995,0,0.0,30,16454,211,62.0,30,0.28820555333746967,0.12530562574340537,2,0.07944378761449687,0.2505768252680537
1995,0,0.02,30,16194,211,62.0,30,0.2901132950026946,0.12927407961319168,2,0.061830957616870685,0.37150028640996335
2001,0,0.0,30,10917,155,47.0,30,0.29020038082711896,0.1722358165877309,4,0.29020038082711896,0.0002494090165811675
2001,10000,0.02,30,10282,147,46.0,30,0.2948236832921226,0.1796657063742854,3,0.27022294891057486,0.0009325875825586666
2002,10000,0.02,30,9381,129,46.0,30,0.2954589315143838,0.14726510845866755,3,0.20505028214102233,0.019749050381533195
1995,0,0.0,31,16454,208,63.0,31,0.299619148128246,0.11933716905470439,2,0.06699187825653548,0.3363366502094159
2001,10000,0.02,31,10282,141,47.0,31,0.3031166104549268,0.14728496129997976,3,0.20479963814710292,0.014846875721826708
2001,10000,0.0,31,10450,141,48.0,31,0.3066746762509251,0.15659131914509208,3,0.2233807174631599,0.007753494482704769
2001,10000,0.0,30,10450,148,46.0,30,0.3142968749549393,0.18679816855963333,3,0.29283392670796565,0.00030410545387040425
