puma,N_j,age_mean,age_sd,hours_mean,hours_sd,entry_recency_mean,entry_recency_sd,age_sq_mean,age_sq_sd,prop_female,prop_married,prop_educ_BAplus,prop_educ_SomeCollege,english_mean,prop_cow_1.0,prop_cow_2.0,prop_cow_3.0,prop_cow_4.0,resid_mean,resid_sd,resid_q25,resid_median,resid_q75,prop_educ_<HS,prop_cow_6.0,prop_educ_HS,prop_cow_5.0,prop_cow_7.0,prop_cow_8.0
3719,34,39.64705882352941,8.35530081405838,42.35294117647059,5.39855397553252,3.264705882352941,1.958800243955959,1639.6470588235295,654.1414860555521,0.3235294117647059,0.7058823529411765,0.4117647058823529,0.29411764705882354,1.7941176470588236,0.7352941176470589,0.029411764705882353,0.058823529411764705,,-9703.272136623025,50133.00922066345,-42881.40673059068,-12545.562562357023,12845.597336604216,0.058823529411764705,0.17647058823529413,0.23529411764705882,,,
3725,21,35.095238095238095,9.544133076947125,41.142857142857146,4.4077853201547175,3.380952380952381,1.5644868320376006,1318.4285714285713,731.374293465977,0.47619047619047616,0.5714285714285714,0.5238095238095238,0.14285714285714285,2.0,0.9047619047619048,,0.047619047619047616,,-8724.34407441304,27229.8838930565,-28196.567365262017,-11323.028157073772,556.7439667506842,0.14285714285714285,,0.19047619047619047,,0.047619047619047616,
3729,33,34.78787878787879,6.863661448880508,46.121212121212125,12.67812480159619,2.6666666666666665,2.01038968030247,1255.878787878788,539.8999767072461,0.3939393939393939,0.6060606060606061,0.9696969696969697,0.030303030303030304,1.2727272727272727,0.7272727272727273,0.06060606060606061,0.12121212121212122,0.06060606060606061,-20217.573628151134,43809.716540464804,-48102.605067689554,-22207.47879621922,7924.093559902278,,,,0.030303030303030304,,
3730,24,36.291666666666664,7.8711314399473435,41.875,4.121127958723669,2.625,1.8132963018384143,1376.4583333333333,609.3813669306921,0.4583333333333333,0.6666666666666666,0.7083333333333334,0.20833333333333334,1.5,0.75,0.041666666666666664,0.041666666666666664,0.041666666666666664,-18954.0224714158,29219.100622619335,-39985.111357534544,-21091.781930047553,-370.237496370406,0.041666666666666664,,0.041666666666666664,0.041666666666666664,0.08333333333333333,
3733,25,34.6,8.972179222463181,40.24,0.8793937305515279,3.12,1.8101565309847287,1274.44,673.6099316369971,0.28,0.32,0.52,0.04,1.96,0.96,,,,-31043.651148906538,34014.92140414556,-54012.7944317956,-21673.112472526613,-7046.604006448091,0.24,,0.2,,0.04,
3734,27,33.77777777777778,8.186918896974674,44.074074074074076,11.578912948598632,2.8518518518518516,1.6101529717988265,1205.4814814814815,639.9798296322958,0.2222222222222222,0.4444444444444444,0.2962962962962963,0.18518518518518517,2.888888888888889,0.6666666666666666,,,,-9875.118220805409,34715.39194004241,-29706.79979634733,-7170.649345334445,8769.961805572326,0.25925925925925924,0.3333333333333333,0.25925925925925924,,,
3736,32,36.1875,7.760268951109129,40.96875,2.6818911839559494,3.5625,1.605183136974036,1367.875,598.2845234232137,0.46875,0.625,0.53125,0.09375,2.34375,0.75,0.09375,,,-14817.806196638187,28869.95604727042,-29692.14341337743,-11072.93885982233,2238.3468588266114,0.21875,,0.15625,0.0625,0.09375,
3737,21,38.23809523809524,6.587144767687756,42.285714285714285,6.141195788629907,2.8095238095238093,1.3645163106041502,1503.4761904761904,510.9702162599714,0.6190476190476191,0.6666666666666666,0.23809523809523808,0.23809523809523808,2.7142857142857144,0.9047619047619048,,,,-8104.971364648727,24476.53863790114,-25967.38542958675,-2050.568733803171,13575.152898569533,0.14285714285714285,,0.38095238095238093,,0.09523809523809523,
3742,22,42.63636363636363,8.709849129661881,41.13636363636363,4.3457198926393525,2.272727272727273,1.804275825757042,1890.2727272727273,726.708180235216,0.22727272727272727,0.6818181818181818,0.22727272727272727,,2.5,0.8181818181818182,0.045454545454545456,,,-13731.536910541561,30327.505021125915,-24406.78523853347,-6844.596367419901,4944.788623347609,0.5909090909090909,,0.18181818181818182,,0.13636363636363635,
3744,21,32.57142857142857,4.738896797477537,43.42857142857143,8.298020417975776,3.8095238095238093,1.9395630337539334,1082.2857142857142,330.3460523234904,0.23809523809523808,0.5238095238095238,0.3333333333333333,0.23809523809523808,1.7142857142857142,0.7619047619047619,0.09523809523809523,0.047619047619047616,,-10332.174488398947,28207.40342320861,-20050.011174018466,-9060.698924546014,11504.605176708137,0.2857142857142857,0.047619047619047616,0.14285714285714285,,,0.047619047619047616
3745,22,36.36363636363637,8.375391701119783,44.27272727272727,8.664002254439634,3.727272727272727,1.5486343655842065,1389.2727272727273,651.4618127768454,0.2727272727272727,0.5909090909090909,0.045454545454545456,0.09090909090909091,2.772727272727273,0.9545454545454546,,,,-8542.038664578118,33290.41426866903,-24822.925546774844,-7496.391431060358,6423.912046886457,0.5,0.045454545454545456,0.36363636363636365,,,
