dataset,alpha,nominal_coverage,o,dataset_id,mean_width,sd_upper,sd_width,relative_instability,coverage_mean,n_finite,n_reruns,base_seed
fixedN21,0.05,0.95,15,18,7.511957683036382,0.11090281588116463,0.213723513830679,0.014763503810944925,1.0,50,50,456
fixedN21,0.05,0.95,15,8,8.078533580453733,0.4414113207480968,0.29026196991475733,0.05464003044019095,1.0,50,50,456
fixedN21,0.05,0.95,15,19,6.380400687581962,0.13809679506207245,0.22992417456992653,0.0216439063663897,1.0,50,50,456
fixedN21,0.05,0.95,15,20,6.912697845858401,0.08500860618275273,0.15740663474129044,0.012297457241485519,1.0,50,50,456
fixedN21,0.05,0.95,20,1,6.1888212058833645,0.169962149765659,0.2384051827311149,0.027462766189478138,1.0,50,50,456
fixedN21,0.05,0.95,15,21,6.740801680415697,0.2576070362711854,0.31427161521096963,0.038216082965268176,1.0,50,50,456
fixedN21,0.05,0.95,20,0,6.4011952800347816,0.2155393385439535,0.39637320828288564,0.03367173303026967,1.0,50,50,456
fixedN21,0.05,0.95,20,3,6.468482279390806,0.18192680358398833,0.1888255871657174,0.028125114319880608,1.0,50,50,456
fixedN21,0.05,0.95,20,2,6.789576315286553,0.3323657515537905,0.4666636030965914,0.04895235521625668,1.0,50,50,456
fixedN21,0.05,0.95,20,5,6.32923048658919,0.32337103755747865,0.25055096724834625,0.051091682984631306,1.0,50,50,456
fixedN21,0.05,0.95,15,22,6.680218904766223,0.38197954372097537,0.5218575556116627,0.05718069260401623,1.0,50,50,456
fixedN21,0.05,0.95,20,6,6.341244927179656,0.2571685331910322,0.40885273178784426,0.04055489673467178,1.0,50,50,456
fixedN21,0.05,0.95,20,7,4.8082832598120575,0.08568166460700304,0.12334726721479769,0.017819595888440252,1.0,50,50,456
fixedN21,0.05,0.95,15,24,8.384048540712246,0.22829728220595905,0.6374078204050938,0.02722995711407995,1.0,50,50,456
fixedN21,0.05,0.95,20,8,6.904361238013901,0.37327689942754705,0.3724092762166932,0.054063929530854524,1.0,50,50,456
fixedN21,0.05,0.95,20,9,5.818109038715427,0.1886767805826545,0.15969449581733228,0.03242922731890088,1.0,50,50,456
fixedN21,0.05,0.95,15,23,8.117113798739005,0.45026969634581376,0.5932858520225713,0.055471650085251144,0.06,50,50,456
fixedN21,0.05,0.95,20,4,6.539928184594521,0.16643645106400046,0.44423689321221693,0.0254492780908602,1.0,50,50,456
fixedN21,0.05,0.95,20,10,5.442846859360536,0.2687290380364489,0.3286523233066666,0.049372882423522946,1.0,50,50,456
fixedN21,0.05,0.95,20,11,6.292874127248607,0.16958253964336711,0.2610966404223095,0.02694834446299542,1.0,50,50,456
fixedN21,0.05,0.95,25,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,2,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,5,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,6,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,8,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,7,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,20,12,5.387467197746134,0.129359487951777,0.2792883875191004,0.02401118804136664,1.0,50,50,456
fixedN21,0.05,0.95,20,17,5.913585396011334,0.16451468271338954,0.2568076489163361,0.02781978642336904,1.0,50,50,456
fixedN21,0.05,0.95,20,16,5.266547133653667,0.07459610010886107,0.1146440958134238,0.01416413794764807,1.0,50,50,456
fixedN21,0.05,0.95,20,14,5.951013919047094,0.15237613611998854,0.20049580085350804,0.02560507136981924,1.0,50,50,456
fixedN21,0.05,0.95,20,15,6.233847643701593,0.20941041243114528,0.3348240221173653,0.03359248162613092,1.0,50,50,456
fixedN21,0.05,0.95,20,13,5.507137668833093,0.2455545920667666,0.07636422582658506,0.04458842448345715,1.0,50,50,456
fixedN21,0.05,0.95,20,18,6.4208280676515255,0.16275742449408745,0.32303169065488213,0.025348354258863906,1.0,50,50,456
fixedN21,0.05,0.95,20,20,6.223764938528751,0.11787912089116113,0.17452561645435746,0.01894016275605467,1.0,50,50,456
fixedN21,0.05,0.95,20,21,5.859085711516612,0.12276797822395251,0.1359768602378323,0.020953436127865464,1.0,50,50,456
fixedN21,0.05,0.95,20,24,5.47703339928617,0.25464454509876366,0.17342839863010065,0.046493151772993,1.0,50,50,456
fixedN21,0.05,0.95,25,9,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,20,23,6.952443709995288,0.11684618607547843,0.10536185832033684,0.016806491494133595,1.0,50,50,456
fixedN21,0.05,0.95,20,19,6.327064929110451,0.2977235734156801,0.34708510814190713,0.0470555584226537,1.0,50,50,456
fixedN21,0.05,0.95,25,10,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,14,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,11,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,12,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,13,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,20,22,6.802528913106127,0.13781531156717555,0.2814789552178221,0.020259423124487273,0.96,50,50,456
fixedN21,0.05,0.95,25,17,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,16,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,15,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,18,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,20,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,21,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,19,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,23,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,22,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,25,24,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,0,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,4,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,3,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,1,,0.0,0.0,,1.0,0,50,456
fixedN21,0.05,0.95,30,2,,0.0,0.0,,1.0,0,50,456
