method,o,coverage_mean,coverage_std,coverage_se,width_income_median,width_income_mean,width_income_std,n,alpha,nominal_coverage,coverage_se_plot,source
Pooled-Income-Quantile,15,0.834,0.372266816386557,0.0117662228433767,151975.00000000035,151975.0000000004,5.823678659000281e-11,1000,0.15,0.85,0.0117662228433767,permuted_rows
Pooled-Income-Quantile,20,0.834,0.372266816386557,0.0117662228433767,151975.00000000035,151975.0000000004,5.823678659000281e-11,1000,0.15,0.85,0.0117662228433767,permuted_rows
Pooling,0,0.83,0.3758207567993568,0.0118785521003193,172434.97778221557,174813.6570032074,81444.85453006746,1000,0.15,0.85,0.0118785521003193,permuted_rows
Repeated,0,0.924,0.2651307117146075,0.0083799761336175,268977.9144563585,275235.4119558588,130296.2338290722,1000,0.15,0.85,0.0083799761336175,permuted_rows
S-HCP,0,0.9,0.3001501125938321,0.0094868329805051,234367.6600293492,293734.47449602984,220107.5369447565,1000,0.15,0.85,0.0094868329805051,permuted_rows
S-HCP,5,1.0,0.0,0.0,,,,1000,0.15,0.85,0.0,permuted_rows
S-HCP,10,1.0,0.0,0.0,,,,1000,0.15,0.85,0.0,permuted_rows
S-HCP,15,1.0,0.0,0.0,,,,1000,0.15,0.85,0.0,permuted_rows
S-HCP,20,1.0,0.0,0.0,,,,1000,0.15,0.85,0.0,permuted_rows
Std-CP,0,1.0,0.0,0.0,,,,1000,0.15,0.85,0.0,permuted_rows
Std-CP,5,0.775,0.4177912750998392,0.0132051126462442,143962.1087971392,206019.61600041584,199997.0661148094,1000,0.15,0.85,0.0132051126462442,permuted_rows
Std-CP,10,0.791,0.4067978422810087,0.0128576436410409,145677.50178585213,186373.4665312916,139453.72218214226,1000,0.15,0.85,0.0128576436410409,permuted_rows
Std-CP,15,0.802,0.3986915536538929,0.0126014284904529,144517.88678443074,179260.48622427863,128315.47886392105,1000,0.15,0.85,0.0126014284904529,permuted_rows
Std-CP,20,0.853,0.3542831022170216,0.0111978122863352,169361.64653097614,218724.29082613855,154941.18234937315,1000,0.15,0.85,0.0111978122863352,permuted_rows
Subsampling,0,0.894,0.3079916538785732,0.0097346802720993,238525.1107064892,290525.2208841067,205279.91867193324,1000,0.15,0.85,0.0097346802720993,permuted_rows
Donor-HCP,0,0.959,0.1983894109027958,0.0062704864245128,369681.13855965715,368717.75712252466,177235.5103358391,1000,0.125,0.875,0.0062704864245128,permuted_rows
Donor-HCP,5,0.93,0.2552746857116176,0.0080684571015777,265533.120791699,283599.3506287323,137231.557477592,1000,0.125,0.875,0.0080684571015777,permuted_rows
Donor-HCP,10,0.912,0.2834366531278838,0.0089585713146684,225342.81291954507,240784.80012572664,117321.15250659204,1000,0.125,0.875,0.0089585713146684,permuted_rows
Donor-HCP,15,0.892,0.3105357184486713,0.0098150904224056,197847.668322925,210847.61903401563,100660.82828575894,1000,0.125,0.875,0.0098150904224056,permuted_rows
Donor-HCP,20,0.866,0.3408227694273963,0.0107723720693262,175832.29609847494,188757.330135539,88350.26716822611,1000,0.125,0.875,0.0107723720693262,permuted_rows
HCP,0,0.946,0.2261307920985887,0.0071473071852271,334732.1736302705,340825.1953084046,161154.58331733337,1000,0.125,0.875,0.0071473071852271,permuted_rows
Pooled-Income-Quantile,0,0.85,0.3572500911513216,0.0112915897906362,162568.75,162568.75,0.0,1000,0.125,0.875,0.0112915897906362,permuted_rows
Pooled-Income-Quantile,5,0.85,0.3572500911513216,0.0112915897906362,162568.75,162568.75,0.0,1000,0.125,0.875,0.0112915897906362,permuted_rows
Pooled-Income-Quantile,10,0.85,0.3572500911513216,0.0112915897906362,162568.75,162568.75,0.0,1000,0.125,0.875,0.0112915897906362,permuted_rows
Pooled-Income-Quantile,15,0.85,0.3572500911513216,0.0112915897906362,162568.75,162568.75,0.0,1000,0.125,0.875,0.0112915897906362,permuted_rows
Pooled-Income-Quantile,20,0.85,0.3572500911513216,0.0112915897906362,162568.75,162568.75,0.0,1000,0.125,0.875,0.0112915897906362,permuted_rows
Pooling,0,0.855,0.3522770203960217,0.0111344061359373,194661.4181332001,194538.97012505584,91135.90199801876,1000,0.125,0.875,0.0111344061359373,permuted_rows
Repeated,0,0.917,0.2760202658994212,0.0087241618508599,270137.44298204524,274131.1458535666,128752.6011917244,1000,0.125,0.875,0.0087241618508599,permuted_rows
S-HCP,0,0.9,0.3001501125938321,0.0094868329805051,243361.29262764973,302117.4385265657,219555.47445022193,1000,0.125,0.875,0.0094868329805051,permuted_rows
S-HCP,5,1.0,0.0,0.0,,,,1000,0.125,0.875,0.0,permuted_rows
S-HCP,10,1.0,0.0,0.0,,,,1000,0.125,0.875,0.0,permuted_rows
S-HCP,15,1.0,0.0,0.0,,,,1000,0.125,0.875,0.0,permuted_rows
S-HCP,20,1.0,0.0,0.0,,,,1000,0.125,0.875,0.0,permuted_rows
Std-CP,0,1.0,0.0,0.0,,,,1000,0.125,0.875,0.0,permuted_rows
