test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
FL,0,1,Repeated,1,2.290091006530517,0,10.452059997668297,12.742151004198814,10.62135173563291,11.597105500933555,25,788,118
FL,25,30,HCP++,1,,1,-inf,inf,9.952325334619427,10.531267191059946,25,788,118
FL,25,30,HCP.sample,0,1.4702393070249542,0,10.16181987605538,11.632059183080335,9.952325334619427,10.531267191059946,25,788,118
FL,25,30,HCP,0,2.2537646510347678,0,10.206353155930616,12.460117806965384,9.952325334619427,11.333235481448,25,788,118
FL,25,30,Pooling,0,1.9912474819854324,0,10.337611740455284,12.328859222440716,9.952325334619427,11.333235481448,25,788,118
FL,25,30,Subsampling,0,1.9912474819854324,0,10.337611740455284,12.328859222440716,9.952325334619427,11.333235481448,25,788,118
FL,25,30,Repeated,0,2.249439739269146,0,10.208515611813427,12.457955351082573,9.952325334619427,11.333235481448,25,788,118
FL,50,59,HCP++,1,,1,-inf,inf,12.429220196836383,11.612057655054551,25,788,118
FL,50,59,HCP.sample,1,1.3865247264644545,0,11.230076969617981,12.616601696082435,12.429220196836383,11.612057655054551,25,788,118
FL,50,59,HCP,1,2.2537646510347678,0,11.00235180357282,13.256116454607588,12.429220196836383,12.129234129090204,25,788,118
FL,50,59,Pooling,1,1.9912474819854324,0,11.133610388097487,13.12485787008292,12.429220196836383,12.129234129090204,25,788,118
FL,50,59,Subsampling,1,1.818215184500307,0,11.22012653684005,13.038341721340357,12.429220196836383,12.129234129090204,25,788,118
FL,50,59,Repeated,1,2.2537646510347678,0,11.00235180357282,13.256116454607588,12.429220196836383,12.129234129090204,25,788,118
FL,75,88,HCP++,1,,1,-inf,inf,12.206077645517674,11.411722126617148,25,788,118
FL,75,88,HCP.sample,1,1.618087930885725,0,10.859683958066524,12.47777188895225,12.206077645517674,11.411722126617148,25,788,118
FL,75,88,HCP,1,2.2537646510347678,0,10.536740685447958,12.790505336482726,12.206077645517674,11.663623010965342,25,788,118
FL,75,88,Pooling,1,1.9912474819854324,0,10.667999269972626,12.659246751958058,12.206077645517674,11.663623010965342,25,788,118
FL,75,88,Subsampling,1,2.0985632228377433,0,10.61434139954647,12.712904622384213,12.206077645517674,11.663623010965342,25,788,118
FL,75,88,Repeated,1,2.2537646510347678,0,10.536740685447958,12.790505336482726,12.206077645517674,11.663623010965342,25,788,118
GA,0,1,HCP++,1,2.267047971351822,0,10.460319669638862,12.727367640990684,10.62135173563291,11.593843655314773,25,788,40
GA,0,1,HCP.sample,1,2.243684923298453,0,10.475263039284329,12.718947962582781,10.62135173563291,11.593843655314773,25,788,40
GA,0,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,40
GA,0,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,40
GA,0,1,Subsampling,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,40
