alpha,experiment,o,method,coverage,width,n_infinite,n_total,proportion_infinite
0.2,2,5,stdcp,0.8,4.436574611038954,0,1,0.0
0.2,2,5,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,10,dhcp_with,0.95,41.7816190620787,0,1,0.0
0.2,2,10,dhcp_without,0.95,41.7816190620787,0,1,0.0
0.2,2,10,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,10,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,10,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,10,stdcp,0.82,11.681930814688187,0,1,0.0
0.2,2,10,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,15,dhcp_with,0.95,41.245717248535634,0,1,0.0
0.2,2,15,dhcp_without,0.95,41.245717248535634,0,1,0.0
0.2,2,15,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,15,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,15,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,15,stdcp,0.85,6.881832195350202,0,1,0.0
0.2,2,15,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,20,dhcp_with,0.93,38.94046184298425,0,1,0.0
0.2,2,20,dhcp_without,0.93,38.94046184298425,0,1,0.0
0.2,2,20,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,20,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,20,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,20,stdcp,0.74,4.2179164285293975,0,1,0.0
0.2,2,20,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,25,dhcp_with,0.85,14.938216216959006,0,1,0.0
0.2,2,25,dhcp_without,0.85,14.938216216959006,0,1,0.0
0.2,2,25,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,25,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,25,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,25,stdcp,0.82,4.641177569376913,0,1,0.0
0.2,2,25,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,30,dhcp_with,0.75,14.034165881190866,0,1,0.0
0.2,2,30,dhcp_without,0.75,14.034165881190866,0,1,0.0
0.2,2,30,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,30,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,30,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,30,stdcp,0.83,3.83371359319377,0,1,0.0
0.2,2,30,sub,0.96,44.09188072918455,0,1,0.0
0.2,2,35,dhcp_with,0.8,14.25159015413833,0,1,0.0
0.2,2,35,dhcp_without,0.8,14.25159015413833,0,1,0.0
0.2,2,35,hcp,0.96,42.72873769743152,0,1,0.0
0.2,2,35,pool,0.93,40.011596825545645,0,1,0.0
0.2,2,35,rep,0.95,42.31045765147624,0,1,0.0
0.2,2,35,stdcp,0.84,3.795947039295328,0,1,0.0
0.2,2,35,sub,0.96,44.09188072918455,0,1,0.0
0.2,3,0,dhcp_with,0.91,23.934238402055072,0,1,0.0
0.2,3,0,dhcp_without,0.91,23.934238402055072,0,1,0.0
0.2,3,0,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,0,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,0,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,0,stdcp,1.0,inf,1,1,1.0
0.2,3,0,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,5,dhcp_with,0.91,23.867021702280297,0,1,0.0
0.2,3,5,dhcp_without,0.91,23.867021702280297,0,1,0.0
0.2,3,5,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,5,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,5,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,5,stdcp,0.73,4.423765631303337,0,1,0.0
0.2,3,5,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,10,dhcp_with,0.9,22.491997323330406,0,1,0.0
0.2,3,10,dhcp_without,0.9,22.491997323330406,0,1,0.0
0.2,3,10,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,10,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,10,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,10,stdcp,0.79,9.801636366553886,0,1,0.0
0.2,3,10,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,15,dhcp_with,0.89,22.108377854500066,0,1,0.0
0.2,3,15,dhcp_without,0.89,22.108377854500066,0,1,0.0
0.2,3,15,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,15,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,15,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,15,stdcp,0.91,6.1104111726319275,0,1,0.0
0.2,3,15,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,20,dhcp_with,0.86,20.585125756624674,0,1,0.0
0.2,3,20,dhcp_without,0.86,20.585125756624674,0,1,0.0
0.2,3,20,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,20,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,20,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,20,stdcp,0.84,4.027877299125136,0,1,0.0
0.2,3,20,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,25,dhcp_with,0.84,12.53661906712324,0,1,0.0
0.2,3,25,dhcp_without,0.84,12.53661906712324,0,1,0.0
0.2,3,25,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,25,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,25,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,25,stdcp,0.88,4.298287390900551,0,1,0.0
0.2,3,25,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,30,dhcp_with,0.82,11.659283936064897,0,1,0.0
0.2,3,30,dhcp_without,0.82,11.659283936064897,0,1,0.0
0.2,3,30,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,30,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,30,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,30,stdcp,0.8,3.3150375927835745,0,1,0.0
0.2,3,30,sub,0.91,23.934238402055072,0,1,0.0
0.2,3,35,dhcp_with,0.83,11.9365856011908,0,1,0.0
0.2,3,35,dhcp_without,0.83,11.9365856011908,0,1,0.0
0.2,3,35,hcp,0.91,23.934238402055072,0,1,0.0
0.2,3,35,pool,0.84,20.783074946331077,0,1,0.0
0.2,3,35,rep,0.86,22.169437971186163,0,1,0.0
0.2,3,35,stdcp,0.84,3.495002743728968,0,1,0.0
0.2,3,35,sub,0.91,23.934238402055072,0,1,0.0
0.2,4,0,dhcp_with,0.83,25.604277310081336,0,1,0.0
0.2,4,0,dhcp_without,0.83,25.604277310081336,0,1,0.0
0.2,4,0,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,0,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,0,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,0,stdcp,1.0,inf,1,1,1.0
0.2,4,0,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,5,dhcp_with,0.83,24.71566556018154,0,1,0.0
0.2,4,5,dhcp_without,0.83,24.71566556018154,0,1,0.0
0.2,4,5,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,5,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,5,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,5,stdcp,0.81,5.1111875126002815,0,1,0.0
0.2,4,5,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,10,dhcp_with,0.83,24.09904683022166,0,1,0.0
0.2,4,10,dhcp_without,0.83,24.09904683022166,0,1,0.0
0.2,4,10,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,10,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,10,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,10,stdcp,0.89,11.209692916614994,0,1,0.0
0.2,4,10,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,15,dhcp_with,0.83,23.96892639277734,0,1,0.0
0.2,4,15,dhcp_without,0.83,23.96892639277734,0,1,0.0
0.2,4,15,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,15,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,15,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,15,stdcp,0.91,6.6534340154382345,0,1,0.0
0.2,4,15,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,20,dhcp_with,0.82,21.556783095304326,0,1,0.0
0.2,4,20,dhcp_without,0.82,21.556783095304326,0,1,0.0
0.2,4,20,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,20,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,20,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,20,stdcp,0.83,4.4280558501099385,0,1,0.0
0.2,4,20,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,25,dhcp_with,0.86,12.43417083969776,0,1,0.0
0.2,4,25,dhcp_without,0.86,12.43417083969776,0,1,0.0
0.2,4,25,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,25,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,25,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,25,stdcp,0.88,4.620738190960738,0,1,0.0
0.2,4,25,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,30,dhcp_with,0.84,11.878250347455076,0,1,0.0
0.2,4,30,dhcp_without,0.84,11.878250347455076,0,1,0.0
0.2,4,30,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,30,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,30,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,30,stdcp,0.84,3.650873567822865,0,1,0.0
0.2,4,30,sub,0.69,16.465571141908494,0,1,0.0
0.2,4,35,dhcp_with,0.87,12.778999638989847,0,1,0.0
0.2,4,35,dhcp_without,0.87,12.778999638989847,0,1,0.0
0.2,4,35,hcp,0.83,25.604277310081336,0,1,0.0
0.2,4,35,pool,0.79,22.140930555118473,0,1,0.0
0.2,4,35,rep,0.8,23.304626192077293,0,1,0.0
0.2,4,35,stdcp,0.9,3.8364761662961024,0,1,0.0
0.2,4,35,sub,0.69,16.465571141908494,0,1,0.0
0.2,5,0,dhcp_with,0.95,36.66110471687237,0,1,0.0
0.2,5,0,dhcp_without,0.95,36.66110471687237,0,1,0.0
0.2,5,0,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,0,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,0,rep,0.93,33.162943763293,0,1,0.0
0.2,5,0,stdcp,1.0,inf,1,1,1.0
0.2,5,0,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,5,dhcp_with,0.95,34.95191797072681,0,1,0.0
0.2,5,5,dhcp_without,0.95,34.95191797072681,0,1,0.0
0.2,5,5,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,5,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,5,rep,0.93,33.162943763293,0,1,0.0
0.2,5,5,stdcp,0.71,4.353766201131533,0,1,0.0
0.2,5,5,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,10,dhcp_with,0.95,33.22057040730307,0,1,0.0
0.2,5,10,dhcp_without,0.95,33.22057040730307,0,1,0.0
0.2,5,10,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,10,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,10,rep,0.93,33.162943763293,0,1,0.0
0.2,5,10,stdcp,0.87,12.239527098794946,0,1,0.0
0.2,5,10,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,15,dhcp_with,0.95,31.767236089488357,0,1,0.0
0.2,5,15,dhcp_without,0.95,31.767236089488357,0,1,0.0
0.2,5,15,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,15,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,15,rep,0.93,33.162943763293,0,1,0.0
0.2,5,15,stdcp,0.84,5.8152026711027345,0,1,0.0
0.2,5,15,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,20,dhcp_with,0.94,28.950195956569452,0,1,0.0
0.2,5,20,dhcp_without,0.94,28.950195956569452,0,1,0.0
0.2,5,20,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,20,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,20,rep,0.93,33.162943763293,0,1,0.0
0.2,5,20,stdcp,0.8,4.03729495395786,0,1,0.0
0.2,5,20,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,25,dhcp_with,0.91,12.700120672388334,0,1,0.0
0.2,5,25,dhcp_without,0.91,12.700120672388334,0,1,0.0
0.2,5,25,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,25,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,25,rep,0.93,33.162943763293,0,1,0.0
0.2,5,25,stdcp,0.79,4.305126636878319,0,1,0.0
0.2,5,25,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,30,dhcp_with,0.86,11.612699561041092,0,1,0.0
0.2,5,30,dhcp_without,0.86,11.612699561041092,0,1,0.0
0.2,5,30,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,30,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,30,rep,0.93,33.162943763293,0,1,0.0
0.2,5,30,stdcp,0.8,3.5704325910444012,0,1,0.0
0.2,5,30,sub,0.9,28.54566250551645,0,1,0.0
0.2,5,35,dhcp_with,0.87,12.174125139418415,0,1,0.0
0.2,5,35,dhcp_without,0.87,12.174125139418415,0,1,0.0
0.2,5,35,hcp,0.95,36.66110471687237,0,1,0.0
0.2,5,35,pool,0.91,31.075541145732114,0,1,0.0
0.2,5,35,rep,0.93,33.162943763293,0,1,0.0
0.2,5,35,stdcp,0.86,4.138746622073518,0,1,0.0
0.2,5,35,sub,0.9,28.54566250551645,0,1,0.0
0.2,6,0,dhcp_with,0.84,23.359925602935917,0,1,0.0
0.2,6,0,dhcp_without,0.84,23.359925602935917,0,1,0.0
0.2,6,0,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,0,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,0,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,0,stdcp,1.0,inf,1,1,1.0
0.2,6,0,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,5,dhcp_with,0.84,23.27212281781506,0,1,0.0
0.2,6,5,dhcp_without,0.84,23.27212281781506,0,1,0.0
0.2,6,5,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,5,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,5,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,5,stdcp,0.78,5.081937860757532,0,1,0.0
0.2,6,5,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,10,dhcp_with,0.84,23.001904722011936,0,1,0.0
0.2,6,10,dhcp_without,0.84,23.001904722011936,0,1,0.0
0.2,6,10,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,10,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,10,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,10,stdcp,0.84,10.356195264205345,0,1,0.0
0.2,6,10,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,15,dhcp_with,0.84,22.062251189354683,0,1,0.0
0.2,6,15,dhcp_without,0.84,22.062251189354683,0,1,0.0
0.2,6,15,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,15,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,15,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,15,stdcp,0.93,6.306050683011504,0,1,0.0
0.2,6,15,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,20,dhcp_with,0.82,21.250753481437087,0,1,0.0
0.2,6,20,dhcp_without,0.82,21.250753481437087,0,1,0.0
0.2,6,20,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,20,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,20,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,20,stdcp,0.8,4.409450220269701,0,1,0.0
0.2,6,20,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,25,dhcp_with,0.86,12.136679772487378,0,1,0.0
0.2,6,25,dhcp_without,0.86,12.136679772487378,0,1,0.0
0.2,6,25,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,25,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,25,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,25,stdcp,0.9,4.528332703594156,0,1,0.0
0.2,6,25,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,30,dhcp_with,0.78,11.910250970775202,0,1,0.0
0.2,6,30,dhcp_without,0.78,11.910250970775202,0,1,0.0
0.2,6,30,hcp,0.84,23.359925602935917,0,1,0.0
0.2,6,30,pool,0.8,21.257968157504536,0,1,0.0
0.2,6,30,rep,0.81,21.986055435124722,0,1,0.0
0.2,6,30,stdcp,0.8,3.73073076501349,0,1,0.0
0.2,6,30,sub,0.82,22.182756533412242,0,1,0.0
0.2,6,35,dhcp_with,0.84,12.489422313076453,0,1,0.0
0.2,6,35,dhcp_without,0.84,12.489422313076453,0,1,0.0
