alpha,dataset_id,o,mean_width,sd_upper,sd_width,rel_sd_upper,rel_sd_width
0.2,10,15,21.492109471201196,7.449175299853448,6.207361237990099,0.3466004725983332,0.28882047368629793
0.2,10,20,18.949186527078147,6.56469960004453,6.1025427197945215,0.3464370140989249,0.3220477412618249
0.2,10,25,2.140197675310389,8.926528984957934e-16,4.463264492478967e-16,4.170889954668947e-16,2.0854449773344735e-16
0.2,10,30,1.8174348412928418,1.785305796991587e-15,2.2316322462394835e-16,9.82321762755247e-16,1.2279022034440588e-16
0.2,10,35,1.6413192953526983,8.926528984957934e-16,2.2316322462394835e-16,5.438630381201811e-16,1.3596575953004528e-16
0.2,11,0,12.543297224527867,6.963368041827864,4.153760382745151,0.5551465389986378,0.33115378742860807
0.2,11,5,11.751931230363562,5.574189109891839,3.4372985226557975,0.47432111374935215,0.2924879711493564
0.2,11,10,11.12625522815707,5.284817352880663,3.1661107743618393,0.4749861696059644,0.28456211990799957
0.2,11,15,11.098138927318642,4.14842021118545,3.3170611102958314,0.37379422246858884,0.2988844464841501
0.2,11,20,11.388383699667873,4.23030110155702,2.8098033855716125,0.371457549474768,0.24672538787515183
0.2,11,25,3.5644869488275805,1.785305796991587e-15,0.0,5.008591201543896e-16,0.0
0.2,11,30,2.878531533104857,0.0,0.0,0.0,0.0
0.2,11,35,2.611973787336191,8.926528984957934e-16,8.926528984957934e-16,3.417541565017623e-16,3.417541565017623e-16
0.2,8,0,22.85929377685245,6.331812172404869,7.561866269068131,0.27699071695804206,0.3308005200372967
0.2,8,5,20.40019779412196,4.774226372544577,6.3170220237680965,0.23402843544586638,0.3096549399922122
0.2,8,10,18.246948256905583,4.403982741687318,4.308484041736256,0.2413544818389357,0.2361208011923695
0.2,8,15,18.599231356724662,5.493406216748538,4.544032582352707,0.295356625840474,0.2443129232171084
0.2,8,20,16.72288943831454,4.214581142849864,4.055109690776108,0.2520246969518111,0.24248857864749557
0.2,8,25,3.2557554343761965,3.570611593983174e-15,1.3389793477436902e-15,1.0967075586460024e-15,4.1126533449225094e-16
0.2,8,30,3.9330493152215036,3.570611593983174e-15,8.926528984957934e-16,9.07848162534947e-16,2.2696204063373675e-16
0.2,8,35,3.261493414949434,3.570611593983174e-15,4.463264492478967e-16,1.0947781091989517e-15,1.3684726364986897e-16
0.2,12,0,27.06405799148318,7.419477799244755,8.682815194357376,0.2741450599012018,0.3208245857694283
0.2,12,5,24.69018156631363,7.60337013239993,7.324848354554266,0.30795116317709414,0.2966704936892007
0.2,12,10,20.824968600362077,5.730151083560194,6.401315318664961,0.2751577298157638,0.3073865532048708
0.2,12,15,19.022967756338733,5.4173860454303115,5.369873691786251,0.28478132932886663,0.28228369834653844
0.2,12,20,17.84948133751058,5.1624504977379315,5.569649184105236,0.289221316861968,0.31203423106758016
0.2,12,25,2.814568194895628,1.785305796991587e-15,0.0,6.343089502074725e-16,0.0
0.2,12,30,4.027912011306362,3.570611593983174e-15,8.926528984957934e-16,8.864671283683595e-16,2.2161678209208986e-16
0.2,12,35,3.4686462260609323,3.570611593983174e-15,8.926528984957934e-16,1.0293963008265722e-15,2.5734907520664305e-16
0.2,15,0,29.502483005962763,7.214846323928231,7.3308317391288575,0.24455047808925218,0.2484818561762147
0.2,15,5,27.597932258943032,6.1802476750156465,6.217247043569551,0.22393879429184244,0.22527945156307388
0.2,15,10,22.80828939106652,4.539122669661922,4.59842139333778,0.1990119728768345,0.20161184885434133
0.2,15,15,22.229128421604592,5.595778585324804,6.319998086314861,0.2517318033884874,0.2843115558310611
0.2,15,20,19.60891273911473,5.098417003083595,5.697405291635133,0.26000508395927363,0.2905518203602527
0.2,15,25,2.5944967403385992,0.0,4.463264492478967e-16,0.0,1.7202814029731566e-16
0.2,15,30,2.7144661980760554,1.785305796991587e-15,4.463264492478967e-16,6.57700507840903e-16,1.6442512696022575e-16
0.2,15,35,2.651829468653118,0.0,1.3389793477436902e-15,0.0,5.049266416153701e-16
0.2,14,0,22.571281555882386,7.425029829922297,7.751682885731806,0.3289591604065225,0.3434312254951076
0.2,14,5,21.287844188146632,8.105982136645085,11.361868990824869,0.380779850932891,0.5337256741643813
0.2,14,10,17.878950939150485,5.295633720092752,4.888205120413845,0.2961937609268015,0.2734055894582654
0.2,14,15,15.846041954772838,5.2010457933774,4.1086567236625955,0.3282236540974727,0.25928599301891064
0.2,14,20,15.860482149147002,4.99237533892093,3.9827324873166376,0.3147681950633151,0.2511104296744746
0.2,14,25,2.1025992210197,4.463264492478967e-16,0.0,2.1227366812750993e-16,0.0
0.2,14,30,1.893174636350069,8.926528984957934e-16,6.694896738718451e-16,4.715111228284657e-16,3.5363334212134936e-16
0.2,14,35,2.5085920784452567,4.463264492478967e-16,4.463264492478967e-16,1.7791910174750901e-16,1.7791910174750901e-16
0.2,13,0,20.053327200426384,4.7500659603727104,6.213012508634562,0.236871712753568,0.30982452171340713
0.2,13,5,17.612482445585687,3.093327996029509,5.720524425454705,0.17563270853989166,0.3247994394389572
0.2,13,10,16.010192614772787,5.110226430495723,5.8783048757216605,0.3191858182755689,0.36716015960343173
0.2,13,15,14.92462980089334,4.48370632454742,5.239152687214443,0.30042328582776906,0.35104071304340456
0.2,13,20,12.751594788185807,2.6370406801799873,3.658345883870506,0.20680085306844698,0.28689320391986717
0.2,13,25,4.688639186381869,8.926528984957934e-16,8.926528984957934e-16,1.9038634943130186e-16,1.9038634943130186e-16
0.2,13,30,4.111691932816325,0.0,8.926528984957934e-16,0.0,2.171011138678296e-16
0.2,13,35,3.5806503162202143,2.2316322462394835e-16,4.463264492478967e-16,6.232477480781275e-17,1.246495496156255e-16
0.2,16,0,17.897000289748984,6.9828781516935114,5.867933598765327,0.39017031003196406,0.3278724648692302
0.2,16,5,15.552380936552828,6.740549496487182,4.59830577349249,0.43340949041730575,0.29566571139503617
0.2,16,10,13.62691186860835,3.940039598917814,4.149092249719803,0.28913664643229187,0.3044778075711977
0.2,16,15,12.874413266509187,4.860088126817655,3.4976779722860183,0.3774997762003205,0.27167668925035143
0.2,16,20,13.098503101576542,4.928338767204,5.822085178251259,0.3762520594136305,0.444484773038723
0.2,16,25,7.351099594263278,1.7853057969915867e-14,3.570611593983174e-15,2.4286241454065198e-15,4.85724829081304e-16
0.2,16,30,4.474556787247182,7.141223187966347e-15,8.926528984957934e-16,1.5959621315611329e-15,1.994952664451416e-16
0.2,16,35,4.124463667896862,0.0,0.0,0.0,0.0
0.2,18,0,30.932001282279078,9.778572129444308,13.132954832029252,0.31613124673722437,0.42457501253089347
0.2,18,5,26.740545108956297,7.36944453809822,7.590339035562777,0.275590662347042,0.283851320331556
0.2,18,10,23.163903155055603,5.9351052142058505,8.758213741205013,0.2562221562781181,0.37809749430304895
0.2,18,15,22.50692071983128,4.929058677907195,8.014372228419573,0.21900191231242513,0.35608479401440085
0.2,18,20,19.39381521431552,5.312382026859603,8.36440211481537,0.2739214521822542,0.43129224561452956
0.2,18,25,2.8992643721523526,1.1158161231197418e-16,4.463264492478967e-16,3.848618062696309e-17,1.5394472250785235e-16
0.2,18,30,4.298367963650087,4.463264492478967e-16,1.785305796991587e-15,1.0383625902257222e-16,4.153450360902889e-16
0.2,18,35,4.498062391086058,2.2316322462394835e-16,1.785305796991587e-15,4.961319012964281e-17,3.969055210371425e-16
0.2,17,0,24.784369296647515,6.608653141208528,8.751775968905935,0.26664600830098406,0.35311675129412123
0.2,17,5,22.11414799126658,5.662866942512158,7.322366575010877,0.2560743893343105,0.3311168297283105
0.2,17,10,20.04347571515528,5.851206554451324,7.587843216563601,0.29192574369858953,0.3785692324224125
0.2,17,15,19.539677792641022,5.266217084585115,7.367225536367868,0.26951401862770036,0.37703925389918613
0.2,17,20,18.43910006611121,5.388713752958604,6.979269835144539,0.292243858628567,0.37850382123428983
0.2,17,25,2.670577389496064,4.463264492478967e-16,1.3389793477436902e-15,1.6712732272930617e-16,5.013819681879186e-16
0.2,17,30,2.286738018811579,8.926528984957934e-16,4.463264492478967e-16,3.903608070327647e-16,1.9518040351638234e-16
0.2,17,35,2.0085651789919057,4.463264492478967e-16,0.0,2.222115836300154e-16,0.0
0.2,19,0,21.625298307024792,11.433243335210165,8.670876755764303,0.5286976009711817,0.4009598680517458
0.2,19,5,19.943018629898205,9.311456785451226,7.179876309918449,0.46690307812738346,0.36001953581663465
0.2,19,10,17.18992248409819,7.762907457293556,5.477702676964635,0.45159642019763363,0.31865778813324325
0.2,19,15,16.405295968561997,6.701084733556114,4.8273987004920444,0.4084708222514011,0.2942585558799394
0.2,19,20,15.965772031691332,7.537647359272231,5.293940729725388,0.47211292659762044,0.3315806288112567
0.2,19,25,5.473554892640616,0.0,1.785305796991587e-15,0.0,3.261693418644604e-16
0.2,19,30,3.8945559276203583,7.141223187966347e-15,1.3389793477436902e-15,1.833642479575267e-15,3.4380796492036255e-16
0.2,19,35,5.369511603784786,3.570611593983174e-15,8.926528984957934e-16,6.649788393168517e-16,1.6624470982921293e-16
0.2,20,0,38.64422068966033,14.768913295650789,16.23763453103623,0.38217650743316367,0.420182739909173
0.2,20,5,30.780722083048307,11.530713783365599,10.51711686529531,0.3746082938618209,0.3416786921671127
0.2,20,10,28.43918473309554,10.448914199162846,9.381903245047377,0.3674125787088098,0.32989353714241226
0.2,20,15,27.810271578261144,11.115756005573537,14.425455080959544,0.3996996568081899,0.5187096084396277
0.2,20,20,25.179021631664714,9.243278817837686,9.20906975207886,0.3671023820168411,0.3657437483789159
0.2,20,25,3.3948244557677323,3.570611593983174e-15,4.463264492478967e-16,1.0517809213718791e-15,1.314726151714849e-16
0.2,20,30,3.5624784474732247,3.570611593983174e-15,4.463264492478967e-16,1.0022830023058014e-15,1.2528537528822518e-16
0.2,20,35,5.641513845381049,0.0,8.926528984957934e-16,0.0,1.5822931981752502e-16
