Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference,test_sample_size_o
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,20
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,20
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,20
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,20
donor-HCP-randomized,0.8539999999999999,0.08530856358190637,5.302060156984393,,200,4.0,0.8,0.053999999999999826,25
donor-HCP-derandomized,0.9372,0.04840475604900064,6.859776400485836,,600,12.0,0.8,0.1372,25
sample-HCP-randomized,0.8166,0.09139753937651512,5.118200732403322,1.2730995106862637,0,0.0,0.8,0.016599999999999948,25
sample-HCP-derandomized,0.9100000000000001,0.06308400618805605,6.252036876933277,,300,6.0,0.8,0.1100000000000001,25
Std-CP,0.8597999999999999,0.037768899850516804,4.965376509708162,0.2385278921194734,0,0.0,0.8,0.05979999999999985,25
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,25
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,25
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,25
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,25
donor-HCP-randomized,0.8502,0.07209659053899108,4.99919173466707,,500,10.0,0.8,0.05019999999999991,30
donor-HCP-derandomized,0.9872,0.029557277497449325,inf,,3800,76.0,0.8,0.18719999999999992,30
sample-HCP-randomized,0.8123999999999999,0.05316742903511587,4.863947528783836,0.6030567792290451,0,0.0,0.8,0.012399999999999856,30
sample-HCP-derandomized,0.9653999999999999,0.05689984039287539,inf,,3300,66.0,0.8,0.16539999999999988,30
Std-CP,0.8089999999999999,0.037046578513971244,4.201576763419042,0.16018228350400954,0,0.0,0.8,0.008999999999999897,30
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,30
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,30
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,30
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,30
donor-HCP-randomized,0.8452000000000001,0.031314077163017734,5.108566797807324,0.37096144680617116,0,0.0,0.8,0.04520000000000002,35
donor-HCP-derandomized,0.9958000000000001,0.01738988681001996,inf,,4600,92.0,0.8,0.19580000000000009,35
sample-HCP-randomized,0.8408000000000001,0.04351119959040337,5.108566797807324,0.47653621825736875,0,0.0,0.8,0.04080000000000006,35
sample-HCP-derandomized,0.9912000000000001,0.03497170868235159,inf,,4600,92.0,0.8,0.19120000000000004,35
Std-CP,0.8438,0.03135641066506048,4.327799945252248,0.16168830664170147,0,0.0,0.8,0.04379999999999995,35
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,35
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,35
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,35
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,35
donor-HCP-randomized,0.81,0.031036515689143458,4.746364756767269,0.34369852236556536,0,0.0,0.8,0.010000000000000009,40
donor-HCP-derandomized,1.0,0.0,inf,,5000,100.0,0.8,0.19999999999999996,40
sample-HCP-randomized,0.81,0.031036515689143458,4.746364756767269,0.34369852236556536,0,0.0,0.8,0.010000000000000009,40
sample-HCP-derandomized,1.0,0.0,inf,,5000,100.0,0.8,0.19999999999999996,40
Std-CP,0.8166,0.03962116523644751,3.923783832122218,0.1507822400565698,0,0.0,0.8,0.016599999999999948,40
HCP,0.8833999999999999,0.06754016189933035,7.40960938827557,2.0337504954972676,0,0.0,0.8,0.08339999999999981,40
Pooling,0.8038000000000001,0.08984998835928285,6.169974064592207,1.60203193350771,0,0.0,0.8,0.0038000000000000256,40
Subsampling,0.8811999999999999,0.09202129301062302,7.628908603649555,2.9692429795347026,0,0.0,0.8,0.08119999999999983,40
Repeated,0.8879999999999998,0.07613092911128129,7.896590596459926,2.324565092808805,0,0.0,0.8,0.08799999999999975,40
