summary,spearman_rho,p_value,subsample,test
resid_q25,0.12207138917663005,0.07614317931244477,96,residual_summaries
resid_q75,0.08634185358567995,0.21054683089015785,96,residual_summaries
resid_sd,-0.020218779021007074,0.7697673141237485,96,residual_summaries
resid_mean,0.20220668626523056,0.0031026778980331095,97,residual_summaries
resid_median,0.2695866395715732,7.011484927362293e-05,97,residual_summaries
resid_q25,0.13896347925083002,0.04325974926048112,97,residual_summaries
resid_q75,0.15128375484888398,0.027637547003369727,97,residual_summaries
resid_sd,0.04298474627755784,0.5336428335483112,97,residual_summaries
resid_mean,0.12228393136125718,0.07562951905164762,98,residual_summaries
resid_median,0.24405624825115296,0.0003346384057707847,98,residual_summaries
resid_q25,0.16956663877539468,0.013426178625827442,98,residual_summaries
resid_q75,0.16402216786677223,0.016835066040487203,98,residual_summaries
resid_sd,0.017994713328696295,0.7944943006433592,98,residual_summaries
resid_mean,0.2515468057615411,0.00021508651170082195,99,residual_summaries
resid_median,0.27863816777738243,3.874564320706379e-05,99,residual_summaries
resid_q25,0.20502156861553833,0.0027047863811155495,99,residual_summaries
resid_q75,0.13223459400841825,0.05455142821755549,99,residual_summaries
resid_sd,0.02852107578972652,0.6796784625360633,99,residual_summaries
resid_mean,0.18633022071995003,0.006511662736898986,100,residual_summaries
resid_median,0.2603977179984006,0.0001253551226100756,100,residual_summaries
resid_q25,0.24915393530980257,0.0002480711363631565,100,residual_summaries
resid_q75,0.09424441971805536,0.17157786423913235,100,residual_summaries
resid_sd,0.008973736595398374,0.896653697496996,100,residual_summaries
resid_mean,0.10720613908073172,0.11965947933636054,101,residual_summaries
resid_median,0.15696197179055826,0.022249720978415405,101,residual_summaries
resid_q25,0.12891491264179256,0.06096377217727517,101,residual_summaries
resid_q75,0.15665689915106826,0.022514231975599035,101,residual_summaries
resid_sd,0.030564369221008355,0.6581301564876854,101,residual_summaries
resid_mean,0.15372507754168116,0.025197647533810527,102,residual_summaries
resid_median,0.21025892523733508,0.002085379103241378,102,residual_summaries
resid_q25,0.10824356659103916,0.11610080148277394,102,residual_summaries
resid_q75,0.13222392787642034,0.054571099595204,102,residual_summaries
resid_sd,0.033052979685556615,0.6322629937145327,102,residual_summaries
resid_mean,0.2055645152671305,0.0026335889464765123,103,residual_summaries
resid_median,0.25527373770756284,0.0001717509208961694,103,residual_summaries
resid_q25,0.24167463783800566,0.000384044497172447,103,residual_summaries
resid_q75,0.15224246295158464,0.026656282505184366,103,residual_summaries
resid_sd,0.03525185063765429,0.609772133570579,103,residual_summaries
resid_mean,0.14941173801719965,0.02964299149230516,104,residual_summaries
resid_median,0.2255995147510648,0.0009392823918743485,104,residual_summaries
resid_q25,0.23456027083027348,0.000574832170294934,104,residual_summaries
resid_q75,0.10227401815464773,0.13774985509004714,104,residual_summaries
resid_sd,-0.014483826280001796,0.8339393978242158,104,residual_summaries
resid_mean,0.10396609548932795,0.13132144168430954,105,residual_summaries
resid_median,0.15799253615770376,0.021375921913668355,105,residual_summaries
resid_q25,0.15671826202398037,0.022460810781579122,105,residual_summaries
resid_q75,0.02544858523359047,0.7125705599646324,105,residual_summaries
resid_sd,-0.042225124860133086,0.5409050377080189,105,residual_summaries
resid_mean,0.17769094430088048,0.0095256988004621,106,residual_summaries
resid_median,0.2520261356940952,0.00020899137479790485,106,residual_summaries
resid_q25,0.2495784666823932,0.00024189509836334544,106,residual_summaries
resid_q75,0.11308785118347825,0.10056495054689119,106,residual_summaries
resid_sd,-0.032961018883778816,0.6332111965961302,106,residual_summaries
resid_mean,0.2213326434294947,0.001178942971972915,107,residual_summaries
resid_median,0.23972802860937384,0.00042936516293263794,107,residual_summaries
resid_q25,0.17540830083757425,0.01050483607898556,107,residual_summaries
resid_q75,0.09810831838978384,0.15460011817871977,107,residual_summaries
resid_sd,0.047587825314489914,0.4907079729254104,107,residual_summaries
resid_mean,0.12639130388449665,0.06624270805243294,108,residual_summaries
resid_median,0.21367281253620915,0.0017543514071379465,108,residual_summaries
resid_q25,0.18906076021902535,0.005754718469735537,108,residual_summaries
resid_q75,0.06374458234464109,0.3557011629748504,108,residual_summaries
resid_sd,-0.02776334397781775,0.6877370882966964,108,residual_summaries
resid_mean,0.24688514895361358,0.0002836416502112231,109,residual_summaries
resid_median,0.25683794381365466,0.00015611638563931265,109,residual_summaries
resid_q25,0.2166987008358016,0.0015018268293388614,109,residual_summaries
resid_q75,0.16127793235039925,0.018785419422528312,109,residual_summaries
resid_sd,0.003194693059020183,0.9631185323252525,109,residual_summaries
resid_mean,0.1539178173043113,0.02501315909604103,110,residual_summaries
resid_median,0.21266691253320139,0.0018465221204574027,110,residual_summaries
resid_q25,0.1852714117624948,0.006828319314056923,110,residual_summaries
resid_q75,0.09504337824286109,0.1679582896239231,110,residual_summaries
resid_sd,-0.03584392703266198,0.6037770056212914,110,residual_summaries
resid_mean,0.21174793438392883,0.0019345670827895956,111,residual_summaries
resid_median,0.2997932529925394,8.919175928526506e-06,111,residual_summaries
resid_q25,0.24451818010063578,0.00032576742978872417,111,residual_summaries
resid_q75,0.15160053107321206,0.027309950659733087,111,residual_summaries
resid_sd,-0.0007652902339726976,0.9911620803813656,111,residual_summaries
resid_mean,0.16676272573345144,0.015065853603952921,112,residual_summaries
resid_median,0.275391509544416,4.80459183801985e-05,112,residual_summaries
resid_q25,0.12732354936201962,0.06425065469007891,112,residual_summaries
resid_q75,0.18099251404772912,0.008252457751206355,112,residual_summaries
resid_sd,0.06330556399642794,0.3590306667263651,112,residual_summaries
resid_mean,0.20891793518949317,0.0022302806773346505,113,residual_summaries
resid_median,0.24373556823635004,0.00034092817631731323,113,residual_summaries
resid_q25,0.17176514140276103,0.012252211469089495,113,residual_summaries
resid_q75,0.1361795033353454,0.04766808021783222,113,residual_summaries
resid_sd,0.012762395654942221,0.8534391133554023,113,residual_summaries
resid_mean,0.15180901754847542,0.027096162830368108,114,residual_summaries
resid_median,0.2188012707992902,0.0013464340238101959,114,residual_summaries
resid_q25,0.17830586438857923,0.009276144224006688,114,residual_summaries
resid_q75,0.13757497744828304,0.045413659126095594,114,residual_summaries
resid_sd,0.01110836095995267,0.8722596811268877,114,residual_summaries
resid_mean,0.18165092759387336,0.0080174332460715,115,residual_summaries
resid_median,0.30224312731538794,7.466787999003974e-06,115,residual_summaries
resid_q25,0.2016134136140758,0.0031930165959686402,115,residual_summaries
resid_q75,0.16101622182162909,0.018981282620082817,115,residual_summaries
resid_sd,0.017884486340264013,0.7957253694078696,115,residual_summaries
resid_mean,0.18407844081340485,0.007201498009181198,116,residual_summaries
resid_median,0.24943469880510755,0.00024397039854484977,116,residual_summaries
resid_q25,0.1286034425678374,0.06159597882142889,116,residual_summaries
resid_q75,0.14031769653728376,0.04124223618502028,116,residual_summaries
resid_sd,0.04272020150532036,0.5361663981777518,116,residual_summaries
resid_mean,0.18112561726043036,0.008204458092160022,117,residual_summaries
resid_median,0.19447706243563587,0.004482115984717672,117,residual_summaries
resid_q25,0.16723801417799888,0.01477616081985109,117,residual_summaries
resid_q75,0.1379538434735288,0.04481722550527403,117,residual_summaries
resid_sd,0.019906994110870047,0.7732203679336557,117,residual_summaries
resid_mean,0.15957529621916133,0.02009172277781206,118,residual_summaries
resid_median,0.25204959955165185,0.00020869718475699774,118,residual_summaries
resid_q25,0.1264657080072076,0.06608188558519558,118,residual_summaries
resid_q75,0.11904766698088538,0.08376132627427377,118,residual_summaries
resid_sd,-0.005229168331227436,0.9396671575214571,118,residual_summaries
resid_mean,0.1023511126416687,0.13745182090592115,119,residual_summaries
resid_median,0.20184709490313016,0.0031571531980867456,119,residual_summaries
resid_q25,0.13466655870917693,0.05021703620840116,119,residual_summaries
resid_q75,0.08840267459119514,0.1998202454965442,119,residual_summaries
resid_sd,-0.04227866368308591,0.5403915891172771,119,residual_summaries
resid_mean,0.16416388828047088,0.016739322037323257,120,residual_summaries
resid_median,0.2664417051342463,8.57437523281042e-05,120,residual_summaries
resid_q25,0.17347843835941604,0.011400920415056222,120,residual_summaries
resid_q75,0.10958711104101489,0.1116154119094828,120,residual_summaries
resid_sd,-0.026463295382822157,0.7016452980310471,120,residual_summaries
resid_mean,0.1295186010134468,0.05975363046941641,121,residual_summaries
resid_median,0.2382120846487613,0.00046803985487008776,121,residual_summaries
resid_q25,0.1838385187970592,0.007278707727181159,121,residual_summaries
resid_q75,0.13832708423472778,0.04423607541554869,121,residual_summaries
resid_sd,-0.028788140035985305,0.6768467622986367,121,residual_summaries
resid_mean,0.15623762300943186,0.022882187334781524,122,residual_summaries
resid_median,0.24186517312085995,0.00037985566241383387,122,residual_summaries
resid_q25,0.19839913115052688,0.0037251420644858167,122,residual_summaries
resid_q75,0.1473266047181998,0.03202174206000396,122,residual_summaries
resid_sd,0.037105553648832605,0.5910908745331698,122,residual_summaries
resid_mean,0.17998492539728259,0.008623979509185342,123,residual_summaries
resid_median,0.16607307201059732,0.015495032716853723,123,residual_summaries
resid_q25,0.10703957256401127,0.12023867179591141,123,residual_summaries
resid_q75,0.11870379615256274,0.08466519776323825,123,residual_summaries
resid_sd,0.05466943691988501,0.4284275750066206,123,residual_summaries
resid_mean,0.17822381305638738,0.009309104926630698,124,residual_summaries
resid_median,0.23826326893903468,0.00046668306115640667,124,residual_summaries
resid_q25,0.14683557583041087,0.03260496801225932,124,residual_summaries
resid_q75,0.14221108126429768,0.03855458797638096,124,residual_summaries
resid_sd,-0.005214051487099581,0.9398412429149129,124,residual_summaries
resid_mean,0.16476667244006912,0.016337374025064393,125,residual_summaries
resid_median,0.23024315073545304,0.0007299631664941781,125,residual_summaries
resid_q25,0.13479513680913757,0.049996091078294204,125,residual_summaries
resid_q75,0.14862476411642347,0.03052243465783577,125,residual_summaries
resid_sd,0.028767354375309504,0.6770669920011952,125,residual_summaries
resid_mean,0.1269367700101101,0.06507109584468847,126,residual_summaries
resid_median,0.1910612232218193,0.0052512086327639726,126,residual_summaries
resid_q25,0.18361485759348392,0.007351347817248417,126,residual_summaries
resid_q75,0.0886646998894113,0.19848532422840223,126,residual_summaries
resid_sd,0.018601906567831835,0.7877220544414023,126,residual_summaries
resid_mean,0.13710662689712508,0.046160130959819155,127,residual_summaries
resid_median,0.16886249873351714,0.013822495775366248,127,residual_summaries
resid_q25,0.161148707745469,0.01888191018579487,127,residual_summaries
resid_q75,0.1052302415795199,0.12667140219007655,127,residual_summaries
resid_sd,0.01929917100322918,0.7799648501555472,127,residual_summaries
resid_mean,0.22962864151316087,0.0007549464719924205,128,residual_summaries
resid_median,0.23972984273309517,0.00042932071000658246,128,residual_summaries
resid_q25,0.2416666883869767,0.00038422019027676006,128,residual_summaries
resid_q75,0.19545701536214297,0.004281020672656966,128,residual_summaries
resid_sd,-0.019577572882583858,0.7768735929715673,128,residual_summaries
resid_mean,0.16568313111532038,0.015742394044893967,129,residual_summaries
resid_median,0.27282691321402475,5.683773516689897e-05,129,residual_summaries
resid_q25,0.19243654153624012,0.004928346117199431,129,residual_summaries
resid_q75,0.06407967238947522,0.35317290441249316,129,residual_summaries
resid_sd,0.038528426602367036,0.5769311991924646,129,residual_summaries
resid_mean,0.16598672773488815,0.015549511047002243,130,residual_summaries
resid_median,0.2663468260312172,8.626254721635866e-05,130,residual_summaries
resid_q25,0.17354457457329936,0.011369130807729944,130,residual_summaries
resid_q75,0.15323828568560527,0.025668813722651094,130,residual_summaries
resid_sd,-0.0010934517252482328,0.9873725892666355,130,residual_summaries
resid_mean,0.13837014311881168,0.04416943919004106,131,residual_summaries
resid_median,0.1855079857960848,0.006756399262832156,131,residual_summaries
resid_q25,0.13811630611116477,0.04456348394385785,131,residual_summaries
resid_q75,0.13219778832521886,0.05461933319400704,131,residual_summaries
resid_sd,-0.03658024331538962,0.5963582842402647,131,residual_summaries
