puma,n_individuals_after_filter,income_mean,income_median,income_std,y_mean,y_std,age_mean,hours_mean,entry_recency_mean
7704,22,27013.636363636364,23500.0,10652.354778998977,10.136615358647854,0.3686620589942338,40.86363636363637,41.59090909090909,1.5909090909090908
8101,20,37455.0,33850.0,20855.277635724677,10.387933872377872,0.5536062701760772,40.65,41.45,3.5
8102,23,55113.04347826087,45000.0,36366.12190121993,10.693766362058344,0.6997779052706065,43.26086956521739,44.0,3.0869565217391304
8103,26,67831.53846153847,73000.0,35558.86518912634,10.926287845001763,0.7277903596959949,33.53846153846154,42.11538461538461,2.8076923076923075
8104,28,77382.5,67000.0,46232.079421031805,11.01919690842928,0.7833014452330747,32.67857142857143,43.642857142857146,2.8214285714285716
8105,22,62309.09090909091,45000.0,47607.62152959994,10.725131313528289,0.8440898848919468,30.818181818181817,42.27272727272727,2.6363636363636362
8501,77,77421.81818181818,72000.0,37397.92749419738,11.114666321215429,0.5765241477118469,32.87012987012987,43.97402597402598,2.272727272727273
8502,114,89047.54385964913,94500.0,41312.47028432982,11.235358370147505,0.6488768260593337,31.56140350877193,41.57017543859649,3.06140350877193
8503,99,82643.73737373737,90000.0,44321.02266617075,11.069942598292156,0.8412332199628647,31.424242424242426,41.464646464646464,3.111111111111111
8504,58,86776.37931034483,91000.0,43302.17379164318,11.176930946124598,0.7240045274938989,33.05172413793103,41.60344827586207,3.4655172413793105
8507,20,98900.0,117000.0,43920.99366146588,11.343292092609676,0.671541684295883,36.65,41.75,3.2
8508,25,100818.0,124000.0,47533.29236791129,11.314077623811846,0.7897526711172457,38.0,43.16,3.44
8509,33,70024.24242424243,51000.0,47453.134974829576,10.912338104714767,0.7302740669453351,31.484848484848484,44.72727272727273,2.8181818181818183
8510,28,66453.57142857143,56000.0,43022.134545447196,10.880323648066481,0.712138973726907,33.92857142857143,43.214285714285715,3.2142857142857144
8514,25,51036.8,31300.0,34823.33062761229,10.619151604893434,0.6772681552897115,35.6,41.2,3.64
10703,22,17388.18181818182,16000.0,7246.242137013164,9.689048213413834,0.38713771839096617,34.18181818181818,44.63636363636363,2.727272727272727
