experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
4,30,0.8,0.82,0.82,0.84,4.436042011834168,5.187035364155959,5.941359245868711,5.691426889512948,0,0,0,0
4,40,0.82,0.78,0.74,0.9,4.336553983963151,4.621192511671561,4.837971844200058,5.691426889512948,0,0,0,0
4,50,0.88,0.86,0.84,0.88,4.264112954416804,4.5554369068999705,4.862915042282356,5.691426889512948,0,0,0,0
4,100,0.64,0.68,0.7,0.72,4.223519080389119,4.4647066306427075,4.571085969013153,5.691426889512948,0,0,0,0
4,200,0.78,0.84,0.84,0.84,4.19110488427122,4.2273028502671925,4.236920177826988,5.691426889512948,0,0,0,0
5,0,0.88,0.88,,0.88,4.920673174949395,4.920673174949395,,4.920673174949395,0,0,0,0
5,10,0.8,0.8,0.86,0.8,4.6457323751145205,5.011876107108327,13.134043418962525,4.920673174949395,0,0,0,0
5,20,0.82,0.8,0.84,0.86,4.101098595801945,4.924739283370352,6.99477105573501,4.920673174949395,0,0,0,0
5,30,0.84,0.78,0.9,0.9,4.313288250524726,4.467596091670085,6.244123115149589,4.920673174949395,0,0,0,0
5,40,0.8,0.78,0.78,0.86,4.273947951949949,4.839568808218893,5.186177620190636,4.920673174949395,0,0,0,0
5,50,0.8,0.78,0.88,0.84,4.303983790668199,4.847267402087708,4.919283210200895,4.920673174949395,0,0,0,0
5,100,0.76,0.8,0.74,0.86,4.137291211320415,4.460235216973821,4.3898422383933156,4.920673174949395,0,0,0,0
5,200,0.76,0.76,0.76,0.76,4.046535226320081,4.112558814256308,4.201671123727531,4.920673174949395,0,0,0,0
6,0,0.9,0.9,,0.9,6.2318284016971806,6.2318284016971806,,6.2318284016971806,0,0,0,0
6,10,0.86,0.88,0.88,0.94,4.5864391629205095,4.756283791420577,11.416176927833652,6.2318284016971806,0,0,0,0
6,20,0.78,0.8,0.92,0.96,4.1007323785694405,3.856954966204795,6.84324460912181,6.2318284016971806,0,0,0,0
6,30,0.8,0.82,0.86,0.92,4.733777640118012,5.238029305694935,5.712531380019497,6.2318284016971806,0,0,0,0
6,40,0.9,0.9,0.84,0.96,4.3525178923373,5.058822664065714,5.298407528293145,6.2318284016971806,0,0,0,0
6,50,0.8,0.78,0.78,0.9,4.292667938400202,5.143706633277247,5.215372082507085,6.2318284016971806,0,0,0,0
6,100,0.84,0.78,0.82,0.88,4.18825603411427,4.606811390869243,4.730447596345497,6.2318284016971806,0,0,0,0
6,200,0.7,0.72,0.72,0.9,4.282536836854719,4.2808915105833325,4.302549252769403,6.2318284016971806,0,0,0,0
7,0,0.9,0.9,,0.9,6.101549261523535,6.101549261523535,,6.101549261523535,0,0,0,0
7,10,0.82,0.82,0.88,0.84,5.362817180540093,5.371063898352083,9.546561209004329,6.101549261523535,0,0,0,0
7,20,0.84,0.78,0.82,0.88,4.874013549607389,5.2486352663085984,7.809564684373994,6.101549261523535,0,0,0,0
7,30,0.88,0.94,0.9,0.96,4.587744582600192,4.944862900978641,5.629038165956292,6.101549261523535,0,0,0,0
7,40,0.86,0.86,0.92,0.9,4.454338278146898,4.838134393367914,5.760660657663179,6.101549261523535,0,0,0,0
7,50,0.9,0.88,0.92,0.9,4.468072719190933,5.048102502100227,4.8409102009390885,6.101549261523535,0,0,0,0
7,100,0.7,0.74,0.72,0.82,4.348840070363484,4.255685446509013,4.3368907852593885,6.101549261523535,0,0,0,0
7,200,0.76,0.82,0.82,0.9,4.439840191350447,4.218338990700906,4.055125602242622,6.101549261523535,0,0,0,0
8,0,0.9,0.9,,0.9,5.885083531849374,5.885083531849374,,5.885083531849374,0,0,0,0
8,10,0.88,0.9,0.76,0.9,4.916380302677462,5.457611469650322,10.080987883335277,5.885083531849374,0,0,0,0
8,20,0.84,0.84,0.8,0.9,4.5316899193457765,4.690655026839252,7.796851347896534,5.885083531849374,0,0,0,0
8,30,0.86,0.88,0.88,0.92,4.400240557785372,4.9090291260439844,6.025707591363572,5.885083531849374,0,0,0,0
8,40,0.84,0.82,0.84,0.88,4.470381036443154,5.014921136029979,5.928751601175529,5.885083531849374,0,0,0,0
8,50,0.82,0.84,0.82,0.92,4.472443890230327,4.815525552071295,4.916520013539708,5.885083531849374,0,0,0,0
8,100,0.72,0.68,0.74,0.82,4.1104694242208595,4.273421700331828,4.706126691216047,5.885083531849374,0,0,0,0
8,200,0.82,0.84,0.8,0.9,4.145944087334839,4.217480552118053,4.170706206128635,5.885083531849374,0,0,0,0
9,0,0.92,0.92,,0.92,5.620302766054114,5.620302766054114,,5.620302766054114,0,0,0,0
9,10,0.86,0.9,0.84,0.9,5.044530193998862,5.5659740085266325,11.008206396195522,5.620302766054114,0,0,0,0
9,20,0.9,0.84,0.74,0.94,4.536224219509996,4.896717323483356,6.138772306715865,5.620302766054114,0,0,0,0
9,30,0.82,0.78,0.82,0.9,4.535343936439811,5.358804355131486,6.285936994853909,5.620302766054114,0,0,0,0
9,40,0.86,0.86,0.88,0.88,4.334537917902981,4.697339799356239,5.529060656326293,5.620302766054114,0,0,0,0
9,50,0.68,0.7,0.74,0.8,4.372430180351234,4.728307384087706,4.859094102965929,5.620302766054114,0,0,0,0
9,100,0.88,0.84,0.88,0.92,4.130156300197374,4.554978792929452,4.337095771446785,5.620302766054114,0,0,0,0
9,200,0.86,0.82,0.82,0.92,4.221655975343499,4.419979701408395,4.223311357630429,5.620302766054114,0,0,0,0
10,0,0.94,0.94,,0.94,5.98276951469607,5.98276951469607,,5.98276951469607,0,0,0,0
