Method,Coverage_Mean,Coverage_Std,Width_Median_Finite,Width_Std_Finite,Infinite_Intervals,Infinite_Percentage,Target_Coverage,Coverage_Difference,test_sample_size_o
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,10
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,10
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,10
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,10
donor-HCP-randomized,0.8694,0.04147337478824856,1.722034731882477,0.13845219788155627,0,0.0,0.8,0.0693999999999999,15
donor-HCP-derandomized,0.9617999999999999,0.021917284205365754,2.4695189482056996,0.2743473709023635,0,0.0,0.8,0.16179999999999983,15
sample-HCP-randomized,0.8016,0.048712400466243436,1.475528077973312,0.11830328226419602,0,0.0,0.8,0.0015999999999999348,15
sample-HCP-derandomized,0.903,0.038185904013210446,1.9080485434459111,0.14403692937928086,0,0.0,0.8,0.10299999999999998,15
Std-CP,0.885,0.031249489791753387,3.0147103114805973,0.2230019786813011,0,0.0,0.8,0.08499999999999996,15
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,15
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,15
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,15
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,15
donor-HCP-randomized,0.8612000000000001,0.04307752858959942,1.690599095114759,0.14257816659711173,0,0.0,0.8,0.06120000000000003,20
donor-HCP-derandomized,0.9526,0.02354414004826348,2.367319905899416,0.27111236222066076,0,0.0,0.8,0.15259999999999996,20
sample-HCP-randomized,0.791,0.0519124066017332,1.4512451393958652,0.11771390537556571,0,0.0,0.8,-0.009000000000000008,20
sample-HCP-derandomized,0.9017999999999999,0.03723559850356064,1.918007662431534,0.13728647499411045,0,0.0,0.8,0.10179999999999989,20
Std-CP,0.8102000000000001,0.04316508415138232,1.917632520011237,0.09826589852982033,0,0.0,0.8,0.010200000000000098,20
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,20
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,20
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,20
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,20
donor-HCP-randomized,0.8566000000000001,0.04387412421359775,1.675804603149507,0.1405396099672868,0,0.0,0.8,0.056600000000000095,25
donor-HCP-derandomized,0.9449999999999998,0.0251728716952944,2.280239018890977,0.26047674012926425,0,0.0,0.8,0.1449999999999998,25
sample-HCP-randomized,0.7984,0.05504580652807742,1.4575788637350358,0.11795806443623078,0,0.0,0.8,-0.0016000000000000458,25
sample-HCP-derandomized,0.9007999999999999,0.03740784595209286,1.8976662806552473,0.1381200592586475,0,0.0,0.8,0.10079999999999989,25
Std-CP,0.853,0.03850523420555301,2.009157065165218,0.11075782917603241,0,0.0,0.8,0.052999999999999936,25
HCP,0.8845999999999999,0.03813028150101883,1.7937603339481047,0.14102195528723038,0,0.0,0.8,0.0845999999999999,25
Pooling,0.8026000000000001,0.05706458925584917,1.4416306817082083,0.12972581821610252,0,0.0,0.8,0.0026000000000000467,25
Subsampling,0.8382000000000001,0.10991072444005988,1.5997162035908865,0.47513085519851367,0,0.0,0.8,0.03820000000000001,25
Repeated,0.8466000000000001,0.04653767400763403,1.6203339012683058,0.1376904442803228,0,0.0,0.8,0.046600000000000086,25
donor-HCP-randomized,0.8515999999999999,0.046701833202667714,1.6340658769381329,0.1365134331921231,0,0.0,0.8,0.05159999999999987,30
