dataset,method,o,alpha,nominal_coverage,width_mean,width_se,width_std,width_median,width_q25,width_q75,width_min,width_max,width_n_total,width_n_finite,width_n_infinite,width_finite_rate,width_infinite_rate
fixedN21,D-HCP,10,0.15,0.85,11.993865120148058,0.13360914824601583,4.22509224692501,11.01522686449847,9.327659817733245,13.56513940613181,4.945500189493462,56.05746287401803,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.125,0.875,12.871990478405069,0.14245394191835675,4.504789181313434,11.897619174589689,10.072693698390557,14.51122985590421,5.500181542262368,59.63665022198708,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.1,0.9,14.220877376052025,0.14257130737955398,4.508500603073627,13.188846220608138,11.155050663037384,16.287516641484324,6.702962890467379,46.23479638420312,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.075,0.925,15.909359782762747,0.1563331705868038,4.9436889288994195,14.710864520769974,12.73968374388458,17.92853255337303,7.3909786187970035,61.60253015061994,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,10,0.05,0.95,,,,,,,,,1000.0,0.0,1000.0,0.0,1.0
fixedN21,D-HCP,15,0.25,0.75,7.47086160452432,0.07781955472939156,2.4608703944500547,6.92158692165624,6.005287839973341,8.347307361058519,3.470458354594662,33.51868503715983,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.225,0.775,7.912680811453545,0.08120585969715421,2.5679547599507853,7.333842763562007,6.356861719015097,8.854774041237741,3.730239326100961,34.61767276709143,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.2,0.8,8.400088333006712,0.08552915496067054,2.7046693602520797,7.779977530150643,6.758635872835862,9.41538304883917,3.775580922569059,35.47697785707673,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.175,0.825,8.92523797035772,0.0892920611050054,2.8236629006274843,8.294528000889922,7.177258510623736,10.013077798931779,4.175984833291004,35.990834355113876,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.15,0.85,9.371480811734198,0.092487233776112,2.9247031322096935,8.70097112029864,7.489561818361873,10.530529049333378,4.531127167806517,36.86436919908952,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.125,0.875,10.121013992343418,0.10373937465611795,3.2805270695487954,9.38647134352356,8.129659765456134,11.37796343413901,4.860195635164111,44.49531438784142,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.1,0.9,11.029369387566783,0.10681921809022332,3.3779202704336724,10.250327703008429,8.822424387286533,12.470868874923323,5.465296697087197,35.91618915768865,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.075,0.925,12.171055116015152,0.11904382604313496,3.7644963167717638,11.317575290910924,9.808958892179781,13.580658905670175,6.158979375221847,48.7449059055801,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,15,0.05,0.95,14.18344459728539,0.12104714802941972,3.8278469204052885,13.573343803755549,11.50932629202925,15.927358963279628,7.816188418214397,40.33323671421387,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.25,0.75,5.881071217252686,0.056009424908194175,1.771173531460608,5.4816879026464935,4.793777431129488,6.426784442153087,3.1720806412088276,25.67969886301979,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.225,0.775,6.18669567285945,0.05771802013192185,1.8252040565232523,5.769836700787362,5.071942069509739,6.801304997510114,3.412753575410786,25.854504992214352,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.2,0.8,6.518414220849267,0.05986395372776746,1.893064435226726,6.056434544784914,5.341022371984348,7.177193711549701,3.4610463248160492,26.222882492886896,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.175,0.825,6.882335309576974,0.06261180905453961,1.9799592503589887,6.418905043615954,5.664311729129377,7.576837955425301,3.640192551592584,27.273831825945187,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.15,0.85,7.28500794097282,0.06490108318758497,2.0523524548482954,6.839671931043576,6.010633027785733,8.052144061916445,3.712557847026495,27.80573528096151,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.125,0.875,7.74197053850432,0.06805144019697708,2.1519754907718505,7.302709427320149,6.367505836091098,8.48490651406459,4.2359394469635205,28.736768427153585,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.1,0.9,8.314284013109424,0.07063124459060285,2.2335560687875207,7.828963867494695,6.783478583122925,9.137417363311839,4.111921077319206,21.65077899522184,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.075,0.925,8.965109221743472,0.080476373796744,2.5448863902880348,8.437274760040431,7.356447267395197,9.908406233216528,5.233706837676197,36.842112230795905,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,20,0.05,0.95,9.843602967086847,0.08148491329697341,2.5767792095977633,9.356290279571743,8.135063477501221,10.95735567318964,5.057696985061305,28.554077402399805,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,25,0.25,0.75,5.276665799771385,0.06472563182413238,2.0468041955773733,4.916231020720766,3.765362923298219,6.451261584291291,1.471691182959371,15.795051789961152,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,25,0.225,0.775,5.276665799771385,0.06472563182413238,2.0468041955773733,4.916231020720766,3.765362923298219,6.451261584291291,1.471691182959371,15.795051789961152,1000.0,1000.0,0.0,1.0,0.0
fixedN21,D-HCP,25,0.2,0.8,6.089229318919299,0.06948038120634024,2.1971625730879265,5.795596902318759,4.4447096690159,7.372418807354767,1.852417307856073,16.446695269975308,1000.0,1000.0,0.0,1.0,0.0
