dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,D-HCP no within,25,0.125,0.875,0.883,0.010164201887015036,0.3215811163834319,1000.0
fixedN21,D-HCP no within,25,0.1,0.9,0.929,0.008121514637061239,0.25695335184625445,1000.0
fixedN21,D-HCP no within,25,0.075,0.925,0.954,0.006624499981130654,0.20958990416508122,1000.0
fixedN21,D-HCP no within,25,0.05,0.95,0.966,0.005730968504537434,0.18131981931624816,1000.0
fixedN21,D-HCP no within,30,0.25,0.75,0.775,0.013205112646244256,0.41779127509983927,1000.0
fixedN21,D-HCP no within,30,0.225,0.775,0.807,0.012480024038438387,0.394850486775573,1000.0
fixedN21,D-HCP no within,30,0.2,0.8,0.807,0.012480024038438387,0.394850486775573,1000.0
fixedN21,D-HCP no within,30,0.175,0.825,0.837,0.011680368144883107,0.36955049393495276,1000.0
fixedN21,D-HCP no within,30,0.15,0.85,0.867,0.010738295954200556,0.33974464885620553,1000.0
fixedN21,D-HCP no within,30,0.125,0.875,0.903,0.009359006357514668,0.296105857217784,1000.0
fixedN21,D-HCP no within,30,0.1,0.9,0.915,0.008819013550278736,0.2790212408632233,1000.0
fixedN21,D-HCP no within,30,0.075,0.925,0.928,0.00817410545564467,0.2586172517116422,1000.0
fixedN21,D-HCP no within,30,0.05,0.95,0.97,0.0053944415837044735,0.17067257872642908,1000.0
fixedN21,D-HCP no within,35,0.25,0.75,0.743,0.013818502089589886,0.4371980582552285,1000.0
fixedN21,D-HCP no within,35,0.225,0.775,0.771,0.013287550564344055,0.4203994954037596,1000.0
fixedN21,D-HCP no within,35,0.2,0.8,0.808,0.01245536029185828,0.3940701603665156,1000.0
fixedN21,D-HCP no within,35,0.175,0.825,0.832,0.011822690049223148,0.3740533597174551,1000.0
fixedN21,D-HCP no within,35,0.15,0.85,0.852,0.011229247525992114,0.3552776691859794,1000.0
fixedN21,D-HCP no within,35,0.125,0.875,0.889,0.00993373041711924,0.31428932176861785,1000.0
fixedN21,D-HCP no within,35,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,D-HCP no within,35,0.075,0.925,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,D-HCP no within,35,0.05,0.95,0.973,0.005125524363418832,0.162164414398774,1000.0
fixedN21,HCP,0,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,0,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,0,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,0,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,0,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,0,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,0,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,5,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,5,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,5,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,5,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
fixedN21,HCP,5,0.15,0.85,0.92,0.008579044235810886,0.27142894774447635,1000.0
fixedN21,HCP,5,0.125,0.875,0.936,0.007739767438366605,0.24487540497968344,1000.0
fixedN21,HCP,5,0.1,0.9,0.95,0.006892024376045114,0.21805400144814485,1000.0
fixedN21,HCP,5,0.075,0.925,1.0,0.0,0.0,1000.0
fixedN21,HCP,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,HCP,10,0.25,0.75,0.819,0.012175343937647102,0.3852108349818153,1000.0
fixedN21,HCP,10,0.225,0.775,0.842,0.011534123287012326,0.36492351139542817,1000.0
fixedN21,HCP,10,0.2,0.8,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,HCP,10,0.175,0.825,0.899,0.009528850927577784,0.3014795016081357,1000.0
