experiment,o_observed,coverage_donor_hcp_randomized,coverage_donor_hcp_derandomized,coverage_sample_hcp_randomized,coverage_sample_hcp_derandomized,coverage_stdcp,coverage_hcp,coverage_pool,coverage_sub,coverage_rep,width_donor_hcp_randomized,width_donor_hcp_derandomized,width_sample_hcp_randomized,width_sample_hcp_derandomized,width_stdcp,width_hcp,width_pool,width_sub,width_rep,infinite_donor_hcp_randomized,infinite_donor_hcp_derandomized,infinite_sample_hcp_randomized,infinite_sample_hcp_derandomized,infinite_stdcp,infinite_hcp,infinite_pool,infinite_sub,infinite_rep,test_sample_size_o
19,5,0.88,0.98,0.89,0.95,0.76,0.89,0.84,0.97,0.88,8.33099271136513,10.260027157671857,7.643550228045117,9.313742974983931,5.2864933547254145,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,0,0,0,0,0,0,0,0,5
19,10,0.88,0.97,0.87,0.94,0.88,0.89,0.84,0.97,0.88,7.981353896768448,9.503280013540213,7.599616490613579,9.04222026298412,14.29591977472699,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,0,0,0,0,0,0,0,0,10
19,15,0.87,0.93,0.85,0.93,0.9,0.89,0.84,0.97,0.88,7.7131712889263895,8.739455810829401,7.445584768294034,8.620402101686036,7.357703919503208,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,0,0,0,0,0,0,0,0,15
19,20,0.94,0.99,0.9,0.99,0.84,0.89,0.84,0.97,0.88,7.020369543225218,8.11235525974491,6.264993173184983,7.983210448268693,4.94543446521546,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,0,0,0,0,0,0,0,0,20
19,25,0.79,0.88,0.71,0.87,0.82,0.89,0.84,0.97,0.88,4.805841113494896,5.715511833213661,4.060898701293176,5.27914344677176,4.987808896821376,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,0,0,0,0,0,0,0,0,25
19,30,0.82,1.0,0.82,1.0,0.81,0.89,0.84,0.97,0.88,5.0188902086596805,inf,5.0188902086596805,inf,4.218559034293566,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,100,0,100,0,0,0,0,0,30
19,35,0.84,1.0,0.84,1.0,0.82,0.89,0.84,0.97,0.88,5.3828382511185655,inf,5.3828382511185655,inf,4.28801286481025,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,100,0,100,0,0,0,0,0,35
19,40,0.79,1.0,0.79,1.0,0.8,0.89,0.84,0.97,0.88,5.146653941360916,inf,5.146653941360916,inf,3.775266725991668,8.609649434861076,7.522231214075241,9.996768196075141,8.011511063576513,0,100,0,100,0,0,0,0,0,40
20,0,0.9,1.0,0.85,0.96,1.0,0.9,0.85,0.91,0.91,7.298707827602186,11.503139913623961,6.668793131427243,9.427383732482266,inf,7.298707827602186,5.976446149801852,7.618163035263535,7.707963069017257,0,0,0,0,100,0,0,0,0,0
20,5,0.9,0.95,0.84,0.92,0.75,0.9,0.85,0.91,0.91,7.14422775714981,8.8527116281657,6.224957919914359,7.503345901466268,5.403038214783679,7.298707827602186,5.976446149801852,7.618163035263535,7.707963069017257,0,0,0,0,0,0,0,0,0,5
