experiment,o_observed,coverage_donor_none,coverage_donor_ols,coverage_stdcp,coverage_hcp,width_donor_none,width_donor_ols,width_stdcp,width_hcp,infinite_donor_none,infinite_donor_ols,infinite_stdcp,infinite_hcp
14,0,0.78,0.78,,0.78,5.608707720762588,5.608707720762588,,5.608707720762588,0,0,0,0
14,20,0.78,0.8,0.8,0.82,4.931631855082319,5.7177093420882175,6.321231091487972,5.608707720762588,0,0,0,0
14,50,0.72,0.72,0.76,0.84,3.9264474390387782,4.363724280330859,4.908349312705775,5.608707720762588,0,0,0,0
14,100,0.72,0.66,0.68,0.84,4.171176102583921,4.487915098313042,4.405000385484262,5.608707720762588,0,0,0,0
14,200,0.84,0.84,0.84,0.92,4.159373927548221,4.315687511104907,4.275711596227217,5.608707720762588,0,0,0,0
14,300,0.88,0.82,0.86,0.94,4.122476208249625,4.142963515579979,4.210821079329534,5.608707720762588,0,0,0,0
14,500,0.78,0.76,0.78,0.86,4.004332112500848,4.121653226774953,3.974509458497008,5.608707720762588,0,0,0,0
15,0,0.94,0.94,,0.94,5.346582311543518,5.346582311543518,,5.346582311543518,0,0,0,0
15,20,0.86,0.9,0.82,0.9,4.90455974485824,5.60161867368378,6.883850857700331,5.346582311543518,0,0,0,0
15,50,0.76,0.84,0.86,0.84,4.182724565452263,4.68331177273274,4.967945437997761,5.346582311543518,0,0,0,0
15,100,0.84,0.88,0.88,0.88,4.29774924809108,4.694564038401485,4.506768851445004,5.346582311543518,0,0,0,0
15,200,0.78,0.76,0.84,0.9,4.145618091210262,4.319883503771263,4.188233807915392,5.346582311543518,0,0,0,0
15,300,0.84,0.8,0.82,0.94,4.088842550997304,4.194328710566689,4.10348353242509,5.346582311543518,0,0,0,0
15,500,0.82,0.82,0.84,0.92,4.100294015161229,4.067302798430681,4.077065186539729,5.346582311543518,0,0,0,0
16,0,0.98,0.98,,0.98,5.870000967454466,5.870000967454466,,5.870000967454466,0,0,0,0
16,20,0.88,0.94,0.78,0.94,5.271138914619634,5.847778839144043,6.444867476504392,5.870000967454466,0,0,0,0
16,50,0.76,0.74,0.78,0.88,4.565424899392874,4.825820629854107,5.090877825232949,5.870000967454466,0,0,0,0
16,100,0.9,0.86,0.84,0.92,4.2076898022819975,4.568764925865178,4.168489939818511,5.870000967454466,0,0,0,0
16,200,0.76,0.76,0.76,0.82,4.23203759716225,4.185542108184637,4.164371626953052,5.870000967454466,0,0,0,0
16,300,0.74,0.76,0.76,0.84,4.081114406778988,4.13473470619067,4.12776992119208,5.870000967454466,0,0,0,0
16,500,0.76,0.78,0.76,0.86,4.24380003939905,4.37229217515953,4.241410573570488,5.870000967454466,0,0,0,0
17,0,0.84,0.84,,0.84,5.228738307232071,5.228738307232071,,5.228738307232071,0,0,0,0
17,20,0.64,0.66,0.68,0.68,4.6504107643617285,5.20974802475911,6.463306672725309,5.228738307232071,0,0,0,0
17,50,0.84,0.8,0.9,0.88,4.214221042944368,4.7009416021211,5.2116674186936205,5.228738307232071,0,0,0,0
17,100,0.82,0.76,0.76,0.9,4.368541959698054,4.773701985307648,4.762677244344378,5.228738307232071,0,0,0,0
17,200,0.82,0.78,0.84,0.84,4.219213168230813,4.383045174465364,4.38720360885552,5.228738307232071,0,0,0,0
17,300,0.84,0.84,0.84,0.92,4.138209440506267,4.294223531177595,4.265192500697792,5.228738307232071,0,0,0,0
17,500,0.82,0.72,0.78,0.92,4.030710121457483,4.140773917263598,4.12916820468763,5.228738307232071,0,0,0,0
18,0,0.8,0.8,,0.8,5.254819934143685,5.254819934143685,,5.254819934143685,0,0,0,0
18,20,0.84,0.88,0.84,0.9,4.415224359221991,5.093455616301929,6.665656141827396,5.254819934143685,0,0,0,0
18,50,0.88,0.86,0.82,0.88,4.273040234149452,4.63340543855519,4.94727912389005,5.254819934143685,0,0,0,0
18,100,0.82,0.78,0.92,0.92,4.192750685572481,4.412269676853452,4.529598907932863,5.254819934143685,0,0,0,0
18,200,0.8,0.76,0.78,0.88,4.146304761243842,4.2782456835496045,4.247622247511146,5.254819934143685,0,0,0,0
18,300,0.86,0.78,0.8,0.9,4.254255557622079,4.2674358239781585,4.245173699097769,5.254819934143685,0,0,0,0
18,500,0.92,0.92,0.92,0.96,4.223008114122897,4.1613618526841325,4.213158925566653,5.254819934143685,0,0,0,0
19,0,0.9,0.9,,0.9,5.762233889051913,5.762233889051913,,5.762233889051913,0,0,0,0
19,20,0.88,0.94,0.84,0.92,5.015516345399481,5.929578466196883,7.176295503774362,5.762233889051913,0,0,0,0
19,50,0.96,0.86,0.92,0.96,4.40635518184912,4.767079850225548,5.152244074892205,5.762233889051913,0,0,0,0
19,100,0.74,0.78,0.76,0.92,4.035482873450493,4.356725394973618,4.19539128333924,5.762233889051913,0,0,0,0
19,200,0.9,0.92,0.9,0.94,4.178272064357503,4.428988607438607,4.332133452796057,5.762233889051913,0,0,0,0
19,300,0.72,0.72,0.7,0.88,4.109119972021449,4.2453876141852085,4.148482366097816,5.762233889051913,0,0,0,0
19,500,0.78,0.82,0.82,0.9,4.042678273935396,4.032187941230646,4.04864929076083,5.762233889051913,0,0,0,0
20,0,0.98,0.98,,0.98,5.91873845170692,5.91873845170692,,5.91873845170692,0,0,0,0
20,20,0.94,0.94,0.8,0.96,5.025145812094553,5.5015856221543515,6.0505333127277865,5.91873845170692,0,0,0,0
20,50,0.76,0.7,0.78,0.84,4.244009234144288,4.561772691823267,4.737215321834798,5.91873845170692,0,0,0,0
20,100,0.78,0.8,0.82,0.9,4.155543772237901,4.338327012890781,4.200936312784153,5.91873845170692,0,0,0,0
20,200,0.8,0.84,0.8,0.92,4.092748879651332,4.126890540711209,4.250937701626811,5.91873845170692,0,0,0,0
20,300,0.88,0.86,0.88,0.98,4.227428861280984,4.227000786079531,4.224441205818651,5.91873845170692,0,0,0,0
20,500,0.78,0.76,0.76,0.86,4.149690069566821,4.131693368893949,4.121911456544899,5.91873845170692,0,0,0,0
