test_state,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_cal_total_obs,n_test_total
DE,0,3,HCP,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,3
DE,0,3,Pooling,1,1.9912474819854324,0,10.525039305393294,12.516286787378727,11.225256725762893,11.52066304638601,25,788,3
DE,0,3,Subsampling,1,2.7909171180250922,0,10.125204487373464,12.916121605398557,11.225256725762893,11.52066304638601,25,788,3
DE,0,3,Repeated,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,3
DE,25,3,HCP++,1,3.952044564201625,0,8.582271595616685,12.53431615981831,11.225256725762893,10.558293877717498,25,788,3
DE,25,3,HCP.sample,1,2.3990374260232485,0,9.352217144594794,11.751254570618043,11.225256725762893,10.558293877717498,25,788,3
DE,25,3,HCP,1,2.2537646510347678,0,10.393780720868627,12.647545371903394,11.225256725762893,11.52066304638601,25,788,3
DE,25,3,Pooling,1,1.9912474819854324,0,10.525039305393294,12.516286787378727,11.225256725762893,11.52066304638601,25,788,3
DE,25,3,Subsampling,1,2.076329157980826,0,10.482498467395597,12.558827625376423,11.225256725762893,11.52066304638601,25,788,3
DE,25,3,Repeated,1,2.249439739269146,0,10.395943176751437,12.645382916020584,11.225256725762893,11.52066304638601,25,788,3
DE,50,1,HCP++,1,2.267047971351822,0,10.460319669638862,12.727367640990684,10.62135173563291,11.593843655314773,25,788,3
DE,50,1,HCP.sample,1,2.243684923298453,0,10.475263039284329,12.718947962582781,10.62135173563291,11.593843655314773,25,788,3
DE,50,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,3
DE,50,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,3
DE,50,1,Subsampling,1,2.249439739269146,0,10.472385631298982,12.721825370568128,10.62135173563291,11.597105500933555,25,788,3
DE,50,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,3
DE,75,1,HCP++,1,2.2507811126994923,0,10.468081527107627,12.718862639807119,10.62135173563291,11.593472083457373,25,788,3
DE,75,1,HCP.sample,0,1.6815072883538065,0,10.756351856756652,12.437859145110458,10.62135173563291,11.593472083457373,25,788,3
DE,75,1,HCP,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,3
DE,75,1,Pooling,1,1.9912474819854324,0,10.601481759940839,12.592729241926271,10.62135173563291,11.597105500933555,25,788,3
DE,75,1,Subsampling,1,2.290091006530517,0,10.452059997668297,12.742151004198814,10.62135173563291,11.597105500933555,25,788,3
DE,75,1,Repeated,1,2.2537646510347678,0,10.470223175416171,12.723987826450939,10.62135173563291,11.597105500933555,25,788,3
FL,0,59,HCP++,1,,1,-inf,inf,12.429220196836383,11.612057655054551,25,788,118
FL,0,59,HCP.sample,1,1.370371381675099,0,11.122360557667127,12.492731939342226,12.429220196836383,11.612057655054551,25,788,118
FL,0,59,HCP,1,2.2537646510347678,0,11.00235180357282,13.256116454607588,12.429220196836383,12.129234129090204,25,788,118
FL,0,59,Pooling,1,1.9912474819854324,0,11.133610388097487,13.12485787008292,12.429220196836383,12.129234129090204,25,788,118
FL,0,59,Subsampling,1,1.7941698699388802,0,11.232149194120764,13.026319064059644,12.429220196836383,12.129234129090204,25,788,118
FL,0,59,Repeated,1,2.290091006530517,0,10.984188625824945,13.274279632355462,12.429220196836383,12.129234129090204,25,788,118
FL,25,96,HCP++,1,,1,-inf,inf,11.461642696843066,11.331762671673657,25,788,118
