experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
12,0,0.91,0.91,,0.91,1.7770073384729717,1.7770073384729717,,1.7770073384729717,0,0,0,0
12,10,0.85,0.86,0.84,0.87,1.7001122891714648,1.654750625615581,5.8136140019293805,1.7770073384729717,0,0,0,0
12,20,0.8,0.86,0.91,0.91,1.6488457946629669,1.5110038211672019,1.916966914108956,1.7770073384729717,0,0,0,0
12,30,0.83,0.82,0.82,0.91,2.3148021078184198,1.4326067497575456,1.6858707770743075,1.7770073384729717,0,0,0,0
12,40,0.85,0.84,0.88,0.9,2.2823992838450047,1.4658055674413795,1.660576362633935,1.7770073384729717,0,0,0,0
12,50,0.77,0.85,0.82,0.89,2.281106039260515,1.4126987454519686,1.5092448788393544,1.7770073384729717,0,0,0,0
13,0,0.8,0.8,,0.8,1.842002834191919,1.842002834191919,,1.842002834191919,0,0,0,0
13,10,0.87,0.87,0.84,0.88,1.7945893549159013,1.7534646512138274,5.233739860023771,1.842002834191919,0,0,0,0
13,20,0.74,0.78,0.73,0.83,1.7847733271874282,1.6077381377449962,1.8548693495191033,1.842002834191919,0,0,0,0
13,30,0.84,0.83,0.75,0.8,2.4337320711195325,1.4801591183869705,1.719530721594883,1.842002834191919,0,0,0,0
13,40,0.91,0.8,0.81,0.84,2.2638066378844317,1.4588324734807645,1.592706270053071,1.842002834191919,0,0,0,0
13,50,0.85,0.73,0.76,0.83,2.247736915307442,1.3662200334588803,1.463972243442017,1.842002834191919,0,0,0,0
14,0,0.82,0.82,,0.82,1.7952996708619846,1.7952996708619846,,1.7952996708619846,0,0,0,0
14,10,0.85,0.85,0.84,0.87,1.8210345961218786,1.6369017844761915,4.670415160376606,1.7952996708619846,0,0,0,0
14,20,0.86,0.81,0.79,0.88,1.9202484461659184,1.4974834668081758,1.9991195627444358,1.7952996708619846,0,0,0,0
14,30,0.82,0.81,0.74,0.91,2.3781777417801,1.5024841208908701,1.6185098428508211,1.7952996708619846,0,0,0,0
14,40,0.75,0.78,0.73,0.85,2.264984727805913,1.4915667654407574,1.5993453219419038,1.7952996708619846,0,0,0,0
14,50,0.86,0.8,0.71,0.91,2.2057882813966723,1.429717251351199,1.5066654005420508,1.7952996708619846,0,0,0,0
15,0,0.93,0.93,,0.93,1.8444185225780698,1.8444185225780698,,1.8444185225780698,0,0,0,0
15,10,0.89,0.87,0.86,0.88,1.8697720825161768,1.6610151831650048,4.810165501911219,1.8444185225780698,0,0,0,0
15,20,0.79,0.84,0.81,0.9,1.732475845725948,1.5200333286829626,2.043086262011877,1.8444185225780698,0,0,0,0
15,30,0.9,0.82,0.83,0.94,2.197862640855507,1.420000687611521,1.6797825762507128,1.8444185225780698,0,0,0,0
15,40,0.78,0.77,0.82,0.87,2.247464208909631,1.4442003136048656,1.6424794518024934,1.8444185225780698,0,0,0,0
15,50,0.77,0.77,0.81,0.85,2.2295447426452255,1.3887709527406944,1.5624712669028349,1.8444185225780698,0,0,0,0
16,0,0.91,0.91,,0.91,1.883390043065709,1.883390043065709,,1.883390043065709,0,0,0,0
16,10,0.9,0.88,0.85,0.89,1.7836316109144152,1.6709002894052967,5.720554752404009,1.883390043065709,0,0,0,0
16,20,0.78,0.83,0.78,0.88,1.4674278338222906,1.5227860350607845,1.9866717268027219,1.883390043065709,0,0,0,0
16,30,0.84,0.76,0.8,0.88,2.289385008499491,1.4718977338536052,1.676373341107255,1.883390043065709,0,0,0,0
16,40,0.87,0.77,0.8,0.85,2.303945798471652,1.509609051286711,1.5966958783394245,1.883390043065709,0,0,0,0
