dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,D-HCP no within,20,0.125,0.875,0.908,0.009139803061335619,0.28917057184232914,1000.0
poissonNmean21,D-HCP no within,20,0.1,0.9,0.929,0.008121514637061239,0.2569533518462544,1000.0
poissonNmean21,D-HCP no within,20,0.075,0.925,0.947,0.007084560677981384,0.22414558046332572,1000.0
poissonNmean21,D-HCP no within,20,0.05,0.95,0.969,0.005480784615363026,0.1734043513556366,1000.0
poissonNmean21,D-HCP no within,25,0.25,0.75,0.799,0.01267276607532862,0.4009485749566393,1000.0
poissonNmean21,D-HCP no within,25,0.225,0.775,0.815,0.012279047194306243,0.3884918608232687,1000.0
poissonNmean21,D-HCP no within,25,0.2,0.8,0.839,0.011622349160131098,0.3677148544921924,1000.0
poissonNmean21,D-HCP no within,25,0.175,0.825,0.867,0.010738295954200556,0.33974464885620553,1000.0
poissonNmean21,D-HCP no within,25,0.15,0.85,0.885,0.010088359628799917,0.31918157352340515,1000.0
poissonNmean21,D-HCP no within,25,0.125,0.875,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean21,D-HCP no within,25,0.1,0.9,0.934,0.007851369307324675,0.2484063318550993,1000.0
poissonNmean21,D-HCP no within,25,0.075,0.925,0.955,0.00655553201502365,0.2074078542823729,1000.0
poissonNmean21,D-HCP no within,25,0.05,0.95,0.974,0.005032295698784007,0.15921478998305827,1000.0
poissonNmean21,D-HCP no within,30,0.25,0.75,0.8,0.012649110640673518,0.40020015012510957,1000.0
poissonNmean21,D-HCP no within,30,0.225,0.775,0.831,0.011850696182081458,0.3749394345485409,1000.0
poissonNmean21,D-HCP no within,30,0.2,0.8,0.837,0.011680368144883107,0.36955049393495276,1000.0
poissonNmean21,D-HCP no within,30,0.175,0.825,0.866,0.010772372069326236,0.3408227694273963,1000.0
poissonNmean21,D-HCP no within,30,0.15,0.85,0.887,0.010011543337567888,0.31675121362250747,1000.0
poissonNmean21,D-HCP no within,30,0.125,0.875,0.915,0.008819013550278736,0.27902124086322333,1000.0
poissonNmean21,D-HCP no within,30,0.1,0.9,0.924,0.008379976133617564,0.2651307117146075,1000.0
poissonNmean21,D-HCP no within,30,0.075,0.925,0.953,0.00669260786241059,0.21174474216810163,1000.0
poissonNmean21,D-HCP no within,30,0.05,0.95,0.978,0.004638534251247911,0.14675672910479282,1000.0
poissonNmean21,HCP,0,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,0,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,0,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
poissonNmean21,HCP,0,0.175,0.825,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean21,HCP,0,0.15,0.85,0.917,0.008724161850859943,0.27602026589942125,1000.0
poissonNmean21,HCP,0,0.125,0.875,0.942,0.007391616873188169,0.2338604085575211,1000.0
poissonNmean21,HCP,0,0.1,0.9,0.976,0.004839834707921338,0.1531255937047999,1000.0
poissonNmean21,HCP,0,0.075,0.925,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,HCP,5,0.25,0.75,0.818,0.01220147532063234,0.38603759535183224,1000.0
poissonNmean21,HCP,5,0.225,0.775,0.838,0.011651437679531227,0.36863517451796685,1000.0
poissonNmean21,HCP,5,0.2,0.8,0.865,0.010806248192596726,0.34189456253630574,1000.0
