model_group,model_name,model_size,family,dataset,avg_tokens_saved_with_context,avg_tokens_saved_without_context,avg_percentage_saved_with_context,avg_percentage_saved_without_context,early_stopping_rate_with_context,early_stopping_rate_without_context,accuracy_dropped_with_context,abstention_increased_without_context
Distilled Models,microsoft/Phi-4-mini-flash-reasoning,4B,Phi,imedqa,104.68,484.97,2.196359302269768,9.583003420501006,5.0,20.0,1.0,17.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,gsm8k,112.03,345.77,1.5779761875755713,8.533982745351546,3.0,16.0,2.0,4.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,mmlu,18.059701492537314,2491.731343283582,0.6664096491711186,46.517762271222644,1.4925373134328357,77.61194029850746,1.4925373134328357,49.25373134328358
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,gpqa,0.0,104.25,0.0,2.907949790794979,0.0,5.0,0.0,5.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,icraft,38.26086956521739,4.202898550724638,1.6562655954949261,0.18353268780456933,8.695652173913043,1.4492753623188406,2.898550724637681,1.4492753623188406
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7B,DeepSeek,imedqa,68.8,13.9,2.2309063472304613,0.623589951186826,7.000000000000001,3.0,2.0,2.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,gsm8k,174.87,566.55,2.735549683017398,13.310321574032203,5.0,27.0,4.0,7.000000000000001
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,mmlu,307.55223880597015,2425.492537313433,5.59575777873051,40.50955572250112,11.940298507462686,65.67164179104478,10.44776119402985,49.25373134328358
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,gpqa,29.15,269.85,0.4002471508993547,7.4445672830407945,5.0,15.0,0.0,15.0
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,icraft,15.927536231884059,1.289855072463768,0.5901273150012619,0.09286213624649158,1.4492753623188406,1.4492753623188406,0.0,1.4492753623188406
Distilled Models,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,8B,DeepSeek,imedqa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,gsm8k,249.08,1017.77,4.986300238493179,29.980821911599087,10.0,71.0,10.0,1.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,mmlu,113.50746268656717,2597.10447761194,3.1413182207637034,41.3194635502678,7.462686567164178,64.17910447761194,7.462686567164178,13.432835820895523
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,gpqa,653.1,429.25,8.1248537043656,13.142379524452224,10.0,25.0,0.0,10.0
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,icraft,0.0,12.55072463768116,0.0,0.7447395347308293,0.0,4.3478260869565215,0.0,4.3478260869565215
Distilled Models,Qwen/Qwen3-8B,8B,Qwen,imedqa,27.63,82.02,1.1925780550029474,2.599820384789245,4.0,9.0,2.0,5.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,gsm8k,24.26,1870.31,0.8266109238180629,41.03786875233777,2.0,83.0,1.0,34.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,mmlu,147.34328358208955,3640.6417910447763,2.4207691294970215,40.07749395786348,4.477611940298507,71.64179104477611,1.4925373134328357,29.850746268656714
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,gpqa,1286.25,3131.9,10.14762188659319,45.94606836922575,20.0,75.0,0.0,45.0
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,icraft,205.52173913043478,213.7391304347826,5.50886268175157,7.185015841723341,13.043478260869565,15.942028985507244,10.144927536231885,14.492753623188406
Distilled Models,microsoft/Phi-4-reasoning,14B,Phi,imedqa,326.12,544.61,7.524147293249866,13.955385310090657,15.0,31.0,11.0,27.0
Distilled Models,**Average**,,,gsm8k,135.1188888888889,881.7655555555556,2.8647870084449902,24.316932880159136,5.888888888888889,55.55555555555556,3.7777777777777777,9.777777777777779
Distilled Models,**Average**,,,mmlu,247.16749585406296,2741.077943615257,3.7314341309263233,42.83791377211678,6.965174129353234,71.6417910447761,5.140961857379768,31.011608623548923
Distilled Models,**Average**,,,gpqa,531.2555555555555,1124.0777777777778,6.945357265058413,20.559241434135767,11.666666666666666,35.0,1.6666666666666667,18.88888888888889
Distilled Models,**Average**,,,icraft,50.08856682769726,84.00483091787439,1.5308198676169509,2.7783592612786485,4.508856682769726,8.051529790660224,1.932367149758454,7.729468599033816
Distilled Models,**Average**,,,imedqa,98.42444444444443,146.52666666666667,2.5239588659834618,3.8519928232157365,5.888888888888889,9.88888888888889,3.111111111111111,7.555555555555555
