tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.1,20,S-HCP-within,0.8998,0.3002965127987998,8.396017944744402,7.91460225749242,2.0722237212114143,0.0,0,12345
0.0,0.1,20,Std-CP,0.912,0.28332323309407936,6.85097046539351,6.333015693050781,2.867529869745908,0.0,0,12345
0.0,0.1,20,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,25,Donor-HCP-no-within,0.9228,0.2669352185122381,6.652044628315087,6.354432840327785,2.036696355828741,0.0,0,12345
0.0,0.1,25,Donor-HCP-within,0.9294,0.25618111904110047,5.69196291138124,5.489599830132887,1.6633541389406294,0.0,0,12345
0.0,0.1,25,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,25,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,25,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,25,S-HCP-within,0.9268,0.26049055849725766,7.023355163884962,6.752981558391751,2.3027370682849515,0.0,0,12345
0.0,0.1,25,Std-CP,0.9332,0.24970028042837528,6.689478734489525,6.269773314534044,2.440650498443014,0.0,0,12345
0.0,0.1,25,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,30,Donor-HCP-no-within,0.9022,0.297073745999394,6.2511190302994795,5.9404784789204115,1.9320328164025313,0.0,0,12345
0.0,0.1,30,Donor-HCP-within,0.9372,0.24262714931910917,5.844714329518393,5.61754093549525,1.67614784355722,0.0,0,12345
0.0,0.1,30,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,30,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,30,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,30,S-HCP-within,0.9362,0.24442076078283598,7.194756924453004,6.933647097814388,2.2981240082844407,0.0,0,12345
0.0,0.1,30,Std-CP,0.9368,0.24334667353531741,6.397795384609963,6.10037453931529,2.084044664671267,0.0,0,12345
0.0,0.1,30,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
0.0,0.1,35,Donor-HCP-no-within,0.915,0.2789095877011442,6.455102375014167,6.163341996993269,1.933680010374994,0.0,0,12345
0.0,0.1,35,Donor-HCP-within,0.948,0.22204923141554533,6.047445498232099,5.854477806461982,1.649271582449844,0.0,0,12345
0.0,0.1,35,HCP,0.9712,0.1672607402561826,11.594320883249269,11.491067113218673,2.428887354603376,0.0,0,12345
0.0,0.1,35,Pooling,0.8884,0.31490518105393356,8.028180492669652,7.752303534023266,1.72570989140599,0.0,0,12345
0.0,0.1,35,Repeated,0.9284,0.25785022270199726,9.156574443713907,8.98978805507134,2.1291863392870036,0.0,0,12345
0.0,0.1,35,S-HCP-within,0.948,0.2220492314155455,7.39694069469253,7.101446887001455,2.274223260274756,0.0,0,12345
0.0,0.1,35,Std-CP,0.9528,0.21208761451637434,6.460551941615989,6.200157878142491,2.0024230216264542,0.0,0,12345
0.0,0.1,35,Subsampling,0.9026,0.2965313240877479,9.173448398161819,9.010403566597251,2.9568984926132447,0.0,0,12345
5.0,0.05,0,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,0,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,S-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Std-CP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,0,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-no-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,5,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,5,S-HCP-within,0.96,0.19597877828047416,31.51497464902821,29.074433188220574,10.570711379820068,0.0,0,12345
5.0,0.05,5,Std-CP,0.7684,0.42189695354183515,6.205513205573408,5.146052206637407,4.5505844005142055,0.0,0,12345
5.0,0.05,5,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Donor-HCP-no-within,0.993,0.08338099590491602,37.5711398985563,34.50147789331912,12.084259416929756,0.0,0,12345
5.0,0.05,10,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,10,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,10,S-HCP-within,0.9636,0.1873020459345872,31.307127726990124,28.939784543564958,10.465559826373692,0.0,0,12345
5.0,0.05,10,Std-CP,0.8274,0.37793889395180363,65.50663833942257,12.269302575274752,769.6764245132864,0.0,0,12345
5.0,0.05,10,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Donor-HCP-no-within,0.9684,0.1749501686546841,33.5104972040704,30.59391893845561,11.855451672878846,0.0,0,12345
5.0,0.05,15,Donor-HCP-within,0.9836,0.12702073395068483,22.743680473121373,20.822999719028942,7.219103342842214,0.0,0,12345
5.0,0.05,15,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,15,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,15,S-HCP-within,0.963,0.18878063360823077,31.526476050098427,29.071610320500234,10.453889102747203,0.0,0,12345
5.0,0.05,15,Std-CP,0.8938,0.308124241353422,9.155774100804624,7.545858346807359,6.788062130269656,0.0,0,12345
5.0,0.05,15,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Donor-HCP-no-within,0.9444,0.22917055619945118,31.755349118215598,28.716094837750433,11.83658862415396,0.0,0,12345
5.0,0.05,20,Donor-HCP-within,0.9498,0.2183792524476167,17.252139998355542,15.757355102867692,5.802199761830111,0.0,0,12345
5.0,0.05,20,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
5.0,0.05,20,Repeated,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,20,S-HCP-within,0.9586,0.19923347809983946,30.81133124381553,28.442675825686017,10.381475686472214,0.0,0,12345
5.0,0.05,20,Std-CP,0.917,0.27590981360772393,6.915270186606678,6.393399810405808,2.9415672309516667,0.0,0,12345
5.0,0.05,20,Subsampling,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Donor-HCP-no-within,0.9624,0.1902458375253955,16.345218589949468,14.909004931916158,7.847205521269519,0.0,0,12345
5.0,0.05,25,Donor-HCP-within,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,HCP,1.0,0.0,,,,1.0,5000,12345
5.0,0.05,25,Pooling,0.9072,0.2901809797354058,31.606752203247215,28.426192495762606,12.785204364691669,0.0,0,12345
