tau_B,alpha,o,method,coverage_mean,coverage_std,width_mean,width_median,width_std,proportion_infinite,n_infinite,base_seed
0.0,0.1,5,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,10,Donor-HCP-no-within,0.9374,0.2422663381399059,9.089502727815198,8.818219191517805,1.993567313401305,0.0,0,12345
0.0,0.1,10,Donor-HCP-within,0.9546,0.208200647217775,42.155434276814354,21.326070480282024,48.91041081068209,0.0,0,12345
0.0,0.1,10,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,10,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,10,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,10,S-HCP-within,0.909,0.28763787495637944,8.689979844681506,8.222017666378498,2.1987488852615726,0.0,0,12345
0.0,0.1,10,Std-CP,0.8302,0.37549455286574607,71.00570943865124,12.331643352880898,1047.3192448034838,0.0,0,12345
0.0,0.1,10,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,15,Donor-HCP-no-within,0.9176,0.2750006637683161,8.513050998199189,8.177033439317196,1.9409489899442918,0.0,0,12345
0.0,0.1,15,Donor-HCP-within,0.933,0.25004700498294374,7.599140756794519,7.4645746202755925,1.1946117352037502,0.0,0,12345
0.0,0.1,15,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,15,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,15,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,15,S-HCP-within,0.908,0.28905485732315384,8.622022868161535,8.090512580925557,2.15518618097774,0.0,0,12345
0.0,0.1,15,Std-CP,0.8924,0.30990554736831954,9.02335986498601,7.549530451955122,6.346512221434149,0.0,0,12345
0.0,0.1,15,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,20,Donor-HCP-no-within,0.8978,0.30294143774488946,7.995327811404641,7.698700948566387,1.8406361952263943,0.0,0,12345
0.0,0.1,20,Donor-HCP-within,0.9046,0.2937960231532144,6.016763571292606,5.929292231227228,0.8301801092738621,0.0,0,12345
0.0,0.1,20,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,20,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,20,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,20,S-HCP-within,0.8996,0.3005626516743493,8.403563572430919,7.922996446591728,2.0641877183032644,0.0,0,12345
0.0,0.1,20,Std-CP,0.9164,0.2768146767659808,6.927214303933627,6.382134144298044,2.9978436665113137,0.0,0,12345
0.0,0.1,20,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,25,Donor-HCP-no-within,0.9228,0.2669352185122382,6.652044628315087,6.354432840327785,2.036696355828741,0.0,0,12345
0.0,0.1,25,Donor-HCP-within,0.9304,0.25449713899914816,6.5086537790815715,6.1881924001397,2.3174579817981016,0.0,0,12345
0.0,0.1,25,HCP,0.9712,0.16726074025618265,11.594320883249269,11.491067113218673,2.428887354603379,0.0,0,12345
0.0,0.1,25,Pooling,0.8884,0.3149051810539336,8.028180492669652,7.752303534023266,1.7257098914059885,0.0,0,12345
0.0,0.1,25,Repeated,0.9312,0.25313904454898933,9.189177287804288,8.941125121538748,2.028852323202339,0.0,0,12345
0.0,0.1,25,S-HCP-within,0.9268,0.2604905584972577,7.023355163884962,6.752981558391751,2.30273706828495,0.0,0,12345
0.0,0.1,25,Std-CP,0.9332,0.2497002804283752,6.711589123444751,6.288426492836462,2.534056022263512,0.0,0,12345
0.0,0.1,25,Subsampling,0.9134,0.2812761334572317,9.430301703938083,9.331391216900311,2.7520473168487665,0.0,0,12345
0.0,0.1,30,Donor-HCP-no-within,0.9022,0.297073745999394,6.2511190302994795,5.9404784789204115,1.9320328164025309,0.0,0,12345
0.0,0.1,30,Donor-HCP-within,0.939,0.23935425229483295,6.300710994863477,6.036206713707447,2.0407249416717477,0.0,0,12345
