dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean21,HCP,35,0.15,0.85,0.907,0.009184280047995052,0.290577761426155,1000.0
poissonNmean21,HCP,35,0.1,0.9,0.948,0.007021111023192843,0.22213812222431648,1000.0
poissonNmean21,HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,5,0.2,0.8,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,5,0.15,0.85,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,5,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,5,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,10,0.2,0.8,0.845,0.011444430960078356,0.36208577175319395,1000.0
poissonNmean21,Std-CP,10,0.15,0.85,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,10,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,10,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,15,0.2,0.8,0.893,0.009775019181566856,0.3092679204939411,1000.0
poissonNmean21,Std-CP,15,0.15,0.85,0.893,0.009775019181566856,0.3092679204939411,1000.0
poissonNmean21,Std-CP,15,0.1,0.9,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,15,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,20,0.2,0.8,0.832,0.011822690049223148,0.3740533597174551,1000.0
poissonNmean21,Std-CP,20,0.15,0.85,0.913,0.008912407082264588,0.2819760814510879,1000.0
poissonNmean21,Std-CP,20,0.1,0.9,0.913,0.008912407082264588,0.2819760814510879,1000.0
poissonNmean21,Std-CP,20,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,25,0.2,0.8,0.863,0.010873407929439602,0.3440194025768741,1000.0
poissonNmean21,Std-CP,25,0.15,0.85,0.863,0.010873407929439602,0.3440194025768741,1000.0
poissonNmean21,Std-CP,25,0.1,0.9,0.934,0.007851369307324675,0.2484063318550993,1000.0
poissonNmean21,Std-CP,25,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,30,0.2,0.8,0.826,0.011988494484296184,0.3792991798934818,1000.0
poissonNmean21,Std-CP,30,0.15,0.85,0.88,0.010276186062932104,0.3251241389157466,1000.0
poissonNmean21,Std-CP,30,0.1,0.9,0.94,0.007509993342207438,0.23760567429347404,1000.0
poissonNmean21,Std-CP,30,0.05,0.95,1.0,0.0,0.0,1000.0
poissonNmean21,Std-CP,35,0.2,0.8,0.845,0.011444430960078356,0.36208577175319395,1000.0
poissonNmean21,Std-CP,35,0.15,0.85,0.897,0.009612023720320294,0.304110972316823,1000.0
poissonNmean21,Std-CP,35,0.1,0.9,0.954,0.006624499981130654,0.20958990416508122,1000.0
poissonNmean21,Std-CP,35,0.05,0.95,1.0,0.0,0.0,1000.0
