experiment,o_observed,coverage_donor_within,coverage_donor_no_within,coverage_stdcp,coverage_hcp,width_donor_within,width_donor_no_within,width_stdcp,width_hcp,infinite_donor_within,infinite_donor_no_within,infinite_stdcp,infinite_hcp
18,20,0.82,0.86,0.83,0.95,1.7173346168618315,1.5830575777164957,1.9533809879824604,1.879798252150242,0,0,0,0
19,0,0.88,0.88,,0.88,2.0646967362248634,2.0646967362248634,,2.0646967362248634,0,0,0,0
19,10,0.85,0.87,0.83,0.91,1.6804254062597366,1.779667220956033,4.7137837098773945,2.0646967362248634,0,0,0,0
19,20,0.82,0.86,0.79,0.95,1.8204088536282437,1.6294505418001934,1.8333211386277048,2.0646967362248634,0,0,0,0
20,0,0.92,0.92,,0.92,1.5192513791561733,1.5192513791561733,,1.5192513791561733,0,0,0,0
20,10,0.86,0.83,0.87,0.87,1.5126986697198792,1.3656595507731764,6.219828446687212,1.5192513791561733,0,0,0,0
20,20,0.78,0.75,0.77,0.81,1.5090933947460965,1.234679112813708,1.8238574344521832,1.5192513791561733,0,0,0,0
21,0,0.92,0.92,,0.92,2.106974595314042,2.106974595314042,,2.106974595314042,0,0,0,0
21,10,0.87,0.87,0.82,0.92,1.9444789747826712,1.8595555765677845,4.498273253061253,2.106974595314042,0,0,0,0
21,20,0.77,0.87,0.74,0.95,1.6889333741257366,1.7228029383176064,1.8945610329569915,2.106974595314042,0,0,0,0
22,0,0.87,0.87,,0.87,1.7181765126444026,1.7181765126444026,,1.7181765126444026,0,0,0,0
22,10,0.81,0.8,0.88,0.83,1.676826386081335,1.4831214392265504,4.388519933012558,1.7181765126444026,0,0,0,0
22,20,0.82,0.75,0.84,0.84,1.5970536737258256,1.388665463497317,2.05024942269396,1.7181765126444026,0,0,0,0
23,0,0.95,0.95,,0.95,2.008661925061177,2.008661925061177,,2.008661925061177,0,0,0,0
23,10,0.89,0.84,0.82,0.89,1.9645568514373313,1.7648991985588112,5.6261676070100055,2.008661925061177,0,0,0,0
23,20,0.75,0.76,0.77,0.92,1.714266625839358,1.6091314524624551,2.067856815536884,2.008661925061177,0,0,0,0
24,0,0.83,0.83,,0.83,1.779615340185837,1.779615340185837,,1.779615340185837,0,0,0,0
24,10,0.83,0.83,0.84,0.86,1.5705167592436164,1.583186469118615,4.9754127662459595,1.779615340185837,0,0,0,0
24,20,0.81,0.83,0.81,0.88,1.6555602387618258,1.4021299043281856,1.9656188003521973,1.779615340185837,0,0,0,0
25,0,0.95,0.95,,0.95,1.9274054067251163,1.9274054067251163,,1.9274054067251163,0,0,0,0
25,10,0.85,0.86,0.82,0.89,1.9068986797262255,1.7863106541937954,5.116817109412825,1.9274054067251163,0,0,0,0
25,20,0.88,0.91,0.87,0.95,1.6598389069515114,1.5780857662709018,2.0627068203267256,1.9274054067251163,0,0,0,0
26,0,0.92,0.92,,0.92,1.888019021267164,1.888019021267164,,1.888019021267164,0,0,0,0
26,10,0.84,0.87,0.87,0.9,1.694147490102568,1.6598795119036502,4.670225289957521,1.888019021267164,0,0,0,0
26,20,0.85,0.83,0.84,0.91,1.5563577434138787,1.4780939788372898,1.7507446607682606,1.888019021267164,0,0,0,0
27,0,0.88,0.88,,0.88,2.511278950384849,2.511278950384849,,2.511278950384849,0,0,0,0
27,10,0.9,0.89,0.87,0.93,2.1625289356304647,2.2499254458907108,3.8573595663125486,2.511278950384849,0,0,0,0
27,20,0.8,0.87,0.84,0.92,1.7800037256401504,1.9903381885954707,1.9012529666988112,2.511278950384849,0,0,0,0
28,0,0.88,0.88,,0.88,1.8258466992972926,1.8258466992972926,,1.8258466992972926,0,0,0,0
28,10,0.83,0.89,0.84,0.93,1.694950302468003,1.6747632313747904,4.898109291865466,1.8258466992972926,0,0,0,0
28,20,0.77,0.81,0.85,0.91,1.6911609567371633,1.4859620219186782,2.066529937954386,1.8258466992972926,0,0,0,0
29,0,0.76,0.76,,0.76,1.5590732964135068,1.5590732964135068,,1.5590732964135068,0,0,0,0
29,10,0.82,0.77,0.88,0.83,1.4754814287091205,1.4190778534103075,5.143827900018569,1.5590732964135068,0,0,0,0
29,20,0.74,0.69,0.84,0.74,1.438568496518709,1.3351196502292884,1.946639402655592,1.5590732964135068,0,0,0,0
30,0,0.81,0.81,,0.81,1.5714127564720017,1.5714127564720017,,1.5714127564720017,0,0,0,0
30,10,0.77,0.82,0.84,0.83,1.4445558797610536,1.41522450250537,5.191078359918037,1.5714127564720017,0,0,0,0
30,20,0.77,0.79,0.85,0.84,1.4511493445815336,1.341444583739769,1.8686808201024814,1.5714127564720017,0,0,0,0
31,0,0.83,0.83,,0.83,1.6946021525567856,1.6946021525567856,,1.6946021525567856,0,0,0,0
31,10,0.84,0.86,0.78,0.89,1.6712998429639514,1.5268743993870424,4.498480572488309,1.6946021525567856,0,0,0,0
31,20,0.81,0.82,0.82,0.92,1.5597049150033089,1.4068011931448159,1.9667137070061216,1.6946021525567856,0,0,0,0
32,0,0.87,0.87,,0.87,2.018079882882579,2.018079882882579,,2.018079882882579,0,0,0,0
32,10,0.83,0.81,0.9,0.83,1.850731212158414,1.8423329116655696,4.105661093733506,2.018079882882579,0,0,0,0
32,20,0.7,0.81,0.84,0.88,1.4181099538267894,1.7326509834844028,2.013540578826376,2.018079882882579,0,0,0,0
33,0,0.89,0.89,,0.89,1.7058731700257233,1.7058731700257233,,1.7058731700257233,0,0,0,0
33,10,0.81,0.77,0.77,0.88,1.6873279835073327,1.5325459765085305,4.926096237584433,1.7058731700257233,0,0,0,0
33,20,0.78,0.79,0.83,0.86,1.6164055852541748,1.3640275262686008,1.966601813939255,1.7058731700257233,0,0,0,0
34,0,0.91,0.91,,0.91,1.9516271928264608,1.9516271928264608,,1.9516271928264608,0,0,0,0
34,10,0.87,0.88,0.8,0.89,1.6921450841672658,1.6608106506603386,4.679179362036503,1.9516271928264608,0,0,0,0
34,20,0.89,0.8,0.84,0.89,1.7513926059462672,1.5457029088648817,1.9354022735945864,1.9516271928264608,0,0,0,0
35,0,0.88,0.88,,0.88,1.8197094883514207,1.8197094883514207,,1.8197094883514207,0,0,0,0
35,10,0.72,0.79,0.82,0.87,1.7014668901899483,1.6105880652562092,5.264433195335494,1.8197094883514207,0,0,0,0
35,20,0.78,0.83,0.83,0.88,1.7014042486415333,1.539427508837274,2.0077095391850914,1.8197094883514207,0,0,0,0
36,0,0.9,0.9,,0.9,1.8878052321669134,1.8878052321669134,,1.8878052321669134,0,0,0,0
36,10,0.86,0.84,0.88,0.89,1.973349899221776,1.6800616724133894,4.816195155271092,1.8878052321669134,0,0,0,0
36,20,0.8,0.79,0.81,0.82,1.814177439062009,1.592949277417731,1.8374573695948533,1.8878052321669134,0,0,0,0
37,0,0.95,0.95,,0.95,1.9631792108340136,1.9631792108340136,,1.9631792108340136,0,0,0,0
37,10,0.87,0.86,0.81,0.9,1.9092446009020423,1.8030150279275707,4.616560231790751,1.9631792108340136,0,0,0,0
37,20,0.78,0.83,0.77,0.9,1.7574319452541647,1.7069935115821853,1.8889018025556017,1.9631792108340136,0,0,0,0
38,0,0.91,0.91,,0.91,2.059427113403979,2.059427113403979,,2.059427113403979,0,0,0,0
38,10,0.86,0.93,0.83,0.95,1.7814718565630518,1.907850727293146,4.940980781114514,2.059427113403979,0,0,0,0
38,20,0.74,0.79,0.79,0.88,1.5860746068341087,1.7922181930011358,1.9196337666643626,2.059427113403979,0,0,0,0
39,0,0.89,0.89,,0.89,1.9144075487047414,1.9144075487047414,,1.9144075487047414,0,0,0,0
39,10,0.86,0.85,0.79,0.9,1.936723773001991,1.629709318831039,5.305694915302194,1.9144075487047414,0,0,0,0
39,20,0.77,0.81,0.85,0.89,1.937934670701956,1.5356120486079878,1.9850055638049646,1.9144075487047414,0,0,0,0
40,0,0.86,0.86,,0.86,1.7423440950001239,1.7423440950001239,,1.7423440950001239,0,0,0,0
40,10,0.82,0.77,0.86,0.85,1.6582188264229587,1.4757475848218373,5.511522411253779,1.7423440950001239,0,0,0,0
40,20,0.85,0.8,0.82,0.87,1.711596059522056,1.3203287174950857,2.096178570829294,1.7423440950001239,0,0,0,0
41,0,0.92,0.92,,0.92,1.840350134558328,1.840350134558328,,1.840350134558328,0,0,0,0
41,10,0.85,0.81,0.78,0.83,1.5916428977037012,1.577037396327444,4.401657673839186,1.840350134558328,0,0,0,0
41,20,0.78,0.81,0.88,0.86,1.4233487011418313,1.4179335555428239,1.6308997773119076,1.840350134558328,0,0,0,0
