replicate,o,tau,alpha,width,q_method,q,q_lower,q_upper,knot_value,mass_knot_test_frac,mass_knot_cal_frac,q_upper_is_test_value,q_upper_is_cal_only,q_upper_shared_cal_test,q_equals_max_test_finite,q_cal_only,q_over_q_cal_only,q_no_test_finite,q_changes_without_test_finite,max_test_finite,p90_cal_scores,median_cal_scores,mass_weight_test,mass_weight_cal,mass_weight_inf,mass_below_q_test,mass_below_q_cal,n_cal_scores,n_test_finite,n_test_inf
6,35,17,0.1,6.467790992384073,3.2338954961920368,3.2338954961920368,3.2338954961920368,3.2338954961920368,3.2338954961920368,1.0,0.0,True,False,False,True,inf,,inf,False,3.2338954961920368,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
7,0,0,0.1,10.550748301369737,5.275374150684868,5.275374150684868,5.275374150684868,5.275374150684868,5.275374150684868,0.0,1.0,False,True,False,False,5.275374150684868,1.0,5.275374150684868,False,,3.0645541682225486,1.3714400013343484,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
7,5,2,0.1,8.54372602524775,4.271863012623875,4.271863012623875,4.271863012623875,4.271863012623875,4.271863012623875,0.0,1.0,False,True,False,False,4.645338972244269,0.9196020006608993,4.645338972244269,True,2.3417837374201484,2.6379846043030537,1.3565462529868577,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
7,10,5,0.1,6.42490473956093,3.212452369780465,3.212452369780465,3.212452369780465,3.212452369780465,3.212452369780465,0.0,1.0,False,True,False,False,4.504403862915151,0.713180360275563,4.504403862915151,True,0.9092867122423396,2.336322168031793,1.1067650868995842,0.028409090909090905,0.9090909090909092,0.0625,0.028409090909090905,0.875,160,5,11
7,15,7,0.1,5.174021625791653,2.5870108128958265,2.5870108128958265,2.5870108128958265,2.5870108128958265,2.5870108128958265,0.0,1.0,False,True,False,False,4.263260598325353,0.6068150780911745,4.263260598325353,True,0.8740425035267396,2.3801007827528458,1.0458329307217937,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.05194805194805195,0.8506493506493509,140,8,6
7,20,10,0.1,4.8328872697362435,2.4164436348681217,2.4164436348681217,2.4164436348681217,2.4164436348681217,2.4164436348681217,0.0,1.0,False,True,False,False,4.309445539898562,0.5607319114479403,4.309445539898562,True,1.1258504355723158,2.4225003870854427,0.9314697600750428,0.08264462809917356,0.909090909090909,0.008264462809917356,0.08264462809917356,0.8181818181818181,110,10,1
7,25,12,0.1,3.0063679762374296,1.5031839881187148,1.5031839881187148,1.5031839881187148,1.5031839881187148,1.5031839881187148,1.0,0.0,True,False,False,True,inf,,inf,False,1.5031839881187148,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
7,30,15,0.1,4.214492451340275,2.1072462256701376,2.1072462256701376,2.1072462256701376,2.1072462256701376,2.1072462256701376,1.0,0.0,True,False,False,True,inf,,inf,False,2.1072462256701376,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
7,35,17,0.1,8.053590357392505,4.026795178696252,4.026795178696252,4.026795178696252,4.026795178696252,4.026795178696252,1.0,0.0,True,False,False,True,inf,,inf,False,4.026795178696252,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
8,0,0,0.1,18.95349584638781,9.476747923193905,9.476747923193905,9.476747923193905,9.476747923193905,9.476747923193905,0.0,1.0,False,True,False,False,9.476747923193905,1.0,9.476747923193905,False,,7.44311791059904,1.7712404301354494,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
8,5,2,0.1,11.519787871300306,5.759893935650153,5.759893935650153,5.759893935650153,5.759893935650153,5.759893935650153,0.0,1.0,False,True,False,False,6.4907947636356695,0.8873942476073424,6.4907947636356695,True,4.427229183489534,4.818977412762766,1.5997919545731185,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
8,10,5,0.1,7.21972336397525,3.609861681987625,3.609861681987625,3.609861681987625,3.609861681987625,3.609861681987625,0.0,1.0,False,True,False,False,4.288524606516141,0.8417490893028033,4.288524606516141,True,4.028968321549866,3.0118365984274735,1.2280577148832736,0.028409090909090905,0.9090909090909092,0.0625,0.022727272727272724,0.8806818181818182,160,5,11
8,15,7,0.1,6.0247400732177,3.01237003660885,3.01237003660885,3.01237003660885,3.01237003660885,3.01237003660885,0.0,1.0,False,True,False,False,4.027577284174319,0.7479359982601567,4.027577284174319,True,4.248199539202102,2.802127648795818,1.1784942090676347,0.05194805194805195,0.9090909090909093,0.03896103896103897,0.04545454545454546,0.8571428571428573,140,8,6
8,20,10,0.1,5.122683715971711,2.5613418579858553,2.5613418579858553,2.5613418579858553,2.5613418579858553,2.5613418579858553,0.0,1.0,False,True,False,False,3.274250257989709,0.7822682007081652,3.274250257989709,True,3.9379947091385596,2.4444127676549354,1.0098322352996423,0.08264462809917356,0.909090909090909,0.008264462809917356,0.05785123966942149,0.8429752066115701,110,10,1
8,25,12,0.1,6.010326668988178,3.005163334494089,3.005163334494089,3.005163334494089,3.005163334494089,3.005163334494089,1.0,0.0,True,False,False,True,inf,,inf,False,3.005163334494089,,,0.9285714285714285,0.0,0.07142857142857144,0.9285714285714285,0.0,0,13,1
8,30,15,0.1,5.269818824646281,2.6349094123231405,2.6349094123231405,2.6349094123231405,2.6349094123231405,2.6349094123231405,1.0,0.0,True,False,False,True,inf,,inf,False,2.6349094123231405,,,0.9375,0.0,0.0625,0.9375,0.0,0,15,1
8,35,17,0.1,6.238984282948701,3.1194921414743506,3.1194921414743506,3.1194921414743506,3.1194921414743506,3.1194921414743506,1.0,0.0,True,False,False,True,inf,,inf,False,3.1194921414743506,,,0.9473684210526319,0.0,0.05263157894736843,0.9473684210526319,0.0,0,18,1
9,0,0,0.1,11.242796951541385,5.621398475770693,5.621398475770693,5.621398475770693,5.621398475770693,5.621398475770693,0.0,1.0,False,True,False,False,5.621398475770693,1.0,5.621398475770693,False,,4.12948066942862,1.869675815676096,0.0,0.9090909090909091,0.09090909090909095,0.0,0.9004329004329004,210,0,21
9,5,2,0.1,8.660906355220302,4.330453177610151,4.330453177610151,4.330453177610151,4.330453177610151,4.330453177610151,0.0,1.0,False,True,False,False,4.737255798905921,0.9141269463663494,4.737255798905921,True,1.217921870723142,3.1259803761028246,1.3634806880301862,0.014354066985645935,0.9090909090909092,0.07655502392344499,0.014354066985645935,0.8899521531100478,190,3,16
