dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
fixedN21,HCP,35,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,HCP,35,0.15,0.85,0.895,0.009694070352540258,0.30670681288336105,1000.0
fixedN21,HCP,35,0.1,0.9,0.926,0.008277922444671728,0.2619018758859749,1000.0
fixedN21,HCP,35,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.2,0.8,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.15,0.85,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.1,0.9,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,0,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,5,0.2,0.8,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,5,0.15,0.85,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,5,0.1,0.9,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,5,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,10,0.2,0.8,0.836,0.011709141727727102,0.3704608498090469,1000.0
fixedN21,Std-CP,10,0.15,0.85,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,10,0.1,0.9,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,10,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,15,0.2,0.8,0.879,0.010313049985334114,0.32629046180583565,1000.0
fixedN21,Std-CP,15,0.15,0.85,0.879,0.010313049985334114,0.32629046180583565,1000.0
fixedN21,Std-CP,15,0.1,0.9,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,15,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,20,0.2,0.8,0.806,0.012504559168559281,0.3956267439399421,1000.0
fixedN21,Std-CP,20,0.15,0.85,0.9,0.009486832980505136,0.3001501125938321,1000.0
fixedN21,Std-CP,20,0.1,0.9,0.9,0.009486832980505136,0.3001501125938321,1000.0
fixedN21,Std-CP,20,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,25,0.2,0.8,0.837,0.011680368144883107,0.36955049393495276,1000.0
fixedN21,Std-CP,25,0.15,0.85,0.837,0.011680368144883107,0.36955049393495276,1000.0
fixedN21,Std-CP,25,0.1,0.9,0.915,0.008819013550278736,0.2790212408632233,1000.0
fixedN21,Std-CP,25,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,30,0.2,0.8,0.802,0.012601428490452976,0.3986915536538929,1000.0
fixedN21,Std-CP,30,0.15,0.85,0.861,0.010939789760319894,0.3461196307619647,1000.0
fixedN21,Std-CP,30,0.1,0.9,0.94,0.007509993342207438,0.23760567429347407,1000.0
fixedN21,Std-CP,30,0.05,0.95,1.0,0.0,0.0,1000.0
fixedN21,Std-CP,35,0.2,0.8,0.841,0.011563693181678596,0.3658590614606298,1000.0
fixedN21,Std-CP,35,0.15,0.85,0.894,0.009734680272099335,0.30799165387857325,1000.0
fixedN21,Std-CP,35,0.1,0.9,0.947,0.007084560677981384,0.22414558046332572,1000.0
fixedN21,Std-CP,35,0.05,0.95,1.0,0.0,0.0,1000.0
