dataset,method,o,alpha,nominal_coverage,coverage_mean,coverage_se,coverage_std,coverage_n
poissonNmean25,Std-CP,5,0.05,0.95,0.927,0.008226238508577293,0.2602666685127751,1000.0
poissonNmean25,Std-CP,10,0.2,0.8,0.84,0.011593101396951551,0.366789496216201,1000.0
poissonNmean25,Std-CP,10,0.15,0.85,0.857,0.011070275515993268,0.35024801737293776,1000.0
poissonNmean25,Std-CP,10,0.1,0.9,0.941,0.007451107300260817,0.2357426023750789,1000.0
poissonNmean25,Std-CP,10,0.05,0.95,0.972,0.005216895628628201,0.16505527329729047,1000.0
poissonNmean25,Std-CP,15,0.2,0.8,0.812,0.01235540367612487,0.3909076729981247,1000.0
poissonNmean25,Std-CP,15,0.15,0.85,0.832,0.011822690049223148,0.3740533597174551,1000.0
poissonNmean25,Std-CP,15,0.1,0.9,0.898,0.009570579919733181,0.30279974849343533,1000.0
poissonNmean25,Std-CP,15,0.05,0.95,0.944,0.007270763371201131,0.2300367729666649,1000.0
poissonNmean25,Std-CP,20,0.2,0.8,0.801,0.012625331678811452,0.399447817065707,1000.0
poissonNmean25,Std-CP,20,0.15,0.85,0.834,0.011766222843376714,0.37226681638655706,1000.0
poissonNmean25,Std-CP,20,0.1,0.9,0.91,0.009049861877399012,0.28632495871296654,1000.0
poissonNmean25,Std-CP,20,0.05,0.95,0.94,0.007509993342207438,0.23760567429347407,1000.0
poissonNmean25,Std-CP,25,0.2,0.8,0.806,0.012504559168559281,0.3956267439399421,1000.0
poissonNmean25,Std-CP,25,0.15,0.85,0.847,0.011383804285035824,0.3601676286407771,1000.0
poissonNmean25,Std-CP,25,0.1,0.9,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean25,Std-CP,25,0.05,0.95,0.954,0.006624499981130654,0.20958990416508122,1000.0
poissonNmean25,Std-CP,30,0.2,0.8,0.814,0.012304633273690038,0.38930136855083824,1000.0
poissonNmean25,Std-CP,30,0.15,0.85,0.846,0.011414201680362933,0.36112935966826953,1000.0
poissonNmean25,Std-CP,30,0.1,0.9,0.892,0.009815090422405694,0.3105357184486713,1000.0
poissonNmean25,Std-CP,30,0.05,0.95,0.944,0.007270763371201131,0.2300367729666649,1000.0
poissonNmean25,Std-CP,35,0.2,0.8,0.809,0.012430567163247216,0.39328574049115184,1000.0
poissonNmean25,Std-CP,35,0.15,0.85,0.858,0.011037934589405756,0.34922479573758497,1000.0
poissonNmean25,Std-CP,35,0.1,0.9,0.899,0.009528850927577784,0.3014795016081357,1000.0
poissonNmean25,Std-CP,35,0.05,0.95,0.951,0.006826346021115546,0.21597603025716916,1000.0
